sninamn,year,res_post
ind_ldr,2005,
ind_ldr,2006,
ind_ldr,2007,
ind_ldr,2008,-128
ind_ldr,2009,65
ind_ldr,2010,-80
ind_ldr,2011,36
ind_ldr,2012,15
ind_ldr,2013,33
ind_ldr,2014,69
ind_ldr,2015,91
ind_ldr,2016,115
ind_ldr,2017,145
ind_ldr,2018,60
ind_ldr,2019,86
ind_ldr,2020,59
ind_ldr,2021,127
ind_ldr,2022,86
ind_ldr,2023,
ind_tra,2003,
ind_tra,2004,
ind_tra,2005,
ind_tra,2006,
ind_tra,2007,
ind_tra,2008,1671
ind_tra,2009,1229
ind_tra,2010,1601
ind_tra,2011,-1459
ind_tra,2012,-105
ind_tra,2013,860
ind_tra,2014,3090
ind_tra,2015,3236
ind_tra,2016,2234
ind_tra,2017,3725
ind_tra,2018,4655
ind_tra,2019,1421
ind_tra,2020,5790
ind_tra,2021,14179
ind_tra,2022,10369
ind_tra,2023,
msa_ppr,2003,
msa_ppr,2004,
msa_ppr,2005,
msa_ppr,2006,
msa_ppr,2007,
msa_ppr,2008,11309
msa_ppr,2009,44290
msa_ppr,2010,10724
msa_ppr,2011,14176
msa_ppr,2012,3841
msa_ppr,2013,9079
msa_ppr,2014,16021
msa_ppr,2015,21553
msa_ppr,2016,55136
msa_ppr,2017,14655
msa_ppr,2018,29121
msa_ppr,2019,35679
msa_ppr,2020,10049
msa_ppr,2021,25523
msa_ppr,2022,26513
msa_ppr,2023,
grf_rep,2003,
grf_rep,2004,
grf_rep,2005,
grf_rep,2006,
grf_rep,2007,
grf_rep,2008,-120
grf_rep,2009,269
grf_rep,2010,1087
grf_rep,2011,801
grf_rep,2012,527
grf_rep,2013,1050
grf_rep,2014,3778
grf_rep,2015,789
grf_rep,2016,631
grf_rep,2017,917
grf_rep,2018,578
grf_rep,2019,485
grf_rep,2020,801
grf_rep,2021,1265
grf_rep,2022,1189
grf_rep,2023,
kmk_ind,2003,
kmk_ind,2004,
kmk_ind,2005,
kmk_ind,2006,
kmk_ind,2007,
kmk_ind,2008,27484
kmk_ind,2009,28932
kmk_ind,2010,47990
kmk_ind,2011,35345
kmk_ind,2012,4158
kmk_ind,2013,18405
kmk_ind,2014,27602
kmk_ind,2015,65733
kmk_ind,2016,39369
kmk_ind,2017,29772
kmk_ind,2018,47419
kmk_ind,2019,41552
kmk_ind,2020,5924
kmk_ind,2021,12221
kmk_ind,2022,13930
kmk_ind,2023,
stn_pet,2003,
stn_pet,2004,
stn_pet,2005,
stn_pet,2006,
stn_pet,2007,
stn_pet,2008,
stn_pet,2009,
stn_pet,2010,
stn_pet,2011,
stn_pet,2012,
stn_pet,2013,
stn_pet,2014,
stn_pet,2015,1015
stn_pet,2016,1231
stn_pet,2017,4297
stn_pet,2018,796
stn_pet,2019,-509
stn_pet,2020,337
stn_pet,2021,3126
stn_pet,2022,5288
stn_pet,2023,
tlv_kmk,2003,
tlv_kmk,2004,
tlv_kmk,2005,
tlv_kmk,2006,
tlv_kmk,2007,
tlv_kmk,2008,
tlv_kmk,2009,
tlv_kmk,2010,
tlv_kmk,2011,
tlv_kmk,2012,
tlv_kmk,2013,
tlv_kmk,2014,
tlv_kmk,2015,44965
tlv_kmk,2016,16671
tlv_kmk,2017,7160
tlv_kmk,2018,18760
tlv_kmk,2019,42061
tlv_kmk,2020,5587
tlv_kmk,2021,9095
tlv_kmk,2022,8642
tlv_kmk,2023,
ind_far,2003,
ind_far,2004,
ind_far,2005,
ind_far,2006,
ind_far,2007,
ind_far,2008,
ind_far,2009,
ind_far,2010,
ind_far,2011,
ind_far,2012,
ind_far,2013,
ind_far,2014,
ind_far,2015,19753
ind_far,2016,21467
ind_far,2017,18315
ind_far,2018,27863
ind_far,2019,25176
ind_far,2020,24380
ind_far,2021,16884
ind_far,2022,8640
ind_far,2023,
gmi_pls,2003,
gmi_pls,2004,
gmi_pls,2005,
gmi_pls,2006,
gmi_pls,2007,
gmi_pls,2008,219
gmi_pls,2009,1476
gmi_pls,2010,4309
gmi_pls,2011,4486
gmi_pls,2012,1801
gmi_pls,2013,727
gmi_pls,2014,83
gmi_pls,2015,5420
gmi_pls,2016,10928
gmi_pls,2017,4645
gmi_pls,2018,7848
gmi_pls,2019,6913
gmi_pls,2020,4022
gmi_pls,2021,12114
gmi_pls,2022,9745
gmi_pls,2023,
ind_min,2003,
ind_min,2004,
ind_min,2005,
ind_min,2006,
ind_min,2007,
ind_min,2008,4017
ind_min,2009,2968
ind_min,2010,3559
ind_min,2011,2949
ind_min,2012,7723
ind_min,2013,3059
ind_min,2014,3868
ind_min,2015,7385
ind_min,2016,4000
ind_min,2017,3903
ind_min,2018,2218
ind_min,2019,3338
ind_min,2020,2348
ind_min,2021,6018
ind_min,2022,3179
ind_min,2023,
stl_met,2003,
stl_met,2004,
stl_met,2005,
stl_met,2006,
stl_met,2007,
stl_met,2008,16341
stl_met,2009,5127
stl_met,2010,5105
stl_met,2011,-1164
stl_met,2012,8838
stl_met,2013,1104
stl_met,2014,8584
stl_met,2015,11868
stl_met,2016,12384
stl_met,2017,8159
stl_met,2018,8112
stl_met,2019,17511
stl_met,2020,2946
stl_met,2021,5382
stl_met,2022,29046
stl_met,2023,
ind_met_,2003,
ind_met_,2004,
ind_met_,2005,
ind_met_,2006,
ind_met_,2007,
ind_met_,2008,12134
ind_met_,2009,6606
ind_met_,2010,11098
ind_met_,2011,18214
ind_met_,2012,20713
ind_met_,2013,9696
ind_met_,2014,10164
ind_met_,2015,10659
ind_met_,2016,9999
ind_met_,2017,12860
ind_met_,2018,12920
ind_met_,2019,14785
ind_met_,2020,14159
ind_met_,2021,28925
ind_met_,2022,22716
ind_met_,2023,
ind_dat,2003,
ind_dat,2004,
ind_dat,2005,
ind_dat,2006,
ind_dat,2007,
ind_dat,2008,24192
ind_dat,2009,26011
ind_dat,2010,26399
ind_dat,2011,21031
ind_dat,2012,-2055
ind_dat,2013,19693
ind_dat,2014,42739
ind_dat,2015,11074
ind_dat,2016,12991
ind_dat,2017,22184
ind_dat,2018,13595
ind_dat,2019,15238
ind_dat,2020,43
ind_dat,2021,8615
ind_dat,2022,8227
ind_dat,2023,
ind_dat_ejel,2003,
ind_dat_ejel,2004,
ind_dat_ejel,2005,
ind_dat_ejel,2006,
ind_dat_ejel,2007,
ind_dat_ejel,2008,20220
ind_dat_ejel,2009,14783
ind_dat_ejel,2010,16375
ind_dat_ejel,2011,
ind_dat_ejel,2012,
ind_dat_ejel,2013,11196
ind_dat_ejel,2014,37593
ind_dat_ejel,2015,3386
ind_dat_ejel,2016,5483
ind_dat_ejel,2017,5596
ind_dat_ejel,2018,2211
ind_dat_ejel,2019,-207
ind_dat_ejel,2020,797
ind_dat_ejel,2021,2000
ind_dat_ejel,2022,3868
ind_dat_ejel,2023,
ind_elap,2003,
ind_elap,2004,
ind_elap,2005,
ind_elap,2006,
ind_elap,2007,
ind_elap,2008,3972
ind_elap,2009,11228
ind_elap,2010,10024
ind_elap,2011,
ind_elap,2012,
ind_elap,2013,8497
ind_elap,2014,5146
ind_elap,2015,7688
ind_elap,2016,7508
ind_elap,2017,16588
ind_elap,2018,11384
ind_elap,2019,15445
ind_elap,2020,-754
ind_elap,2021,6615
ind_elap,2022,4359
ind_elap,2023,
elap,2003,
elap,2004,
elap,2005,
elap,2006,
elap,2007,
elap,2008,37600
elap,2009,24394
elap,2010,21372
elap,2011,41363
elap,2012,24239
elap,2013,36468
elap,2014,17409
elap,2015,54960
elap,2016,31914
elap,2017,66832
elap,2018,172087
elap,2019,49647
elap,2020,38892
elap,2021,41503
elap,2022,63333
elap,2023,
ind_mot_vag,2003,
ind_mot_vag,2004,
ind_mot_vag,2005,
ind_mot_vag,2006,
ind_mot_vag,2007,
ind_mot_vag,2008,29701
ind_mot_vag,2009,-36840
ind_mot_vag,2010,34789
ind_mot_vag,2011,25371
ind_mot_vag,2012,24569
ind_mot_vag,2013,13690
ind_mot_vag,2014,-5343
ind_mot_vag,2015,23478
ind_mot_vag,2016,17454
ind_mot_vag,2017,33205
ind_mot_vag,2018,34009
ind_mot_vag,2019,51554
ind_mot_vag,2020,11515
ind_mot_vag,2021,90126
ind_mot_vag,2022,29238
ind_mot_vag,2023,
ann_transp,2003,
ann_transp,2004,
ann_transp,2005,
ann_transp,2006,
ann_transp,2007,
ann_transp,2008,-323
ann_transp,2009,2700
ann_transp,2010,2765
ann_transp,2011,2781
ann_transp,2012,762
ann_transp,2013,4133
ann_transp,2014,5901
ann_transp,2015,2822
ann_transp,2016,1520
ann_transp,2017,2771
ann_transp,2018,3095
ann_transp,2019,4834
ann_transp,2020,9870
ann_transp,2021,1656
ann_transp,2022,4373
ann_transp,2023,
mblind,2003,
mblind,2004,
mblind,2005,
mblind,2006,
mblind,2007,
mblind,2008,2004
mblind,2009,560
mblind,2010,983
mblind,2011,588
mblind,2012,-596
mblind,2013,-101
mblind,2014,1582
mblind,2015,2197
mblind,2016,386
mblind,2017,4672
mblind,2018,3235
mblind,2019,1792
mblind,2020,-1688
mblind,2021,2112
mblind,2022,-12688
mblind,2023,
ann_tilv,2003,
ann_tilv,2004,
ann_tilv,2005,
ann_tilv,2006,
ann_tilv,2007,
ann_tilv,2008,-406
ann_tilv,2009,6742
ann_tilv,2010,6784
ann_tilv,2011,26872
ann_tilv,2012,8994
ann_tilv,2013,34173
ann_tilv,2014,10524
ann_tilv,2015,3796
ann_tilv,2016,1187
ann_tilv,2017,12172
ann_tilv,2018,9895
ann_tilv,2019,-9931
ann_tilv,2020,3392
ann_tilv,2021,7275
ann_tilv,2022,11701
ann_tilv,2023,
rep_inst,2003,
rep_inst,2004,
rep_inst,2005,
rep_inst,2006,
rep_inst,2007,
rep_inst,2008,739
rep_inst,2009,63
rep_inst,2010,-223
rep_inst,2011,1573
rep_inst,2012,1816
rep_inst,2013,938
rep_inst,2014,1137
rep_inst,2015,433
rep_inst,2016,1345
rep_inst,2017,1587
rep_inst,2018,1073
rep_inst,2019,1898
rep_inst,2020,1397
rep_inst,2021,2103
rep_inst,2022,-1543
rep_inst,2023,
el_gs_vrm,2003,
el_gs_vrm,2004,
el_gs_vrm,2005,
el_gs_vrm,2006,
el_gs_vrm,2007,
el_gs_vrm,2008,102746
el_gs_vrm,2009,40320
el_gs_vrm,2010,42901
el_gs_vrm,2011,44430
el_gs_vrm,2012,14046
el_gs_vrm,2013,8637
el_gs_vrm,2014,7906
el_gs_vrm,2015,96371
el_gs_vrm,2016,-808
el_gs_vrm,2017,15075
el_gs_vrm,2018,13684
el_gs_vrm,2019,29734
el_gs_vrm,2020,14529
el_gs_vrm,2021,49545
el_gs_vrm,2022,-6570
el_gs_vrm,2023,
vtnv,2003,
vtnv,2004,
vtnv,2005,
vtnv,2006,
vtnv,2007,
vtnv,2008,-53
vtnv,2009,9
vtnv,2010,20
vtnv,2011,-47
vtnv,2012,-35
vtnv,2013,-36
vtnv,2014,13
vtnv,2015,6
vtnv,2016,64
vtnv,2017,513
vtnv,2018,56
vtnv,2019,-31
vtnv,2020,94
vtnv,2021,-41
vtnv,2022,-57
vtnv,2023,
rngv,2003,
rngv,2004,
rngv,2005,
rngv,2006,
rngv,2007,
rngv,2008,18
rngv,2009,17
rngv,2010,55
rngv,2011,5
rngv,2012,52
rngv,2013,28
rngv,2014,132
rngv,2015,16
rngv,2016,46
rngv,2017,61
rngv,2018,35
rngv,2019,140
rngv,2020,173
rngv,2021,148
rngv,2022,168
rngv,2023,
avf_trv,2003,
avf_trv,2004,
avf_trv,2005,
avf_trv,2006,
avf_trv,2007,
avf_trv,2008,977
avf_trv,2009,1548
avf_trv,2010,1167
avf_trv,2011,1214
avf_trv,2012,777
avf_trv,2013,1107
avf_trv,2014,1004
avf_trv,2015,746
avf_trv,2016,1665
avf_trv,2017,867
avf_trv,2018,1529
avf_trv,2019,1126
avf_trv,2020,790
avf_trv,2021,811
avf_trv,2022,3314
avf_trv,2023,
san_ftrb,2003,
san_ftrb,2004,
san_ftrb,2005,
san_ftrb,2006,
san_ftrb,2007,
san_ftrb,2008,1
san_ftrb,2009,17
san_ftrb,2010,18
san_ftrb,2011,33
san_ftrb,2012,19
san_ftrb,2013,27
san_ftrb,2014,41
san_ftrb,2015,45
san_ftrb,2016,59
san_ftrb,2017,48
san_ftrb,2018,57
san_ftrb,2019,68
san_ftrb,2020,11
san_ftrb,2021,116
san_ftrb,2022,-3
san_ftrb,2023,
bgg_ent,2003,
bgg_ent,2004,
bgg_ent,2005,
bgg_ent,2006,
bgg_ent,2007,
bgg_ent,2008,11955
bgg_ent,2009,21509
bgg_ent,2010,19138
bgg_ent,2011,19135
bgg_ent,2012,15155
bgg_ent,2013,15098
bgg_ent,2014,16753
bgg_ent,2015,20961
bgg_ent,2016,28891
bgg_ent,2017,33173
bgg_ent,2018,31199
bgg_ent,2019,27661
bgg_ent,2020,29336
bgg_ent,2021,50536
bgg_ent,2022,19421
bgg_ent,2023,
anl_ent,2003,
anl_ent,2004,
anl_ent,2005,
anl_ent,2006,
anl_ent,2007,
anl_ent,2008,1349
anl_ent,2009,393
anl_ent,2010,347
anl_ent,2011,1137
anl_ent,2012,308
anl_ent,2013,721
anl_ent,2014,1527
anl_ent,2015,1399
anl_ent,2016,2067
anl_ent,2017,3176
anl_ent,2018,4995
anl_ent,2019,3172
anl_ent,2020,2053
anl_ent,2021,3462
anl_ent,2022,1297
anl_ent,2023,
spec_bgg,2003,
spec_bgg,2004,
spec_bgg,2005,
spec_bgg,2006,
spec_bgg,2007,
spec_bgg,2008,20668
spec_bgg,2009,16576
spec_bgg,2010,21078
spec_bgg,2011,23830
spec_bgg,2012,20235
spec_bgg,2013,18363
spec_bgg,2014,22938
spec_bgg,2015,30630
spec_bgg,2016,28979
spec_bgg,2017,30071
spec_bgg,2018,31133
spec_bgg,2019,29266
spec_bgg,2020,34102
spec_bgg,2021,40435
spec_bgg,2022,33626
spec_bgg,2023,
hnd_motc,2003,
hnd_motc,2004,
hnd_motc,2005,
hnd_motc,2006,
hnd_motc,2007,
hnd_motc,2008,4402
hnd_motc,2009,6586
hnd_motc,2010,11806
hnd_motc,2011,10085
hnd_motc,2012,6433
hnd_motc,2013,6873
hnd_motc,2014,9440
hnd_motc,2015,28334
hnd_motc,2016,15175
hnd_motc,2017,14140
hnd_motc,2018,12316
hnd_motc,2019,14511
hnd_motc,2020,14726
hnd_motc,2021,23150
hnd_motc,2022,15570
hnd_motc,2023,
prt_prv,2003,
prt_prv,2004,
prt_prv,2005,
prt_prv,2006,
prt_prv,2007,
prt_prv,2008,41482
prt_prv,2009,47842
prt_prv,2010,56877
prt_prv,2011,48376
prt_prv,2012,45945
prt_prv,2013,44229
prt_prv,2014,69840
prt_prv,2015,60184
prt_prv,2016,68319
prt_prv,2017,102439
prt_prv,2018,93004
prt_prv,2019,113659
prt_prv,2020,83740
prt_prv,2021,130234
prt_prv,2022,88706
prt_prv,2023,
det_hnd,2003,
det_hnd,2004,
det_hnd,2005,
det_hnd,2006,
det_hnd,2007,
det_hnd,2008,28295
det_hnd,2009,28119
det_hnd,2010,36152
det_hnd,2011,34247
det_hnd,2012,32737
det_hnd,2013,39123
det_hnd,2014,43263
det_hnd,2015,47298
det_hnd,2016,51168
det_hnd,2017,31880
det_hnd,2018,36257
det_hnd,2019,35526
det_hnd,2020,29708
det_hnd,2021,42363
det_hnd,2022,10653
det_hnd,2023,
lnd_transp,2003,
lnd_transp,2004,
lnd_transp,2005,
lnd_transp,2006,
lnd_transp,2007,
lnd_transp,2008,5335
lnd_transp,2009,7223
lnd_transp,2010,4074
lnd_transp,2011,2482
lnd_transp,2012,4708
lnd_transp,2013,3650
lnd_transp,2014,7567
lnd_transp,2015,7580
lnd_transp,2016,10646
lnd_transp,2017,8724
lnd_transp,2018,8349
lnd_transp,2019,10687
lnd_transp,2020,6727
lnd_transp,2021,8037
lnd_transp,2022,6887
lnd_transp,2023,
red,2003,
red,2004,
red,2005,
red,2006,
red,2007,
red,2008,2363
red,2009,1574
red,2010,-3846
red,2011,4203
red,2012,692
red,2013,-432
red,2014,1382
red,2015,6687
red,2016,13944
red,2017,5982
red,2018,4041
red,2019,4000
red,2020,-143
red,2021,2894
red,2022,2845
red,2023,
flg,2003,
flg,2004,
flg,2005,
flg,2006,
flg,2007,
flg,2008,-7670
flg,2009,-1676
flg,2010,-1015
flg,2011,-2085
flg,2012,-2153
flg,2013,-429
flg,2014,50
flg,2015,3431
flg,2016,-1191
flg,2017,580
flg,2018,178
flg,2019,-304
flg,2020,-4615
flg,2021,-3660
flg,2022,-5525
flg,2023,
mgs_pst,2003,
mgs_pst,2004,
mgs_pst,2005,
mgs_pst,2006,
mgs_pst,2007,
mgs_pst,2008,4474
mgs_pst,2009,4665
mgs_pst,2010,8052
mgs_pst,2011,4156
mgs_pst,2012,6575
mgs_pst,2013,6181
mgs_pst,2014,1555
mgs_pst,2015,5115
mgs_pst,2016,4510
mgs_pst,2017,6538
mgs_pst,2018,7699
mgs_pst,2019,4723
mgs_pst,2020,7632
mgs_pst,2021,9834
mgs_pst,2022,15879
mgs_pst,2023,
mgs_transp,2003,
mgs_transp,2004,
mgs_transp,2005,
mgs_transp,2006,
mgs_transp,2007,
mgs_transp,2008,
mgs_transp,2009,
mgs_transp,2010,
mgs_transp,2011,
mgs_transp,2012,
mgs_transp,2013,
mgs_transp,2014,2220
mgs_transp,2015,5840
mgs_transp,2016,6289
mgs_transp,2017,6093
mgs_transp,2018,6987
mgs_transp,2019,4540
mgs_transp,2020,5206
mgs_transp,2021,7658
mgs_transp,2022,10962
mgs_transp,2023,
pst,2003,
pst,2004,
pst,2005,
pst,2006,
pst,2007,
pst,2008,
pst,2009,
pst,2010,
pst,2011,
pst,2012,
pst,2013,
pst,2014,-665
pst,2015,-725
pst,2016,-1779
pst,2017,445
pst,2018,712
pst,2019,183
pst,2020,2426
pst,2021,2176
pst,2022,4917
pst,2023,
htl_cmp,2003,
htl_cmp,2004,
htl_cmp,2005,
htl_cmp,2006,
htl_cmp,2007,
htl_cmp,2008,1419
htl_cmp,2009,320
htl_cmp,2010,1157
htl_cmp,2011,1528
htl_cmp,2012,666
htl_cmp,2013,105
htl_cmp,2014,1432
htl_cmp,2015,4780
htl_cmp,2016,4791
htl_cmp,2017,4188
htl_cmp,2018,4017
htl_cmp,2019,3047
htl_cmp,2020,-6819
htl_cmp,2021,-1167
htl_cmp,2022,4873
htl_cmp,2023,
rst_bar,2003,
rst_bar,2004,
rst_bar,2005,
rst_bar,2006,
rst_bar,2007,
rst_bar,2008,2687
rst_bar,2009,3089
rst_bar,2010,4329
rst_bar,2011,4760
rst_bar,2012,5668
rst_bar,2013,5681
rst_bar,2014,6385
rst_bar,2015,6964
rst_bar,2016,7634
rst_bar,2017,7468
rst_bar,2018,7349
rst_bar,2019,7279
rst_bar,2020,4405
rst_bar,2021,6432
rst_bar,2022,6456
rst_bar,2023,
frlg,2003,
frlg,2004,
frlg,2005,
frlg,2006,
frlg,2007,
frlg,2008,11353
frlg,2009,2304
frlg,2010,3763
frlg,2011,1399
frlg,2012,4111
frlg,2013,4783
frlg,2014,21446
frlg,2015,6668
frlg,2016,10903
frlg,2017,7008
frlg,2018,4360
frlg,2019,3715
frlg,2020,15042
frlg,2021,12085
frlg,2022,15748
frlg,2023,
flm_ljd,2003,
flm_ljd,2004,
flm_ljd,2005,
flm_ljd,2006,
flm_ljd,2007,
flm_ljd,2008,853
flm_ljd,2009,2847
flm_ljd,2010,2097
flm_ljd,2011,2413
flm_ljd,2012,1321
flm_ljd,2013,289
flm_ljd,2014,1717
flm_ljd,2015,2725
flm_ljd,2016,-746
flm_ljd,2017,5019
flm_ljd,2018,590
flm_ljd,2019,5414
flm_ljd,2020,1960
flm_ljd,2021,5799
flm_ljd,2022,2764
flm_ljd,2023,
rdio_tv,2003,
rdio_tv,2004,
rdio_tv,2005,
rdio_tv,2006,
rdio_tv,2007,
rdio_tv,2008,1968
rdio_tv,2009,-2756
rdio_tv,2010,233
rdio_tv,2011,-1966
rdio_tv,2012,3421
rdio_tv,2013,-1926
rdio_tv,2014,-12
rdio_tv,2015,1339
rdio_tv,2016,-12
rdio_tv,2017,-798
rdio_tv,2018,-3
rdio_tv,2019,989
rdio_tv,2020,179
rdio_tv,2021,-1026
rdio_tv,2022,-1003
rdio_tv,2023,
tlekom,2003,
tlekom,2004,
tlekom,2005,
tlekom,2006,
tlekom,2007,
tlekom,2008,-9967
tlekom,2009,-6107
tlekom,2010,48460
tlekom,2011,34275
tlekom,2012,28363
tlekom,2013,27112
tlekom,2014,31677
tlekom,2015,14211
tlekom,2016,5939
tlekom,2017,27150
tlekom,2018,5816
tlekom,2019,14499
tlekom,2020,37060
tlekom,2021,29278
tlekom,2022,1113
tlekom,2023,
prgm_prod,2003,
prgm_prod,2004,
prgm_prod,2005,
prgm_prod,2006,
prgm_prod,2007,
prgm_prod,2008,3526
prgm_prod,2009,4583
prgm_prod,2010,8487
prgm_prod,2011,10766
prgm_prod,2012,-2244
prgm_prod,2013,19742
prgm_prod,2014,14298
prgm_prod,2015,43580
prgm_prod,2016,28898
prgm_prod,2017,-7573
prgm_prod,2018,19373
prgm_prod,2019,31088
prgm_prod,2020,104674
prgm_prod,2021,75627
prgm_prod,2022,27365
prgm_prod,2023,
inf_frlg,2003,
inf_frlg,2004,
inf_frlg,2005,
inf_frlg,2006,
inf_frlg,2007,
inf_frlg,2008,126
inf_frlg,2009,705
inf_frlg,2010,815
inf_frlg,2011,528
inf_frlg,2012,-20
inf_frlg,2013,-939
inf_frlg,2014,-380
inf_frlg,2015,-63
inf_frlg,2016,1045
inf_frlg,2017,-2982
inf_frlg,2018,6297
inf_frlg,2019,459
inf_frlg,2020,-3612
inf_frlg,2021,1862
inf_frlg,2022,-9300
inf_frlg,2023,
fst_frv,2003,
fst_frv,2004,
fst_frv,2005,
fst_frv,2006,
fst_frv,2007,
fst_frv,2008,15200
fst_frv,2009,41464
fst_frv,2010,67328
fst_frv,2011,66205
fst_frv,2012,62419
fst_frv,2013,74498
fst_frv,2014,87892
fst_frv,2015,116160
fst_frv,2016,130753
fst_frv,2017,135012
fst_frv,2018,143042
fst_frv,2019,164435
fst_frv,2020,161994
fst_frv,2021,275824
fst_frv,2022,50515
fst_frv,2023,
jur_ek,2003,
jur_ek,2004,
jur_ek,2005,
jur_ek,2006,
jur_ek,2007,
jur_ek,2008,9671
jur_ek,2009,8862
jur_ek,2010,10905
jur_ek,2011,11112
jur_ek,2012,9615
jur_ek,2013,11627
jur_ek,2014,14238
jur_ek,2015,14728
jur_ek,2016,17173
jur_ek,2017,18165
jur_ek,2018,22073
jur_ek,2019,17636
jur_ek,2020,22768
jur_ek,2021,26119
jur_ek,2022,20035
jur_ek,2023,
pr_kom,2003,
pr_kom,2004,
pr_kom,2005,
pr_kom,2006,
pr_kom,2007,
pr_kom,2008,1825
pr_kom,2009,26129
pr_kom,2010,32077
pr_kom,2011,30431
pr_kom,2012,26127
pr_kom,2013,31501
pr_kom,2014,31451
pr_kom,2015,35748
pr_kom,2016,68339
pr_kom,2017,58755
pr_kom,2018,51609
pr_kom,2019,85915
pr_kom,2020,86551
pr_kom,2021,150278
pr_kom,2022,93669
pr_kom,2023,
ark_frs,2003,
