sninamn,year,ghg_utsl
ind_stn,2014,2851
ind_stn,2015,2925
ind_stn,2016,2861
ind_stn,2017,2943
ind_stn,2018,3083
ind_stn,2019,2474
ind_stn,2020,2373
ind_stn,2021,2780
ind_stn,2022,2687
ind_stn,2023,
tilv_kem,2003,
tilv_kem,2004,
tilv_kem,2005,
tilv_kem,2006,
tilv_kem,2007,
tilv_kem,2008,1510
tilv_kem,2009,1373
tilv_kem,2010,1617
tilv_kem,2011,1317
tilv_kem,2012,1315
tilv_kem,2013,1319
tilv_kem,2014,1241
tilv_kem,2015,1215
tilv_kem,2016,1270
tilv_kem,2017,1261
tilv_kem,2018,1256
tilv_kem,2019,1227
tilv_kem,2020,915
tilv_kem,2021,1310
tilv_kem,2022,1105
tilv_kem,2023,
gmi_pls,2003,
gmi_pls,2004,
gmi_pls,2005,
gmi_pls,2006,
gmi_pls,2007,
gmi_pls,2008,127
gmi_pls,2009,119
gmi_pls,2010,137
gmi_pls,2011,112
gmi_pls,2012,98
gmi_pls,2013,93
gmi_pls,2014,90
gmi_pls,2015,89
gmi_pls,2016,87
gmi_pls,2017,79
gmi_pls,2018,76
gmi_pls,2019,76
gmi_pls,2020,79
gmi_pls,2021,63
gmi_pls,2022,59
gmi_pls,2023,
ind_min,2003,
ind_min,2004,
ind_min,2005,
ind_min,2006,
ind_min,2007,
ind_min,2008,3468
ind_min,2009,2943
ind_min,2010,3339
ind_min,2011,3425
ind_min,2012,3465
ind_min,2013,3157
ind_min,2014,3101
ind_min,2015,3255
ind_min,2016,3338
ind_min,2017,3304
ind_min,2018,3383
ind_min,2019,2931
ind_min,2020,2761
ind_min,2021,2752
ind_min,2022,2647
ind_min,2023,
stl_met,2003,
stl_met,2004,
stl_met,2005,
stl_met,2006,
stl_met,2007,
stl_met,2008,5956
stl_met,2009,3389
stl_met,2010,5675
stl_met,2011,5301
stl_met,2012,4490
stl_met,2013,4564
stl_met,2014,4637
stl_met,2015,4867
stl_met,2016,4864
stl_met,2017,4674
stl_met,2018,4470
stl_met,2019,5676
stl_met,2020,4429
stl_met,2021,4793
stl_met,2022,5002
stl_met,2023,
ind_met_,2003,
ind_met_,2004,
ind_met_,2005,
ind_met_,2006,
ind_met_,2007,
ind_met_,2008,267
ind_met_,2009,241
ind_met_,2010,251
ind_met_,2011,220
ind_met_,2012,224
ind_met_,2013,213
ind_met_,2014,207
ind_met_,2015,191
ind_met_,2016,182
ind_met_,2017,189
ind_met_,2018,174
ind_met_,2019,175
ind_met_,2020,145
ind_met_,2021,145
ind_met_,2022,133
ind_met_,2023,
ind_dat_ejel,2003,
ind_dat_ejel,2004,
ind_dat_ejel,2005,
ind_dat_ejel,2006,
ind_dat_ejel,2007,
ind_dat_ejel,2008,28
ind_dat_ejel,2009,22
ind_dat_ejel,2010,21
ind_dat_ejel,2011,20
ind_dat_ejel,2012,19
ind_dat_ejel,2013,17
ind_dat_ejel,2014,15
ind_dat_ejel,2015,12
ind_dat_ejel,2016,12
ind_dat_ejel,2017,11
ind_dat_ejel,2018,10
ind_dat_ejel,2019,10
ind_dat_ejel,2020,10
ind_dat_ejel,2021,10
ind_dat_ejel,2022,9
ind_dat_ejel,2023,
ind_elap,2003,
ind_elap,2004,
ind_elap,2005,
ind_elap,2006,
ind_elap,2007,
ind_elap,2008,49
ind_elap,2009,60
ind_elap,2010,64
ind_elap,2011,41
ind_elap,2012,35
ind_elap,2013,34
ind_elap,2014,30
ind_elap,2015,33
ind_elap,2016,35
ind_elap,2017,28
ind_elap,2018,27
ind_elap,2019,25
ind_elap,2020,19
ind_elap,2021,21
ind_elap,2022,20
ind_elap,2023,
elap,2003,
elap,2004,
elap,2005,
elap,2006,
elap,2007,
elap,2008,196
elap,2009,151
elap,2010,163
elap,2011,139
elap,2012,136
elap,2013,131
elap,2014,139
elap,2015,143
elap,2016,147
elap,2017,142
elap,2018,133
elap,2019,120
elap,2020,103
elap,2021,117
elap,2022,107
elap,2023,
ind_mot_vag,2003,
ind_mot_vag,2004,
ind_mot_vag,2005,
ind_mot_vag,2006,
ind_mot_vag,2007,
ind_mot_vag,2008,261
ind_mot_vag,2009,207
ind_mot_vag,2010,240
ind_mot_vag,2011,219
ind_mot_vag,2012,216
ind_mot_vag,2013,223
ind_mot_vag,2014,181
ind_mot_vag,2015,185
ind_mot_vag,2016,154
ind_mot_vag,2017,183
ind_mot_vag,2018,188
ind_mot_vag,2019,174
ind_mot_vag,2020,138
ind_mot_vag,2021,148
ind_mot_vag,2022,126
ind_mot_vag,2023,
ann_transp,2003,
ann_transp,2004,
ann_transp,2005,
ann_transp,2006,
ann_transp,2007,
ann_transp,2008,33
ann_transp,2009,26
ann_transp,2010,28
ann_transp,2011,25
ann_transp,2012,19
ann_transp,2013,19
ann_transp,2014,17
ann_transp,2015,17
ann_transp,2016,20
ann_transp,2017,17
ann_transp,2018,16
ann_transp,2019,17
ann_transp,2020,20
ann_transp,2021,14
ann_transp,2022,11
ann_transp,2023,
tilv_mob,2003,
tilv_mob,2004,
tilv_mob,2005,
tilv_mob,2006,
tilv_mob,2007,
tilv_mob,2008,75
tilv_mob,2009,63
tilv_mob,2010,69
tilv_mob,2011,65
tilv_mob,2012,62
tilv_mob,2013,63
tilv_mob,2014,57
tilv_mob,2015,51
tilv_mob,2016,48
tilv_mob,2017,45
tilv_mob,2018,40
tilv_mob,2019,41
tilv_mob,2020,37
tilv_mob,2021,43
tilv_mob,2022,32
tilv_mob,2023,
rep_inst,2003,
rep_inst,2004,
rep_inst,2005,
rep_inst,2006,
rep_inst,2007,
rep_inst,2008,76
rep_inst,2009,74
rep_inst,2010,81
rep_inst,2011,80
