sni_id,year,ant_for_noll
arkitekt,2006,22003
arkitekt,2007,22378
arkitekt,2008,20732
arkitekt,2009,24363
arkitekt,2010,23871
arkitekt,2011,23259
arkitekt,2012,23525
arkitekt,2013,23489
arkitekt,2014,23961
arkitekt,2015,23740
arkitekt,2016,23643
arkitekt,2017,23694
arkitekt,2018,26434
arkitekt,2019,26573
arkitekt,2020,26887
arkitekt,2021,27150
arkitekt,2022,
arkitekt,2023,
avfallshantering_ater,2000,
avfallshantering_ater,2001,
avfallshantering_ater,2002,
avfallshantering_ater,2003,
avfallshantering_ater,2004,
avfallshantering_ater,2005,
avfallshantering_ater,2006,289
avfallshantering_ater,2007,294
avfallshantering_ater,2008,279
avfallshantering_ater,2009,317
avfallshantering_ater,2010,334
avfallshantering_ater,2011,354
avfallshantering_ater,2012,369
avfallshantering_ater,2013,360
avfallshantering_ater,2014,365
avfallshantering_ater,2015,394
avfallshantering_ater,2016,418
avfallshantering_ater,2017,411
avfallshantering_ater,2018,467
avfallshantering_ater,2019,472
avfallshantering_ater,2020,477
avfallshantering_ater,2021,500
avfallshantering_ater,2022,
avfallshantering_ater,2023,
banker,2000,
banker,2001,
banker,2002,
banker,2003,
banker,2004,
banker,2005,
banker,2006,3920
banker,2007,4056
banker,2008,4780
banker,2009,6606
banker,2010,7456
banker,2011,9094
banker,2012,9725
banker,2013,11012
banker,2014,11995
banker,2015,12765
banker,2016,13291
banker,2017,13960
banker,2018,15730
banker,2019,16949
banker,2020,18298
banker,2021,19615
banker,2022,
banker,2023,
bekladnadsindustri,2000,
bekladnadsindustri,2001,
bekladnadsindustri,2002,
bekladnadsindustri,2003,
bekladnadsindustri,2004,
bekladnadsindustri,2005,
bekladnadsindustri,2006,1642
bekladnadsindustri,2007,1681
bekladnadsindustri,2008,1560
bekladnadsindustri,2009,1798
bekladnadsindustri,2010,1767
bekladnadsindustri,2011,1725
bekladnadsindustri,2012,1761
bekladnadsindustri,2013,1770
bekladnadsindustri,2014,1786
bekladnadsindustri,2015,1753
bekladnadsindustri,2016,1708
bekladnadsindustri,2017,1696
bekladnadsindustri,2018,1676
bekladnadsindustri,2019,1639
bekladnadsindustri,2020,1572
bekladnadsindustri,2021,1507
bekladnadsindustri,2022,
bekladnadsindustri,2023,
bibliotek_arki,2000,
bibliotek_arki,2001,
bibliotek_arki,2002,
bibliotek_arki,2003,
bibliotek_arki,2004,
bibliotek_arki,2005,
bibliotek_arki,2006,362
bibliotek_arki,2007,386
bibliotek_arki,2008,321
bibliotek_arki,2009,424
bibliotek_arki,2010,434
bibliotek_arki,2011,434
bibliotek_arki,2012,460
bibliotek_arki,2013,481
bibliotek_arki,2014,503
bibliotek_arki,2015,503
bibliotek_arki,2016,519
bibliotek_arki,2017,499
bibliotek_arki,2018,516
bibliotek_arki,2019,511
bibliotek_arki,2020,520
bibliotek_arki,2021,517
bibliotek_arki,2022,
bibliotek_arki,2023,
byggentreprenorer,2000,
byggentreprenorer,2001,
byggentreprenorer,2002,
byggentreprenorer,2003,
byggentreprenorer,2004,
byggentreprenorer,2005,
byggentreprenorer,2006,9898
byggentreprenorer,2007,10167
byggentreprenorer,2008,10759
byggentreprenorer,2009,12208
byggentreprenorer,2010,12464
byggentreprenorer,2011,12581
byggentreprenorer,2012,12998
byggentreprenorer,2013,13199
byggentreprenorer,2014,13604
byggentreprenorer,2015,13854
byggentreprenorer,2016,13748
byggentreprenorer,2017,13709
byggentreprenorer,2018,15730
byggentreprenorer,2019,16647
byggentreprenorer,2020,17206
byggentreprenorer,2021,17441
byggentreprenorer,2022,
byggentreprenorer,2023,
offentlig_forv,2000,
offentlig_forv,2001,
offentlig_forv,2002,
offentlig_forv,2003,
offentlig_forv,2004,
offentlig_forv,2005,
offentlig_forv,2006,228
offentlig_forv,2007,229
offentlig_forv,2008,165
