sni_id,year,fordon_icke_farl
tillv_el_mot,2006,
tillv_el_mot,2007,
tillv_el_mot,2008,
tillv_el_mot,2009,
tillv_el_mot,2010,
tillv_el_mot,2011,
tillv_el_mot,2012,
tillv_el_mot,2013,
tillv_el_mot,2014,0
tillv_el_mot,2015,
tillv_el_mot,2016,0
tillv_el_mot,2017,
tillv_el_mot,2018,0
tillv_el_mot,2019,
tillv_el_mot,2020,60
tillv_el_mot,2021,
tillv_el_mot,2022,0
tillv_el_mot,2023,
marknadsproduktion_tjan,2000,
marknadsproduktion_tjan,2001,
marknadsproduktion_tjan,2002,
marknadsproduktion_tjan,2003,
marknadsproduktion_tjan,2004,
marknadsproduktion_tjan,2005,
marknadsproduktion_tjan,2006,
marknadsproduktion_tjan,2007,
marknadsproduktion_tjan,2008,
marknadsproduktion_tjan,2009,
marknadsproduktion_tjan,2010,
marknadsproduktion_tjan,2011,
marknadsproduktion_tjan,2012,
marknadsproduktion_tjan,2013,
marknadsproduktion_tjan,2014,0
marknadsproduktion_tjan,2015,
marknadsproduktion_tjan,2016,40
marknadsproduktion_tjan,2017,
marknadsproduktion_tjan,2018,40
marknadsproduktion_tjan,2019,
marknadsproduktion_tjan,2020,0
marknadsproduktion_tjan,2021,
marknadsproduktion_tjan,2022,0
marknadsproduktion_tjan,2023,
industri_for_tra,2000,
industri_for_tra,2001,
industri_for_tra,2002,
industri_for_tra,2003,
industri_for_tra,2004,
industri_for_tra,2005,
industri_for_tra,2006,
industri_for_tra,2007,
industri_for_tra,2008,
industri_for_tra,2009,
industri_for_tra,2010,
industri_for_tra,2011,
industri_for_tra,2012,
industri_for_tra,2013,
industri_for_tra,2014,0
industri_for_tra,2015,
industri_for_tra,2016,0
industri_for_tra,2017,
industri_for_tra,2018,0
industri_for_tra,2019,
industri_for_tra,2020,0
industri_for_tra,2021,
industri_for_tra,2022,0
industri_for_tra,2023,
utvinning_min,2000,
utvinning_min,2001,
utvinning_min,2002,
utvinning_min,2003,
utvinning_min,2004,
utvinning_min,2005,
utvinning_min,2006,
utvinning_min,2007,
utvinning_min,2008,
utvinning_min,2009,
utvinning_min,2010,
utvinning_min,2011,
utvinning_min,2012,
utvinning_min,2013,
utvinning_min,2014,0
utvinning_min,2015,
utvinning_min,2016,0
utvinning_min,2017,
utvinning_min,2018,0
utvinning_min,2019,
utvinning_min,2020,0
utvinning_min,2021,
utvinning_min,2022,0
utvinning_min,2023,
vattenforsorjning_avlo_san,2000,
vattenforsorjning_avlo_san,2001,
vattenforsorjning_avlo_san,2002,
vattenforsorjning_avlo_san,2003,
vattenforsorjning_avlo_san,2004,
vattenforsorjning_avlo_san,2005,
vattenforsorjning_avlo_san,2006,
vattenforsorjning_avlo_san,2007,
vattenforsorjning_avlo_san,2008,
vattenforsorjning_avlo_san,2009,
vattenforsorjning_avlo_san,2010,
vattenforsorjning_avlo_san,2011,
vattenforsorjning_avlo_san,2012,
vattenforsorjning_avlo_san,2013,
vattenforsorjning_avlo_san,2014,0
vattenforsorjning_avlo_san,2015,
vattenforsorjning_avlo_san,2016,0
vattenforsorjning_avlo_san,2017,
vattenforsorjning_avlo_san,2018,0
vattenforsorjning_avlo_san,2019,
vattenforsorjning_avlo_san,2020,0
vattenforsorjning_avlo_san,2021,
vattenforsorjning_avlo_san,2022,0
vattenforsorjning_avlo_san,2023,
