sninamn,year,prodvar
stl_met,2015,3774
stl_met,2016,3214
stl_met,2017,3233
stl_met,2018,3659
stl_met,2019,3640
stl_met,2020,3033
stl_met,2021,3536
stl_met,2022,
stl_met,2023,
ind_met_,2003,1129
ind_met_,2004,1145
ind_met_,2005,1380
ind_met_,2006,1630
ind_met_,2007,1762
ind_met_,2008,1211
ind_met_,2009,1183
ind_met_,2010,1150
ind_met_,2011,1039
ind_met_,2012,1480
ind_met_,2013,1192
ind_met_,2014,1226
ind_met_,2015,1130
ind_met_,2016,1120
ind_met_,2017,1178
ind_met_,2018,1259
ind_met_,2019,1222
ind_met_,2020,1208
ind_met_,2021,1110
ind_met_,2022,
ind_met_,2023,
tilv_dat,2003,5711
tilv_dat,2004,6394
tilv_dat,2005,7521
tilv_dat,2006,8264
tilv_dat,2007,9165
tilv_dat,2008,11027
tilv_dat,2009,10348
tilv_dat,2010,6027
tilv_dat,2011,4005
tilv_dat,2012,3824
tilv_dat,2013,4071
tilv_dat,2014,3545
tilv_dat,2015,7289
tilv_dat,2016,7029
tilv_dat,2017,6437
tilv_dat,2018,6209
tilv_dat,2019,5589
tilv_dat,2020,4807
tilv_dat,2021,5260
tilv_dat,2022,
tilv_dat,2023,
elap,2003,10371
elap,2004,11359
elap,2005,13112
elap,2006,14313
elap,2007,14277
elap,2008,14917
elap,2009,13328
elap,2010,11636
elap,2011,12235
elap,2012,11867
elap,2013,9580
elap,2014,10090
elap,2015,9984
elap,2016,10052
elap,2017,10994
elap,2018,12403
elap,2019,15011
elap,2020,13302
elap,2021,15234
elap,2022,
elap,2023,
ind_mot_vag,2003,657
ind_mot_vag,2004,634
ind_mot_vag,2005,679
ind_mot_vag,2006,814
ind_mot_vag,2007,940
ind_mot_vag,2008,994
ind_mot_vag,2009,910
ind_mot_vag,2010,619
ind_mot_vag,2011,850
ind_mot_vag,2012,1106
ind_mot_vag,2013,1204
ind_mot_vag,2014,1295
ind_mot_vag,2015,1915
ind_mot_vag,2016,1513
ind_mot_vag,2017,1533
ind_mot_vag,2018,1387
ind_mot_vag,2019,1607
ind_mot_vag,2020,1394
ind_mot_vag,2021,1394
ind_mot_vag,2022,
ind_mot_vag,2023,
ann_transp,2003,
ann_transp,2004,
ann_transp,2005,
ann_transp,2006,17
ann_transp,2007,12
ann_transp,2008,7
ann_transp,2009,4
ann_transp,2010,6
ann_transp,2011,
ann_transp,2012,7
ann_transp,2013,9
ann_transp,2014,12
ann_transp,2015,9
ann_transp,2016,13
ann_transp,2017,17
ann_transp,2018,12
ann_transp,2019,11
ann_transp,2020,13
ann_transp,2021,19
ann_transp,2022,
ann_transp,2023,
tilv_mob,2003,
tilv_mob,2004,
tilv_mob,2005,17
tilv_mob,2006,26
tilv_mob,2007,2
tilv_mob,2008,5
tilv_mob,2009,3
tilv_mob,2010,1
tilv_mob,2011,7
tilv_mob,2012,38
tilv_mob,2013,43
tilv_mob,2014,82
tilv_mob,2015,87
tilv_mob,2016,93
tilv_mob,2017,97
tilv_mob,2018,123
tilv_mob,2019,115
tilv_mob,2020,154
tilv_mob,2021,178
tilv_mob,2022,
tilv_mob,2023,
rep_inst,2003,1833
rep_inst,2004,1437
rep_inst,2005,1796
rep_inst,2006,2036
rep_inst,2007,2735
rep_inst,2008,2805
rep_inst,2009,3143
rep_inst,2010,2902
rep_inst,2011,2865
rep_inst,2012,2169
rep_inst,2013,1955
rep_inst,2014,1855
rep_inst,2015,1765
rep_inst,2016,1315
rep_inst,2017,1188
rep_inst,2018,1512
rep_inst,2019,1493
rep_inst,2020,1381
rep_inst,2021,1173
rep_inst,2022,
