sni_id,year,ant_for_fem_hundra
avfallshantering_ater,2004,
avfallshantering_ater,2005,
avfallshantering_ater,2006,4
avfallshantering_ater,2007,4
avfallshantering_ater,2008,4
avfallshantering_ater,2009,4
avfallshantering_ater,2010,4
avfallshantering_ater,2011,4
avfallshantering_ater,2012,6
avfallshantering_ater,2013,6
avfallshantering_ater,2014,6
avfallshantering_ater,2015,6
avfallshantering_ater,2016,6
avfallshantering_ater,2017,5
avfallshantering_ater,2018,6
avfallshantering_ater,2019,6
avfallshantering_ater,2020,7
avfallshantering_ater,2021,7
avfallshantering_ater,2022,
avfallshantering_ater,2023,
banker,2000,
banker,2001,
banker,2002,
banker,2003,
banker,2004,
banker,2005,
banker,2006,8
banker,2007,7
banker,2008,8
banker,2009,9
banker,2010,7
banker,2011,8
banker,2012,9
banker,2013,9
banker,2014,9
