sni_id,year,ant_for_fem
flygbolag,2009,20
flygbolag,2010,16
flygbolag,2011,21
flygbolag,2012,16
flygbolag,2013,14
flygbolag,2014,17
flygbolag,2015,13
flygbolag,2016,16
flygbolag,2017,9
flygbolag,2018,13
flygbolag,2019,14
flygbolag,2020,14
flygbolag,2021,12
flygbolag,2022,
flygbolag,2023,
forsknings,2000,
forsknings,2001,
forsknings,2002,
forsknings,2003,
forsknings,2004,
forsknings,2005,
forsknings,2006,139
forsknings,2007,140
forsknings,2008,126
forsknings,2009,135
forsknings,2010,123
forsknings,2011,140
forsknings,2012,135
forsknings,2013,127
forsknings,2014,141
forsknings,2015,137
forsknings,2016,144
forsknings,2017,157
forsknings,2018,148
forsknings,2019,182
forsknings,2020,201
forsknings,2021,193
forsknings,2022,
forsknings,2023,
foretag_for_bev,2000,
foretag_for_bev,2001,
foretag_for_bev,2002,
foretag_for_bev,2003,
foretag_for_bev,2004,
foretag_for_bev,2005,
foretag_for_bev,2006,79
foretag_for_bev,2007,74
foretag_for_bev,2008,80
foretag_for_bev,2009,76
foretag_for_bev,2010,79
foretag_for_bev,2011,85
foretag_for_bev,2012,81
foretag_for_bev,2013,95
foretag_for_bev,2014,95
foretag_for_bev,2015,101
foretag_for_bev,2016,91
foretag_for_bev,2017,93
foretag_for_bev,2018,71
foretag_for_bev,2019,97
foretag_for_bev,2020,78
foretag_for_bev,2021,75
foretag_for_bev,2022,
foretag_for_bev,2023,
foretag_for,2000,
foretag_for,2001,
foretag_for,2002,
foretag_for,2003,
foretag_for,2004,
foretag_for,2005,
foretag_for,2006,672
foretag_for,2007,690
foretag_for,2008,737
foretag_for,2009,816
foretag_for,2010,859
foretag_for,2011,925
foretag_for,2012,958
foretag_for,2013,1035
foretag_for,2014,1050
foretag_for,2015,1101
foretag_for,2016,1160
foretag_for,2017,1156
foretag_for,2018,1284
foretag_for,2019,1388
foretag_for,2020,1396
foretag_for,2021,1386
foretag_for,2022,
foretag_for,2023,
forlag,2000,
forlag,2001,
forlag,2002,
forlag,2003,
forlag,2004,
forlag,2005,
forlag,2006,313
forlag,2007,345
forlag,2008,336
forlag,2009,332
forlag,2010,323
forlag,2011,308
forlag,2012,326
forlag,2013,353
forlag,2014,331
forlag,2015,312
forlag,2016,306
forlag,2017,333
forlag,2018,316
forlag,2019,316
forlag,2020,336
forlag,2021,320
forlag,2022,
forlag,2023,
forsakrings,2000,
forsakrings,2001,
forsakrings,2002,
forsakrings,2003,
forsakrings,2004,
forsakrings,2005,
forsakrings,2006,45
forsakrings,2007,43
forsakrings,2008,48
forsakrings,2009,43
forsakrings,2010,39
forsakrings,2011,25
forsakrings,2012,27
forsakrings,2013,25
forsakrings,2014,23
forsakrings,2015,27
forsakrings,2016,31
forsakrings,2017,24
forsakrings,2018,26
forsakrings,2019,22
forsakrings,2020,26
forsakrings,2021,24
forsakrings,2022,
forsakrings,2023,
forvarvsarbete_ihu,2000,
forvarvsarbete_ihu,2001,
forvarvsarbete_ihu,2002,
forvarvsarbete_ihu,2003,
forvarvsarbete_ihu,2004,
forvarvsarbete_ihu,2005,
forvarvsarbete_ihu,2006,0
forvarvsarbete_ihu,2007,0
forvarvsarbete_ihu,2008,0
forvarvsarbete_ihu,2009,0
forvarvsarbete_ihu,2010,0
forvarvsarbete_ihu,2011,0
forvarvsarbete_ihu,2012,0
forvarvsarbete_ihu,2013,0
forvarvsarbete_ihu,2014,0
forvarvsarbete_ihu,2015,0
forvarvsarbete_ihu,2016,1
forvarvsarbete_ihu,2017,1
forvarvsarbete_ihu,2018,0
forvarvsarbete_ihu,2019,1
forvarvsarbete_ihu,2020,1
forvarvsarbete_ihu,2021,0
forvarvsarbete_ihu,2022,
