sni_id,year,ant_for_tio
arkitekt,2010,574
arkitekt,2011,580
arkitekt,2012,594
arkitekt,2013,624
arkitekt,2014,626
arkitekt,2015,651
arkitekt,2016,680
arkitekt,2017,718
arkitekt,2018,753
arkitekt,2019,781
arkitekt,2020,815
arkitekt,2021,791
arkitekt,2022,
arkitekt,2023,
avfallshantering_ater,2000,
avfallshantering_ater,2001,
avfallshantering_ater,2002,
avfallshantering_ater,2003,
avfallshantering_ater,2004,
avfallshantering_ater,2005,
avfallshantering_ater,2006,71
avfallshantering_ater,2007,71
avfallshantering_ater,2008,73
avfallshantering_ater,2009,66
avfallshantering_ater,2010,80
avfallshantering_ater,2011,66
avfallshantering_ater,2012,73
avfallshantering_ater,2013,76
avfallshantering_ater,2014,65
avfallshantering_ater,2015,71
avfallshantering_ater,2016,66
avfallshantering_ater,2017,66
avfallshantering_ater,2018,68
avfallshantering_ater,2019,86
avfallshantering_ater,2020,82
avfallshantering_ater,2021,69
avfallshantering_ater,2022,
avfallshantering_ater,2023,
banker,2000,
banker,2001,
banker,2002,
banker,2003,
banker,2004,
banker,2005,
banker,2006,68
banker,2007,60
banker,2008,64
banker,2009,63
banker,2010,71
banker,2011,65
banker,2012,70
banker,2013,72
banker,2014,74
banker,2015,71
banker,2016,83
banker,2017,95
banker,2018,96
banker,2019,109
banker,2020,114
banker,2021,119
banker,2022,
banker,2023,
bekladnadsindustri,2000,
bekladnadsindustri,2001,
bekladnadsindustri,2002,
bekladnadsindustri,2003,
bekladnadsindustri,2004,
bekladnadsindustri,2005,
bekladnadsindustri,2006,26
bekladnadsindustri,2007,26
bekladnadsindustri,2008,23
bekladnadsindustri,2009,20
bekladnadsindustri,2010,21
bekladnadsindustri,2011,17
bekladnadsindustri,2012,15
bekladnadsindustri,2013,17
bekladnadsindustri,2014,18
bekladnadsindustri,2015,13
bekladnadsindustri,2016,11
bekladnadsindustri,2017,12
bekladnadsindustri,2018,10
bekladnadsindustri,2019,11
bekladnadsindustri,2020,9
bekladnadsindustri,2021,13
bekladnadsindustri,2022,
bekladnadsindustri,2023,
bibliotek_arki,2000,
bibliotek_arki,2001,
bibliotek_arki,2002,
bibliotek_arki,2003,
bibliotek_arki,2004,
bibliotek_arki,2005,
bibliotek_arki,2006,24
bibliotek_arki,2007,30
bibliotek_arki,2008,26
bibliotek_arki,2009,27
bibliotek_arki,2010,25
bibliotek_arki,2011,26
bibliotek_arki,2012,37
bibliotek_arki,2013,35
bibliotek_arki,2014,33
bibliotek_arki,2015,27
bibliotek_arki,2016,28
bibliotek_arki,2017,25
bibliotek_arki,2018,29
bibliotek_arki,2019,36
bibliotek_arki,2020,34
bibliotek_arki,2021,40
bibliotek_arki,2022,
bibliotek_arki,2023,
byggentreprenorer,2000,
byggentreprenorer,2001,
byggentreprenorer,2002,
byggentreprenorer,2003,
byggentreprenorer,2004,
byggentreprenorer,2005,
byggentreprenorer,2006,589
byggentreprenorer,2007,577
byggentreprenorer,2008,594
byggentreprenorer,2009,625
byggentreprenorer,2010,657
byggentreprenorer,2011,647
byggentreprenorer,2012,684
byggentreprenorer,2013,684
byggentreprenorer,2014,729
byggentreprenorer,2015,800
byggentreprenorer,2016,827
byggentreprenorer,2017,848
byggentreprenorer,2018,898
byggentreprenorer,2019,964
byggentreprenorer,2020,988
byggentreprenorer,2021,922
byggentreprenorer,2022,
byggentreprenorer,2023,
offentlig_forv,2000,
offentlig_forv,2001,
offentlig_forv,2002,
offentlig_forv,2003,
offentlig_forv,2004,
offentlig_forv,2005,
offentlig_forv,2006,41
offentlig_forv,2007,30
offentlig_forv,2008,29
offentlig_forv,2009,30
offentlig_forv,2010,24
offentlig_forv,2011,29
offentlig_forv,2012,24
offentlig_forv,2013,25
offentlig_forv,2014,21
offentlig_forv,2015,21
offentlig_forv,2016,26
offentlig_forv,2017,28
offentlig_forv,2018,32
offentlig_forv,2019,34
offentlig_forv,2020,30
offentlig_forv,2021,26
offentlig_forv,2022,
offentlig_forv,2023,
detaljhandel_ut_mot,2000,
detaljhandel_ut_mot,2001,
detaljhandel_ut_mot,2002,
detaljhandel_ut_mot,2003,
detaljhandel_ut_mot,2004,
detaljhandel_ut_mot,2005,
detaljhandel_ut_mot,2006,2058
detaljhandel_ut_mot,2007,2015
detaljhandel_ut_mot,2008,2053
detaljhandel_ut_mot,2009,2012
detaljhandel_ut_mot,2010,2050
detaljhandel_ut_mot,2011,2001
detaljhandel_ut_mot,2012,1994
detaljhandel_ut_mot,2013,2008
detaljhandel_ut_mot,2014,1961
detaljhandel_ut_mot,2015,1943
detaljhandel_ut_mot,2016,1907
detaljhandel_ut_mot,2017,1841
detaljhandel_ut_mot,2018,2087
detaljhandel_ut_mot,2019,2250
detaljhandel_ut_mot,2020,2321
detaljhandel_ut_mot,2021,2255
detaljhandel_ut_mot,2022,
detaljhandel_ut_mot,2023,
drycker,2000,
drycker,2001,
drycker,2002,
drycker,2003,
drycker,2004,
drycker,2005,
drycker,2006,9
drycker,2007,8
drycker,2008,6
drycker,2009,7
drycker,2010,4
drycker,2011,9
drycker,2012,13
drycker,2013,11
drycker,2014,14
