sninamn,year,forv_kv
rep_inst,2007,175
rep_inst,2008,187
rep_inst,2009,181
rep_inst,2010,162
rep_inst,2011,166
rep_inst,2012,170
rep_inst,2013,141
rep_inst,2014,129
rep_inst,2015,125
rep_inst,2016,107
rep_inst,2017,81
rep_inst,2018,67
rep_inst,2019,65
rep_inst,2020,59
rep_inst,2021,50
rep_inst,2022,
rep_inst,2023,
el_gs_vrm,2003,1251
el_gs_vrm,2004,1519
el_gs_vrm,2005,1448
el_gs_vrm,2006,1497
el_gs_vrm,2007,1499
el_gs_vrm,2008,1571
el_gs_vrm,2009,1645
el_gs_vrm,2010,1605
el_gs_vrm,2011,2374
el_gs_vrm,2012,2923
el_gs_vrm,2013,2690
el_gs_vrm,2014,2901
el_gs_vrm,2015,2843
el_gs_vrm,2016,2952
el_gs_vrm,2017,3156
el_gs_vrm,2018,3004
el_gs_vrm,2019,3252
el_gs_vrm,2020,3332
el_gs_vrm,2021,3280
el_gs_vrm,2022,
el_gs_vrm,2023,
vtnf,2003,24
vtnf,2004,26
vtnf,2005,27
vtnf,2006,27
vtnf,2007,26
vtnf,2008,40
vtnf,2009,39
vtnf,2010,34
vtnf,2011,53
vtnf,2012,63
vtnf,2013,73
vtnf,2014,75
vtnf,2015,90
vtnf,2016,111
vtnf,2017,97
vtnf,2018,100
vtnf,2019,133
vtnf,2020,178
vtnf,2021,167
vtnf,2022,
vtnf,2023,
avl_ren,2003,1444
avl_ren,2004,1559
avl_ren,2005,1633
avl_ren,2006,1690
avl_ren,2007,1862
avl_ren,2008,2021
avl_ren,2009,2007
avl_ren,2010,2194
avl_ren,2011,2473
avl_ren,2012,2605
avl_ren,2013,2594
avl_ren,2014,2695
avl_ren,2015,2834
avl_ren,2016,2625
avl_ren,2017,2646
avl_ren,2018,2878
avl_ren,2019,2942
avl_ren,2020,3246
avl_ren,2021,3620
avl_ren,2022,
avl_ren,2023,
bygg,2003,1064
bygg,2004,1247
bygg,2005,1534
bygg,2006,1889
bygg,2007,2230
bygg,2008,2595
bygg,2009,2683
bygg,2010,3044
bygg,2011,3591
bygg,2012,4011
bygg,2013,4164
bygg,2014,4545
bygg,2015,5126
bygg,2016,5868
bygg,2017,6710
bygg,2018,7674
bygg,2019,8170
bygg,2020,8406
bygg,2021,9107
bygg,2022,
bygg,2023,
