sni_id,is--sni_id,name,sni_grupp
vattenforsorjning_e,TRUE,E36 Vattenförsörjning ,e
vattenforsorjning_avlo,TRUE,E36-E39 Vattenförsörjning: avloppsrening: avfallshantering och sanering ,e
vattenforsorjning_avlo_san,TRUE,E36-37.39 Vattenförsörjning: Avloppsrening: Sanering: Efterbehandling Av Jord Och Vatten Samt Annan Verksamhet För Föroreningsbekämpning ,e
huvudkontor_kons,TRUE,M70 Verksamheter som utövas av huvudkontor: konsulttjänster till företag ,m
forsknings,TRUE,M72 Vetenskaplig forskning och utveckling ,m
veterinarkliniker,TRUE,M75 Veterinärkliniker ,m
vard,TRUE,Q87-Q88 Vård Och Omsorg Med Boende: Öppna Sociala Insatser ,q
vard_om,TRUE,Q86-Q88 Vård och omsorg: sociala tjänster ,q
vardhem,TRUE,Q87 Vårdhem Och Bostäder Med Omsorg ,q
ovrig_fast,TRUE,L68B Övrig Fastighetsförvaltning ,l
ovrig_mask,TRUE,C28 Övrig Maskinindustri ,c
ovriga_tjan,TRUE,Övriga Tjänster,other
totalt_hio,TRUE,Total ink. HIO,other
totalt_nar,TRUE,A01-T98 Totala näringslivet ,several
skog_gruv,TRUE,A01-B09 Jordbruk: Skogsbruk och friske: Gruvor och mineralutvinning,several
tex_tra_graf,TRUE,C13-C16+C18 Textil- Beklädnads- Lädervaruindustri: Trä- Och Trävarutillverkning: Grafisk industri,c
kol_pet_kem,TRUE,C19-C20 Industri För Stenkols- Och Raffinerade Petroleumprodukter: Kemisk industri,c
metall_dator_elap,TRUE,C25-C28 Industri för metallvaror utom maskiner och apparater: Datorer: Elektronikvaror: Optik: Elapparatur samt andra maskiner och apparater,c
metall_dator_elap_transp,TRUE,C25-C30 Industri för metallvaror utom maskiner och apparater: Datorer: Elektronikvaror: Optik: Elapparatur samt andra maskiner och apparater: Transportmedelsindustri,c
service_motor_hotell,TRUE,G45-G47+I55-I56 Handel: Serviceverkstäder för motorfordon och motorcyklar: Hotell och restauranger,several
fast_uthyr_rese,TRUE,L68+N77-N81 Fastighetsverksamhet: Uthyrning: Fastighetsservice: Resetjänster samt andra stödtjänster,several
rek_vet_civ_int,TRUE,M73-M75+N82+O84-U99 Reklam och marknadsföring: Veterinärkliniker: Andra företagstjänster: Civila myndigheter och försvaret samt internationella organisationer och utländska ambassader o.d.,several
exp_export,TRUE,Export,other
ind_tot,TRUE,Totala industrin,several
foradl_tot,TRUE,Totala ekonomins förädlingsvärde,other
nar_foradl,TRUE,Näringslivets förädlingsvärde till baspris,other
tillv_el_and,TRUE,C26-C28 Tillverkning av elektronikvaror och andra maskiner och apparater,c
vatt_och_avl,TRUE,E36-E37 Vattenförsörjning och Avloppsrensning,e
avfall_aterv_san,TRUE,E38-E39 Avfallshantering: Återvinning och sanering,e
transp_mag,TRUE,H49-H52 Transport samt Magasinering och Stödtjänster till Transport,h
res_bev_fast_kont,TRUE,N79-N82 Rese- Bevaknings- Fastighetsservice och Kontorstjänster M.M.,n
