sni_id,is--sni_id,name
reklam_und,TRUE,Reklam Och Marknadsundersökning: Annan Verksamhet Inom Juridik: Ekonomi: Vetenskap: Teknik: Veterinärverksamhet (M73-M75)
reklam_mark,TRUE,Reklam Och Marknadsundersökningar (M73)
reparationsverkstader_for,TRUE,Reparationsverkstäder För Datorer: Hushållsartiklar Och Personliga Artiklar (S95)
reparationsverkstader,TRUE,Reparationsverkstäder Och Installationsföretag För Maskiner Och Apparater (C33)
resebyraer,TRUE,Resebyråer Och Researrangörer: Turistbyråer (N79)
restaurang_cate,TRUE,Restaurang-: Catering Och Barverksamhet (I56)
serviceforetag_fin,TRUE,Serviceföretag Till Finans- Och Försäkringsverksamhet (K66)
serviceforetag_utv,TRUE,Serviceföretag Till Utvinning (B09)
rederier,TRUE,Sjötransport (H50)
skogsbruksforetag,TRUE,Skogsbruk (A02)
skogsbruksprodukter,TRUE,Skogsbruksprodukter Och Tjänster I Anslutning Till Skogsbruk (SPIN02)
smahus_l,TRUE,Småhus (L68A)
sociala_oppe,TRUE,Sociala Öppenvårdsenheter: Socialkontor (Q88)
specialiserade_bygg,TRUE,Specialiserade Bygg- Och Anläggningsverksamhet (F43)
spel,TRUE,Spel- Och Vadhållningsföretag (R92)
sport_frit,TRUE,Sport-: Fritids- Och Nöjesanläggningar (R93)
statliga_mynd,TRUE,Statliga Myndigheter Och Sociala Trygghetsfonder (Y0135)
metaller,TRUE,Stål- och metallframställning (C24)
stal_met_c,TRUE,Stål- Och Metallframställning: Metallvarutillverkning (C24-C25)
foretag_for_bev,TRUE,Säkerhets- och bevakningsverksamhet (N80)
telekommunikation_j,TRUE,Telekommunikation (J61)
textil_bekl,TRUE,Textil-: Beklädnads-: Läder - Och Lädervaruindustri (13-15)
textilindustri,TRUE,Textilindustri (C13)
andra_tran,TRUE,Tillverkning av andra Transportmedel (C30)
industri_for_bas,TRUE,Tillverkning Av Kemikalier Och Kemiska Produkter: Farmaceutiska Basprodukter Och Läkemedel (C20-C21)
bekladnadsindustri,TRUE,Tillverkning av kläder (C14)
transportmedelsindustri,TRUE,Tillverkning av motorfordon och andra transportmedel (C29-C30)
tillverkning_mob,TRUE,Tillverkning Av Möbler Och annan tillverkning (C31-C32)
tillverkning_avt,TRUE,Tillverkning Av Textilier: Kläder Och Läderprodukter (C13-C15)
tillv_el_mot,TRUE,Tillverkning: Datorer: Elektronik: Optik: Elapparatur: Övriga Maskiner: Motorfordon: Andra Transportmedel (C26-30)
tillverkningsindustrin_c,TRUE,Tillverkningsindustri (C10-C33)
tobaksindustri,TRUE,Tobaksindustri (C12)
total_au,TRUE,A+U+US Total
totalt_tota,TRUE,Totalt
transport_mag,TRUE,Transport Och Magasinering (H49-H53)
transportforetag_g,TRUE,Transportföretag (G06)
transport_ind,TRUE,Transportindustri
industri_for_tra,TRUE,Trä- Och Trävarutillverkning (C16)
travaru_mass,TRUE,Trävaru-: Massa-: Pappers- Och Grafisk Industri (C16-C18)
utbildning,TRUE,Utbildning  (P85)
utbildning_halso,TRUE,Utbildning: Hälso- Och Sjukvård: Övriga Personliga Tjänster (P85-U99)
utbildning_halso_p,TRUE,Utbildning: Hälso- Och Sjukvård (P85-Q86)
uthyrning_avf,TRUE,Uthyrning Av Fastighetsservice: Resetjänster Och Andra Stödtjänster (N77-N82)
uthyrningsfirmor,TRUE,Uthyrningsfirmor (N77)
utvinning_min,TRUE,Utvinning Av Mineral (B05-B09)
tillverkning_utv,TRUE,Utvinning och Tillverkning (B05-C33)
tillverkning,TRUE,Utvinning: Tillverkning: el: gas värme och avlopp (B05-E39)
vattenforsorjning_e,TRUE,Vattenförsörjning (E36)
vattenforsorjning_avlo,TRUE,Vattenförsörjning: avloppsrening: avfallshantering och sanering (E36-E39)
vattenforsorjning_avlo_san,TRUE,Vattenförsörjning: Avloppsrening: Sanering: Efterbehandling Av Jord Och Vatten Samt Annan Verksamhet För Föroreningsbekämpning (E36-37.39)
huvudkontor_kons,TRUE,Verksamheter som utövas av huvudkontor: konsulttjänster till företag (M70)
forsknings,TRUE,Vetenskaplig forskning och utveckling (M72)
veterinarkliniker,TRUE,Veterinärkliniker (M75)
vard,TRUE,Vård Och Omsorg Med Boende: Öppna Sociala Insatser (Q87-Q88)
vard_om,TRUE,Vård och omsorg: sociala tjänster (Q86-Q88)
vardhem,TRUE,Vårdhem Och Bostäder Med Omsorg (Q87)
ovrig_fast,TRUE,Övrig Fastighetsförvaltning (L68B)
ovrig_mask,TRUE,Övrig Maskinindustri (C28)
ovriga_tjan,TRUE,Övriga Tjänster
totalt_hio,TRUE,Total ink. HIO
totalt_nar,TRUE,Totala näringslivet (A01-T98)
