sni_id,year,res_rakn
hotell_logi,2020,-6819
hotell_logi,2021,-1167
hotell_logi,2022,4873
hotell_logi,2023,
huvudkontor_kons,2000,
huvudkontor_kons,2001,
huvudkontor_kons,2002,
huvudkontor_kons,2003,
huvudkontor_kons,2004,
huvudkontor_kons,2005,
huvudkontor_kons,2006,
huvudkontor_kons,2007,
huvudkontor_kons,2008,1825
huvudkontor_kons,2009,26129
huvudkontor_kons,2010,32077
huvudkontor_kons,2011,30431
huvudkontor_kons,2012,26127
huvudkontor_kons,2013,31501
huvudkontor_kons,2014,31451
huvudkontor_kons,2015,35748
huvudkontor_kons,2016,68339
huvudkontor_kons,2017,58755
huvudkontor_kons,2018,51609
huvudkontor_kons,2019,85915
huvudkontor_kons,2020,86551
huvudkontor_kons,2021,150278
huvudkontor_kons,2022,93669
huvudkontor_kons,2023,
icke_met_andra,2000,
icke_met_andra,2001,
icke_met_andra,2002,
icke_met_andra,2003,
icke_met_andra,2004,
icke_met_andra,2005,
icke_met_andra,2006,
icke_met_andra,2007,
icke_met_andra,2008,4017
icke_met_andra,2009,2968
icke_met_andra,2010,3559
icke_met_andra,2011,2949
icke_met_andra,2012,7723
icke_met_andra,2013,3059
icke_met_andra,2014,3868
icke_met_andra,2015,7385
icke_met_andra,2016,4000
icke_met_andra,2017,3903
icke_met_andra,2018,2218
icke_met_andra,2019,3338
icke_met_andra,2020,2348
icke_met_andra,2021,6018
icke_met_andra,2022,3179
icke_met_andra,2023,
datorer_elek,2000,
datorer_elek,2001,
datorer_elek,2002,
datorer_elek,2003,
datorer_elek,2004,
datorer_elek,2005,
datorer_elek,2006,
datorer_elek,2007,
datorer_elek,2008,20220
datorer_elek,2009,14783
datorer_elek,2010,16375
datorer_elek,2011,
datorer_elek,2012,
datorer_elek,2013,11196
datorer_elek,2014,37593
datorer_elek,2015,3386
datorer_elek,2016,5483
datorer_elek,2017,5596
datorer_elek,2018,2211
datorer_elek,2019,-207
datorer_elek,2020,797
datorer_elek,2021,2000
datorer_elek,2022,3868
datorer_elek,2023,
tillverkning_avd,2000,
tillverkning_avd,2001,
tillverkning_avd,2002,
tillverkning_avd,2003,
tillverkning_avd,2004,
tillverkning_avd,2005,
tillverkning_avd,2006,
tillverkning_avd,2007,
tillverkning_avd,2008,24192
tillverkning_avd,2009,26011
tillverkning_avd,2010,26399
tillverkning_avd,2011,21031
tillverkning_avd,2012,-2055
tillverkning_avd,2013,19693
tillverkning_avd,2014,42739
tillverkning_avd,2015,11074
tillverkning_avd,2016,12991
tillverkning_avd,2017,22184
tillverkning_avd,2018,13595
tillverkning_avd,2019,15238
tillverkning_avd,2020,43
tillverkning_avd,2021,8615
tillverkning_avd,2022,8227
tillverkning_avd,2023,
elapparatur,2000,
elapparatur,2001,
elapparatur,2002,
elapparatur,2003,
elapparatur,2004,
elapparatur,2005,
elapparatur,2006,
elapparatur,2007,
elapparatur,2008,3972
elapparatur,2009,11228
elapparatur,2010,10024
elapparatur,2011,
elapparatur,2012,
elapparatur,2013,8497
elapparatur,2014,5146
elapparatur,2015,7688
elapparatur,2016,7508
elapparatur,2017,16588
elapparatur,2018,11384
elapparatur,2019,15445
elapparatur,2020,-754
elapparatur,2021,6615
elapparatur,2022,4359
elapparatur,2023,
farmaceutiska_basp,2000,
farmaceutiska_basp,2001,
farmaceutiska_basp,2002,
farmaceutiska_basp,2003,
farmaceutiska_basp,2004,
farmaceutiska_basp,2005,
farmaceutiska_basp,2006,
farmaceutiska_basp,2007,
farmaceutiska_basp,2008,
farmaceutiska_basp,2009,
farmaceutiska_basp,2010,
farmaceutiska_basp,2011,
farmaceutiska_basp,2012,
farmaceutiska_basp,2013,
farmaceutiska_basp,2014,
farmaceutiska_basp,2015,19753
farmaceutiska_basp,2016,21467
farmaceutiska_basp,2017,18315
farmaceutiska_basp,2018,27863
farmaceutiska_basp,2019,25176
farmaceutiska_basp,2020,24380
farmaceutiska_basp,2021,16884
farmaceutiska_basp,2022,8640
farmaceutiska_basp,2023,
industri_for_lad,2000,
industri_for_lad,2001,
industri_for_lad,2002,
industri_for_lad,2003,
industri_for_lad,2004,
industri_for_lad,2005,
industri_for_lad,2006,
industri_for_lad,2007,
industri_for_lad,2008,-128
industri_for_lad,2009,65
industri_for_lad,2010,-80
industri_for_lad,2011,36
industri_for_lad,2012,15
industri_for_lad,2013,33
industri_for_lad,2014,69
industri_for_lad,2015,91
industri_for_lad,2016,115
industri_for_lad,2017,145
industri_for_lad,2018,60
industri_for_lad,2019,86
industri_for_lad,2020,59
industri_for_lad,2021,127
industri_for_lad,2022,86
industri_for_lad,2023,
industri_for_met,2000,
industri_for_met,2001,
industri_for_met,2002,
industri_for_met,2003,
industri_for_met,2004,
industri_for_met,2005,
industri_for_met,2006,
industri_for_met,2007,
industri_for_met,2008,12134
industri_for_met,2009,6606
industri_for_met,2010,11098
industri_for_met,2011,18214
industri_for_met,2012,20713
industri_for_met,2013,9696
industri_for_met,2014,10164
industri_for_met,2015,10659
industri_for_met,2016,9999
industri_for_met,2017,12860
industri_for_met,2018,12920
industri_for_met,2019,14785
industri_for_met,2020,14159
industri_for_met,2021,28925
industri_for_met,2022,22716
industri_for_met,2023,
industri_for_mot,2000,
industri_for_mot,2001,
industri_for_mot,2002,
industri_for_mot,2003,
industri_for_mot,2004,
industri_for_mot,2005,
industri_for_mot,2006,
industri_for_mot,2007,
industri_for_mot,2008,29701
industri_for_mot,2009,-36840
industri_for_mot,2010,34789
industri_for_mot,2011,25371
industri_for_mot,2012,24569
industri_for_mot,2013,13690
industri_for_mot,2014,-5343
industri_for_mot,2015,23478
industri_for_mot,2016,17454
industri_for_mot,2017,33205
industri_for_mot,2018,34009
industri_for_mot,2019,51554
industri_for_mot,2020,11515
industri_for_mot,2021,90126
industri_for_mot,2022,29238
industri_for_mot,2023,
industri_for_tra,2000,
industri_for_tra,2001,
industri_for_tra,2002,
industri_for_tra,2003,
industri_for_tra,2004,
industri_for_tra,2005,
industri_for_tra,2006,
industri_for_tra,2007,
industri_for_tra,2008,1671
industri_for_tra,2009,1229
industri_for_tra,2010,1601
industri_for_tra,2011,-1459
industri_for_tra,2012,-105
industri_for_tra,2013,860
industri_for_tra,2014,3090
industri_for_tra,2015,3236
industri_for_tra,2016,2234
industri_for_tra,2017,3725
industri_for_tra,2018,4655
industri_for_tra,2019,1421
