sni_id,gender,year,ant_forv_tot_reg
el_gas_avl,2,2007,
el_gas_avl,2,2008,34306
el_gas_avl,2,2009,34464
el_gas_avl,2,2010,34771
el_gas_avl,2,2011,35195
el_gas_avl,2,2012,36100
el_gas_avl,2,2013,36447
el_gas_avl,2,2014,37170
el_gas_avl,2,2015,37615
el_gas_avl,2,2016,37643
el_gas_avl,2,2017,38202
el_gas_avl,2,2018,38665
el_gas_avl,2,2019,38541
el_gas_avl,2,2020,40063
el_gas_avl,2,2021,40962
el_gas_avl,2,2022,40513
el_gas_avl,2,2023,
fastighetsbolag_g,2,2000,
fastighetsbolag_g,2,2001,
fastighetsbolag_g,2,2002,
fastighetsbolag_g,2,2003,
fastighetsbolag_g,2,2004,
fastighetsbolag_g,2,2005,
fastighetsbolag_g,2,2006,
fastighetsbolag_g,2,2007,
fastighetsbolag_g,2,2008,41321
fastighetsbolag_g,2,2009,41905
fastighetsbolag_g,2,2010,41963
fastighetsbolag_g,2,2011,43276
fastighetsbolag_g,2,2012,43944
fastighetsbolag_g,2,2013,45957
fastighetsbolag_g,2,2014,45973
fastighetsbolag_g,2,2015,47199
fastighetsbolag_g,2,2016,48119
fastighetsbolag_g,2,2017,48602
fastighetsbolag_g,2,2018,49204
fastighetsbolag_g,2,2019,51360
fastighetsbolag_g,2,2020,52213
fastighetsbolag_g,2,2021,52270
fastighetsbolag_g,2,2022,52117
fastighetsbolag_g,2,2023,
finans,2,2000,
finans,2,2001,
finans,2,2002,
finans,2,2003,
finans,2,2004,
finans,2,2005,
finans,2,2006,
finans,2,2007,
finans,2,2008,42216
finans,2,2009,41582
finans,2,2010,42381
finans,2,2011,42985
finans,2,2012,43282
finans,2,2013,43883
finans,2,2014,44554
finans,2,2015,45283
finans,2,2016,46130
finans,2,2017,47173
finans,2,2018,47861
finans,2,2019,47716
finans,2,2020,49237
finans,2,2021,50749
finans,2,2022,53681
finans,2,2023,
foretagstjanster_g,2,2000,
foretagstjanster_g,2,2001,
foretagstjanster_g,2,2002,
foretagstjanster_g,2,2003,
foretagstjanster_g,2,2004,
foretagstjanster_g,2,2005,
foretagstjanster_g,2,2006,
foretagstjanster_g,2,2007,
foretagstjanster_g,2,2008,262969
foretagstjanster_g,2,2009,255188
foretagstjanster_g,2,2010,268362
foretagstjanster_g,2,2011,285067
foretagstjanster_g,2,2012,292077
foretagstjanster_g,2,2013,297310
foretagstjanster_g,2,2014,302218
foretagstjanster_g,2,2015,313744
foretagstjanster_g,2,2016,321897
foretagstjanster_g,2,2017,336343
foretagstjanster_g,2,2018,343833
foretagstjanster_g,2,2019,345829
foretagstjanster_g,2,2020,338147
foretagstjanster_g,2,2021,358995
foretagstjanster_g,2,2022,374396
foretagstjanster_g,2,2023,
hand_g,2,2000,
hand_g,2,2001,
hand_g,2,2002,
hand_g,2,2003,
hand_g,2,2004,
hand_g,2,2005,
hand_g,2,2006,
hand_g,2,2007,
hand_g,2,2008,299711
hand_g,2,2009,290115
hand_g,2,2010,298333
hand_g,2,2011,305222
hand_g,2,2012,307640
hand_g,2,2013,309797
hand_g,2,2014,312295
hand_g,2,2015,314650
hand_g,2,2016,318924
hand_g,2,2017,323536
hand_g,2,2018,326332
hand_g,2,2019,326167
hand_g,2,2020,324550
hand_g,2,2021,329668
hand_g,2,2022,335071
hand_g,2,2023,
hotell_rest_i,2,2000,
hotell_rest_i,2,2001,
hotell_rest_i,2,2002,
hotell_rest_i,2,2003,
hotell_rest_i,2,2004,
hotell_rest_i,2,2005,
hotell_rest_i,2,2006,
