sni_id,lan,year,ant_kon
handel_med,3,2013,7
handel_med,3,2014,6
handel_med,3,2015,9
handel_med,3,2016,9
handel_med,3,2017,6
handel_med,3,2018,6
handel_med,3,2019,11
handel_med,3,2020,12
handel_med,3,2021,13
handel_med,3,2022,9
handel_med,3,2023,15
parti_prov,3,2009,11
parti_prov,3,2010,16
parti_prov,3,2011,12
parti_prov,3,2012,9
parti_prov,3,2013,7
parti_prov,3,2014,10
parti_prov,3,2015,10
parti_prov,3,2016,13
parti_prov,3,2017,9
parti_prov,3,2018,12
parti_prov,3,2019,9
parti_prov,3,2020,16
parti_prov,3,2021,8
parti_prov,3,2022,12
parti_prov,3,2023,12
detaljhandel_ut_mot,3,2009,24
detaljhandel_ut_mot,3,2010,26
detaljhandel_ut_mot,3,2011,19
detaljhandel_ut_mot,3,2012,22
detaljhandel_ut_mot,3,2013,22
detaljhandel_ut_mot,3,2014,18
detaljhandel_ut_mot,3,2015,19
detaljhandel_ut_mot,3,2016,10
detaljhandel_ut_mot,3,2017,11
detaljhandel_ut_mot,3,2018,22
detaljhandel_ut_mot,3,2019,29
detaljhandel_ut_mot,3,2020,25
detaljhandel_ut_mot,3,2021,24
detaljhandel_ut_mot,3,2022,15
detaljhandel_ut_mot,3,2023,19
transport_mag,3,2009,13
transport_mag,3,2010,12
transport_mag,3,2011,9
transport_mag,3,2012,9
transport_mag,3,2013,5
transport_mag,3,2014,5
transport_mag,3,2015,6
transport_mag,3,2016,5
transport_mag,3,2017,4
transport_mag,3,2018,6
transport_mag,3,2019,11
transport_mag,3,2020,6
transport_mag,3,2021,8
transport_mag,3,2022,5
transport_mag,3,2023,14
hotell_logi,3,2009,NA
hotell_logi,3,2010,NA
hotell_logi,3,2011,NA
hotell_logi,3,2012,NA
hotell_logi,3,2013,NA
hotell_logi,3,2014,NA
hotell_logi,3,2015,NA
hotell_logi,3,2016,NA
hotell_logi,3,2017,NA
hotell_logi,3,2018,NA
hotell_logi,3,2019,NA
hotell_logi,3,2020,NA
hotell_logi,3,2021,NA
hotell_logi,3,2022,NA
hotell_logi,3,2023,NA
restaurang_cate,3,2009,12
restaurang_cate,3,2010,13
restaurang_cate,3,2011,18
restaurang_cate,3,2012,16
restaurang_cate,3,2013,9
restaurang_cate,3,2014,17
restaurang_cate,3,2015,11
restaurang_cate,3,2016,10
restaurang_cate,3,2017,15
restaurang_cate,3,2018,23
restaurang_cate,3,2019,13
restaurang_cate,3,2020,16
restaurang_cate,3,2021,17
restaurang_cate,3,2022,13
restaurang_cate,3,2023,22
information_komm,3,2009,3
information_komm,3,2010,4
information_komm,3,2011,NA
information_komm,3,2012,5
information_komm,3,2013,5
information_komm,3,2014,NA
information_komm,3,2015,5
information_komm,3,2016,4
information_komm,3,2017,NA
information_komm,3,2018,9
information_komm,3,2019,4
information_komm,3,2020,6
information_komm,3,2021,NA
information_komm,3,2022,7
information_komm,3,2023,8
finans_fast,3,2009,25
finans_fast,3,2010,29
finans_fast,3,2011,16
finans_fast,3,2012,24
finans_fast,3,2013,30
finans_fast,3,2014,27
finans_fast,3,2015,32
finans_fast,3,2016,22
finans_fast,3,2017,22
finans_fast,3,2018,32
finans_fast,3,2019,24
finans_fast,3,2020,28
finans_fast,3,2021,32
finans_fast,3,2022,31
finans_fast,3,2023,41
utbildning_halso,3,2009,13
utbildning_halso,3,2010,13
utbildning_halso,3,2011,10
utbildning_halso,3,2012,15
utbildning_halso,3,2013,11
utbildning_halso,3,2014,7
utbildning_halso,3,2015,8
utbildning_halso,3,2016,9
utbildning_halso,3,2017,9
utbildning_halso,3,2018,19
utbildning_halso,3,2019,19
utbildning_halso,3,2020,17
utbildning_halso,3,2021,14
utbildning_halso,3,2022,10
utbildning_halso,3,2023,24
bransch_ospe,3,2009,17
bransch_ospe,3,2010,18
bransch_ospe,3,2011,13
bransch_ospe,3,2012,16
bransch_ospe,3,2013,14
bransch_ospe,3,2014,13
bransch_ospe,3,2015,9
bransch_ospe,3,2016,14
bransch_ospe,3,2017,15
bransch_ospe,3,2018,17
bransch_ospe,3,2019,11
bransch_ospe,3,2020,10
bransch_ospe,3,2021,8
bransch_ospe,3,2022,11
bransch_ospe,3,2023,11
jord_skog,4,2009,NA
jord_skog,4,2010,7
jord_skog,4,2011,5
jord_skog,4,2012,NA
jord_skog,4,2013,5
jord_skog,4,2014,3
jord_skog,4,2015,5
jord_skog,4,2016,NA
jord_skog,4,2017,NA
jord_skog,4,2018,NA
jord_skog,4,2019,4
jord_skog,4,2020,NA
jord_skog,4,2021,NA
jord_skog,4,2022,3
jord_skog,4,2023,3
tillverkning,4,2009,29
tillverkning,4,2010,22
tillverkning,4,2011,9
tillverkning,4,2012,23
tillverkning,4,2013,28
tillverkning,4,2014,21
tillverkning,4,2015,16
tillverkning,4,2016,9
tillverkning,4,2017,15
tillverkning,4,2018,15
tillverkning,4,2019,12
tillverkning,4,2020,13
tillverkning,4,2021,7
tillverkning,4,2022,16
tillverkning,4,2023,22
bygg,4,2009,37
bygg,4,2010,19
bygg,4,2011,31
bygg,4,2012,45
bygg,4,2013,47
bygg,4,2014,30
bygg,4,2015,31
bygg,4,2016,36
bygg,4,2017,26
bygg,4,2018,43
bygg,4,2019,37
bygg,4,2020,40
bygg,4,2021,30
bygg,4,2022,41
bygg,4,2023,56
handel_med,4,2009,12
handel_med,4,2010,11
handel_med,4,2011,7
handel_med,4,2012,8
handel_med,4,2013,11
handel_med,4,2014,13
handel_med,4,2015,10
handel_med,4,2016,7
handel_med,4,2017,10
handel_med,4,2018,10
handel_med,4,2019,12
handel_med,4,2020,12
handel_med,4,2021,9
handel_med,4,2022,13
handel_med,4,2023,27
parti_prov,4,2009,22
parti_prov,4,2010,17
parti_prov,4,2011,15
parti_prov,4,2012,23
parti_prov,4,2013,29
parti_prov,4,2014,18
parti_prov,4,2015,18
parti_prov,4,2016,15
parti_prov,4,2017,13
parti_prov,4,2018,17
parti_prov,4,2019,12
parti_prov,4,2020,16
parti_prov,4,2021,14
parti_prov,4,2022,18
parti_prov,4,2023,20
detaljhandel_ut_mot,4,2009,56
detaljhandel_ut_mot,4,2010,48
detaljhandel_ut_mot,4,2011,35
detaljhandel_ut_mot,4,2012,35
detaljhandel_ut_mot,4,2013,34
detaljhandel_ut_mot,4,2014,21
detaljhandel_ut_mot,4,2015,29
detaljhandel_ut_mot,4,2016,25
detaljhandel_ut_mot,4,2017,26
detaljhandel_ut_mot,4,2018,19
detaljhandel_ut_mot,4,2019,37
detaljhandel_ut_mot,4,2020,26
detaljhandel_ut_mot,4,2021,22
detaljhandel_ut_mot,4,2022,23
detaljhandel_ut_mot,4,2023,30
transport_mag,4,2009,18
transport_mag,4,2010,15
transport_mag,4,2011,18
transport_mag,4,2012,27
transport_mag,4,2013,13
transport_mag,4,2014,17
transport_mag,4,2015,14
transport_mag,4,2016,14
transport_mag,4,2017,13
transport_mag,4,2018,7
transport_mag,4,2019,6
transport_mag,4,2020,8
transport_mag,4,2021,8
transport_mag,4,2022,15
transport_mag,4,2023,12
hotell_logi,4,2009,NA
hotell_logi,4,2010,NA
hotell_logi,4,2011,NA
hotell_logi,4,2012,NA
hotell_logi,4,2013,NA
hotell_logi,4,2014,NA
hotell_logi,4,2015,NA
hotell_logi,4,2016,NA
hotell_logi,4,2017,3
hotell_logi,4,2018,NA
hotell_logi,4,2019,NA
hotell_logi,4,2020,NA
hotell_logi,4,2021,4
hotell_logi,4,2022,NA
hotell_logi,4,2023,3
restaurang_cate,4,2009,15
restaurang_cate,4,2010,16
restaurang_cate,4,2011,15
restaurang_cate,4,2012,15
restaurang_cate,4,2013,13
restaurang_cate,4,2014,16
restaurang_cate,4,2015,10
restaurang_cate,4,2016,10
restaurang_cate,4,2017,19
restaurang_cate,4,2018,17
restaurang_cate,4,2019,24
restaurang_cate,4,2020,19
restaurang_cate,4,2021,18
restaurang_cate,4,2022,28
restaurang_cate,4,2023,31
information_komm,4,2009,14
information_komm,4,2010,7
information_komm,4,2011,8
information_komm,4,2012,9
information_komm,4,2013,5
information_komm,4,2014,6
information_komm,4,2015,11
information_komm,4,2016,7
information_komm,4,2017,5
information_komm,4,2018,9
information_komm,4,2019,10
information_komm,4,2020,6
information_komm,4,2021,5
information_komm,4,2022,5
information_komm,4,2023,8
finans_fast,4,2009,48
finans_fast,4,2010,34
finans_fast,4,2011,36
finans_fast,4,2012,41
finans_fast,4,2013,53
finans_fast,4,2014,58
finans_fast,4,2015,34
finans_fast,4,2016,25
finans_fast,4,2017,32
finans_fast,4,2018,42
finans_fast,4,2019,39
finans_fast,4,2020,35
finans_fast,4,2021,33
finans_fast,4,2022,46
finans_fast,4,2023,51
utbildning_halso,4,2009,14
utbildning_halso,4,2010,14
utbildning_halso,4,2011,13
utbildning_halso,4,2012,12
utbildning_halso,4,2013,22
utbildning_halso,4,2014,13
utbildning_halso,4,2015,9
utbildning_halso,4,2016,13
utbildning_halso,4,2017,14
utbildning_halso,4,2018,20
utbildning_halso,4,2019,19
utbildning_halso,4,2020,15
utbildning_halso,4,2021,17
utbildning_halso,4,2022,23
utbildning_halso,4,2023,36
bransch_ospe,4,2009,33
bransch_ospe,4,2010,27
bransch_ospe,4,2011,29
bransch_ospe,4,2012,21
bransch_ospe,4,2013,13
bransch_ospe,4,2014,31
bransch_ospe,4,2015,8
bransch_ospe,4,2016,11
bransch_ospe,4,2017,13
bransch_ospe,4,2018,13
bransch_ospe,4,2019,16
bransch_ospe,4,2020,10
bransch_ospe,4,2021,7
bransch_ospe,4,2022,17
