sni_id,gender,year,forv_to
film_vide_j,1,2000,
film_vide_j,1,2001,
film_vide_j,1,2002,
film_vide_j,1,2003,
film_vide_j,1,2004,
film_vide_j,1,2005,0
film_vide_j,1,2006,0
film_vide_j,1,2007,
film_vide_j,1,2008,
film_vide_j,1,2009,
film_vide_j,1,2010,
film_vide_j,1,2011,
film_vide_j,1,2012,
film_vide_j,1,2013,0
film_vide_j,1,2014,0
film_vide_j,1,2015,
film_vide_j,1,2016,
film_vide_j,1,2017,
film_vide_j,1,2018,
film_vide_j,1,2019,
film_vide_j,1,2020,
film_vide_j,1,2021,
film_vide_j,1,2022,
film_vide_j,1,2023,
fisk,1,2000,
fisk,1,2001,
fisk,1,2002,
fisk,1,2003,0
fisk,1,2004,
fisk,1,2005,
fisk,1,2006,
fisk,1,2007,
fisk,1,2008,
fisk,1,2009,
fisk,1,2010,
fisk,1,2011,
fisk,1,2012,
fisk,1,2013,
fisk,1,2014,
fisk,1,2015,
fisk,1,2016,
fisk,1,2017,
fisk,1,2018,
fisk,1,2019,
fisk,1,2020,
fisk,1,2021,
fisk,1,2022,
fisk,1,2023,
flygbolag,1,2000,
flygbolag,1,2001,
flygbolag,1,2002,
flygbolag,1,2003,0
flygbolag,1,2004,0
flygbolag,1,2005,0
flygbolag,1,2006,0
flygbolag,1,2007,0
flygbolag,1,2008,0
flygbolag,1,2009,0
flygbolag,1,2010,0
flygbolag,1,2011,0
flygbolag,1,2012,0
flygbolag,1,2013,0
flygbolag,1,2014,0
flygbolag,1,2015,0
flygbolag,1,2016,0
flygbolag,1,2017,0
flygbolag,1,2018,0
flygbolag,1,2019,0
flygbolag,1,2020,0
flygbolag,1,2021,0
flygbolag,1,2022,
flygbolag,1,2023,
forlag,1,2000,
forlag,1,2001,
forlag,1,2002,
forlag,1,2003,13
forlag,1,2004,17
forlag,1,2005,22
forlag,1,2006,30
forlag,1,2007,34
forlag,1,2008,42
forlag,1,2009,37
forlag,1,2010,37
forlag,1,2011,22
forlag,1,2012,24
forlag,1,2013,24
forlag,1,2014,31
