sni_id,lan,year,ant_ans_kon
restaurang_cate,2,2015,25
restaurang_cate,2,2016,40
restaurang_cate,2,2017,86
restaurang_cate,2,2018,117
restaurang_cate,2,2019,37
restaurang_cate,2,2020,74
restaurang_cate,2,2021,16
restaurang_cate,2,2022,52
restaurang_cate,2,2023,72
information_komm,2,2009,15
information_komm,2,2010,62
information_komm,2,2011,7
information_komm,2,2012,3
information_komm,2,2013,20
information_komm,2,2014,5
information_komm,2,2015,2
information_komm,2,2016,6
information_komm,2,2017,5
information_komm,2,2018,8
information_komm,2,2019,35
information_komm,2,2020,59
information_komm,2,2021,9
information_komm,2,2022,11
information_komm,2,2023,68
finans_fast,2,2009,35
finans_fast,2,2010,16
finans_fast,2,2011,60
finans_fast,2,2012,104
finans_fast,2,2013,169
finans_fast,2,2014,36
finans_fast,2,2015,124
finans_fast,2,2016,26
finans_fast,2,2017,45
finans_fast,2,2018,86
finans_fast,2,2019,170
finans_fast,2,2020,58
finans_fast,2,2021,17
finans_fast,2,2022,29
finans_fast,2,2023,191
utbildning_halso,2,2009,45
utbildning_halso,2,2010,72
utbildning_halso,2,2011,179
utbildning_halso,2,2012,54
utbildning_halso,2,2013,31
utbildning_halso,2,2014,71
utbildning_halso,2,2015,25
utbildning_halso,2,2016,33
utbildning_halso,2,2017,22
utbildning_halso,2,2018,73
utbildning_halso,2,2019,82
utbildning_halso,2,2020,129
utbildning_halso,2,2021,21
utbildning_halso,2,2022,78
utbildning_halso,2,2023,400
bransch_ospe,2,2009,0
bransch_ospe,2,2010,2
bransch_ospe,2,2011,0
bransch_ospe,2,2012,0
bransch_ospe,2,2013,0
bransch_ospe,2,2014,0
bransch_ospe,2,2015,0
bransch_ospe,2,2016,10
bransch_ospe,2,2017,0
bransch_ospe,2,2018,0
bransch_ospe,2,2019,0
bransch_ospe,2,2020,1
bransch_ospe,2,2021,0
bransch_ospe,2,2022,0
bransch_ospe,2,2023,0
jord_skog,3,2009,NA
jord_skog,3,2010,NA
jord_skog,3,2011,3
jord_skog,3,2012,18
jord_skog,3,2013,NA
jord_skog,3,2014,NA
jord_skog,3,2015,NA
jord_skog,3,2016,NA
jord_skog,3,2017,4
jord_skog,3,2018,NA
jord_skog,3,2019,11
jord_skog,3,2020,NA
jord_skog,3,2021,0
jord_skog,3,2022,NA
jord_skog,3,2023,4
tillverkning,3,2009,218
tillverkning,3,2010,190
tillverkning,3,2011,36
tillverkning,3,2012,254
tillverkning,3,2013,60
tillverkning,3,2014,80
tillverkning,3,2015,42
tillverkning,3,2016,264
tillverkning,3,2017,28
tillverkning,3,2018,231
tillverkning,3,2019,55
tillverkning,3,2020,45
tillverkning,3,2021,42
tillverkning,3,2022,19
tillverkning,3,2023,99
bygg,3,2009,109
bygg,3,2010,166
bygg,3,2011,72
bygg,3,2012,87
bygg,3,2013,151
bygg,3,2014,143
bygg,3,2015,39
bygg,3,2016,84
bygg,3,2017,119
bygg,3,2018,191
bygg,3,2019,123
bygg,3,2020,84
bygg,3,2021,43
bygg,3,2022,111
bygg,3,2023,190
handel_med,3,2009,5
handel_med,3,2010,6
handel_med,3,2011,24
handel_med,3,2012,26
handel_med,3,2013,8
handel_med,3,2014,12
handel_med,3,2015,5
handel_med,3,2016,9
handel_med,3,2017,4
handel_med,3,2018,6
handel_med,3,2019,13
handel_med,3,2020,14
handel_med,3,2021,4
handel_med,3,2022,5
handel_med,3,2023,8
parti_prov,3,2009,16
parti_prov,3,2010,23
parti_prov,3,2011,16
parti_prov,3,2012,10
parti_prov,3,2013,8
parti_prov,3,2014,13
parti_prov,3,2015,22
parti_prov,3,2016,19
parti_prov,3,2017,13
parti_prov,3,2018,11
parti_prov,3,2019,8
parti_prov,3,2020,15
parti_prov,3,2021,1
parti_prov,3,2022,4
parti_prov,3,2023,1
detaljhandel_ut_mot,3,2009,34
detaljhandel_ut_mot,3,2010,77
detaljhandel_ut_mot,3,2011,43
detaljhandel_ut_mot,3,2012,51
detaljhandel_ut_mot,3,2013,40
detaljhandel_ut_mot,3,2014,37
detaljhandel_ut_mot,3,2015,34
detaljhandel_ut_mot,3,2016,21
detaljhandel_ut_mot,3,2017,34
detaljhandel_ut_mot,3,2018,41
detaljhandel_ut_mot,3,2019,62
detaljhandel_ut_mot,3,2020,31
detaljhandel_ut_mot,3,2021,21
detaljhandel_ut_mot,3,2022,5
detaljhandel_ut_mot,3,2023,29
transport_mag,3,2009,68
transport_mag,3,2010,41
transport_mag,3,2011,24
transport_mag,3,2012,47
transport_mag,3,2013,9
transport_mag,3,2014,12
transport_mag,3,2015,17
transport_mag,3,2016,5
transport_mag,3,2017,142
transport_mag,3,2018,11
transport_mag,3,2019,40
transport_mag,3,2020,59
transport_mag,3,2021,10
transport_mag,3,2022,0
transport_mag,3,2023,24
hotell_logi,3,2009,NA
hotell_logi,3,2010,NA
hotell_logi,3,2011,NA
hotell_logi,3,2012,NA
hotell_logi,3,2013,NA
hotell_logi,3,2014,NA
hotell_logi,3,2015,NA
hotell_logi,3,2016,NA
hotell_logi,3,2017,NA
hotell_logi,3,2018,NA
hotell_logi,3,2019,NA
hotell_logi,3,2020,NA
hotell_logi,3,2021,NA
hotell_logi,3,2022,NA
hotell_logi,3,2023,NA
restaurang_cate,3,2009,26
restaurang_cate,3,2010,40
restaurang_cate,3,2011,75
restaurang_cate,3,2012,64
restaurang_cate,3,2013,33
restaurang_cate,3,2014,41
restaurang_cate,3,2015,35
restaurang_cate,3,2016,37
restaurang_cate,3,2017,50
restaurang_cate,3,2018,68
restaurang_cate,3,2019,26
restaurang_cate,3,2020,33
restaurang_cate,3,2021,7
restaurang_cate,3,2022,42
restaurang_cate,3,2023,34
information_komm,3,2009,6
information_komm,3,2010,2
information_komm,3,2011,NA
information_komm,3,2012,3
information_komm,3,2013,16
information_komm,3,2014,NA
information_komm,3,2015,4
information_komm,3,2016,5
information_komm,3,2017,NA
information_komm,3,2018,20
information_komm,3,2019,2
information_komm,3,2020,13
information_komm,3,2021,NA
information_komm,3,2022,12
information_komm,3,2023,8
finans_fast,3,2009,50
finans_fast,3,2010,59
finans_fast,3,2011,14
finans_fast,3,2012,93
finans_fast,3,2013,55
finans_fast,3,2014,24
finans_fast,3,2015,35
finans_fast,3,2016,42
finans_fast,3,2017,33
finans_fast,3,2018,50
finans_fast,3,2019,41
finans_fast,3,2020,60
finans_fast,3,2021,11
finans_fast,3,2022,36
finans_fast,3,2023,23
utbildning_halso,3,2009,44
utbildning_halso,3,2010,21
utbildning_halso,3,2011,27
utbildning_halso,3,2012,186
utbildning_halso,3,2013,32
utbildning_halso,3,2014,7
utbildning_halso,3,2015,2
utbildning_halso,3,2016,39
utbildning_halso,3,2017,7
utbildning_halso,3,2018,53
utbildning_halso,3,2019,89
utbildning_halso,3,2020,11
utbildning_halso,3,2021,12
utbildning_halso,3,2022,21
utbildning_halso,3,2023,31
bransch_ospe,3,2009,0
bransch_ospe,3,2010,0
bransch_ospe,3,2011,0
bransch_ospe,3,2012,0
bransch_ospe,3,2013,0
bransch_ospe,3,2014,0
bransch_ospe,3,2015,0
bransch_ospe,3,2016,0
bransch_ospe,3,2017,0
bransch_ospe,3,2018,0
bransch_ospe,3,2019,1
bransch_ospe,3,2020,0
bransch_ospe,3,2021,0
bransch_ospe,3,2022,0
bransch_ospe,3,2023,0
jord_skog,4,2009,NA
jord_skog,4,2010,2
jord_skog,4,2011,2
jord_skog,4,2012,NA
jord_skog,4,2013,6
jord_skog,4,2014,1
jord_skog,4,2015,5
jord_skog,4,2016,NA
jord_skog,4,2017,NA
jord_skog,4,2018,NA
jord_skog,4,2019,2
jord_skog,4,2020,NA
jord_skog,4,2021,NA
jord_skog,4,2022,3
jord_skog,4,2023,0
tillverkning,4,2009,304
tillverkning,4,2010,113
tillverkning,4,2011,34
tillverkning,4,2012,106
tillverkning,4,2013,269
tillverkning,4,2014,190
tillverkning,4,2015,75
tillverkning,4,2016,15
tillverkning,4,2017,100
tillverkning,4,2018,101
tillverkning,4,2019,141
tillverkning,4,2020,42
tillverkning,4,2021,3
tillverkning,4,2022,34
tillverkning,4,2023,139
bygg,4,2009,166
bygg,4,2010,48
bygg,4,2011,72
bygg,4,2012,64
bygg,4,2013,158
bygg,4,2014,65
bygg,4,2015,144
bygg,4,2016,111
bygg,4,2017,116
bygg,4,2018,169
bygg,4,2019,284
bygg,4,2020,332
bygg,4,2021,108
bygg,4,2022,140
bygg,4,2023,314
handel_med,4,2009,6
handel_med,4,2010,13
handel_med,4,2011,9
handel_med,4,2012,25
handel_med,4,2013,31
handel_med,4,2014,6
handel_med,4,2015,76
handel_med,4,2016,34
handel_med,4,2017,19
handel_med,4,2018,14
handel_med,4,2019,13
handel_med,4,2020,15
handel_med,4,2021,0
handel_med,4,2022,2
handel_med,4,2023,8
parti_prov,4,2009,121
parti_prov,4,2010,45
parti_prov,4,2011,35
parti_prov,4,2012,68
parti_prov,4,2013,58
parti_prov,4,2014,30
parti_prov,4,2015,25
parti_prov,4,2016,19
parti_prov,4,2017,59
parti_prov,4,2018,19
parti_prov,4,2019,36
parti_prov,4,2020,30
parti_prov,4,2021,32
parti_prov,4,2022,48
parti_prov,4,2023,15
detaljhandel_ut_mot,4,2009,206
detaljhandel_ut_mot,4,2010,114
detaljhandel_ut_mot,4,2011,69
detaljhandel_ut_mot,4,2012,414
detaljhandel_ut_mot,4,2013,38
detaljhandel_ut_mot,4,2014,49
detaljhandel_ut_mot,4,2015,44
detaljhandel_ut_mot,4,2016,55
detaljhandel_ut_mot,4,2017,79
detaljhandel_ut_mot,4,2018,64
detaljhandel_ut_mot,4,2019,241
detaljhandel_ut_mot,4,2020,37
detaljhandel_ut_mot,4,2021,47
detaljhandel_ut_mot,4,2022,44
detaljhandel_ut_mot,4,2023,12
transport_mag,4,2009,161
transport_mag,4,2010,175
transport_mag,4,2011,48
transport_mag,4,2012,109
transport_mag,4,2013,77
transport_mag,4,2014,75
transport_mag,4,2015,60
transport_mag,4,2016,23
transport_mag,4,2017,51
transport_mag,4,2018,13
transport_mag,4,2019,4
transport_mag,4,2020,89
transport_mag,4,2021,10
transport_mag,4,2022,48
transport_mag,4,2023,55
hotell_logi,4,2009,NA
hotell_logi,4,2010,NA
hotell_logi,4,2011,NA
hotell_logi,4,2012,NA
hotell_logi,4,2013,NA
hotell_logi,4,2014,NA
hotell_logi,4,2015,NA
hotell_logi,4,2016,NA
hotell_logi,4,2017,5
hotell_logi,4,2018,NA
hotell_logi,4,2019,NA
hotell_logi,4,2020,NA
hotell_logi,4,2021,32
hotell_logi,4,2022,NA
hotell_logi,4,2023,8
