sni_id,year,nox_avgift
kultur_noje,2018,0
kultur_noje,2019,0
kultur_noje,2020,0
kultur_noje,2021,0
kultur_noje,2022,0
kultur_noje,2023,
annan_serv,2007,
annan_serv,2008,0
annan_serv,2009,0
annan_serv,2010,0
annan_serv,2011,0
annan_serv,2012,0
annan_serv,2013,0
annan_serv,2014,0
annan_serv,2015,0
annan_serv,2016,0
annan_serv,2017,0
annan_serv,2018,0
annan_serv,2019,0
annan_serv,2020,0
annan_serv,2021,0
annan_serv,2022,0
annan_serv,2023,
internationella_org,2007,
internationella_org,2008,0
internationella_org,2009,0
internationella_org,2010,0
internationella_org,2011,0
internationella_org,2012,0
internationella_org,2013,0
internationella_org,2014,0
internationella_org,2015,0
internationella_org,2016,0
internationella_org,2017,0
internationella_org,2018,0
internationella_org,2019,0
internationella_org,2020,0
internationella_org,2021,0
internationella_org,2022,0
internationella_org,2023,
exp_export,2007,
exp_export,2008,0
exp_export,2009,0
exp_export,2010,0
exp_export,2011,0
exp_export,2012,0
exp_export,2013,0
exp_export,2014,0
exp_export,2015,0
exp_export,2016,0
exp_export,2017,0
exp_export,2018,0
exp_export,2019,0
exp_export,2020,0
exp_export,2021,0
exp_export,2022,0
exp_export,2023,
offentlig_sekt,2007,
offentlig_sekt,2008,0
offentlig_sekt,2009,0
offentlig_sekt,2010,0
offentlig_sekt,2011,0
offentlig_sekt,2012,0
offentlig_sekt,2013,0
offentlig_sekt,2014,0
offentlig_sekt,2015,0
offentlig_sekt,2016,0
offentlig_sekt,2017,0
offentlig_sekt,2018,0
offentlig_sekt,2019,0
offentlig_sekt,2020,0
offentlig_sekt,2021,0
offentlig_sekt,2022,0
offentlig_sekt,2023,
hushall,2007,
hushall,2008,0
hushall,2009,0
hushall,2010,0
hushall,2011,0
hushall,2012,0
hushall,2013,0
hushall,2014,0
hushall,2015,0
hushall,2016,0
hushall,2017,0
hushall,2018,0
hushall,2019,0
hushall,2020,0
hushall,2021,0
hushall,2022,0
hushall,2023,
privat_kons,2007,
privat_kons,2008,0
privat_kons,2009,0
privat_kons,2010,0
privat_kons,2011,0
privat_kons,2012,0
privat_kons,2013,0
privat_kons,2014,0
privat_kons,2015,0
privat_kons,2016,0
privat_kons,2017,0
privat_kons,2018,0
privat_kons,2019,0
privat_kons,2020,0
privat_kons,2021,0
privat_kons,2022,0
privat_kons,2023,
bransch_ospe,2007,
bransch_ospe,2008,0
bransch_ospe,2009,0
bransch_ospe,2010,0
bransch_ospe,2011,0
bransch_ospe,2012,0
bransch_ospe,2013,0
bransch_ospe,2014,0
bransch_ospe,2015,0
bransch_ospe,2016,0
bransch_ospe,2017,0
bransch_ospe,2018,0
bransch_ospe,2019,0
bransch_ospe,2020,0
bransch_ospe,2021,0
bransch_ospe,2022,0
bransch_ospe,2023,
