sni_id,year,forbr_bio
gummi,2019,573
gummi,2020,535
gummi,2021,522
gummi,2022,538
gummi,2023,578
icke_met_andra,2008,73
icke_met_andra,2009,93
icke_met_andra,2010,98
icke_met_andra,2011,129
icke_met_andra,2012,275
icke_met_andra,2013,313
icke_met_andra,2014,485
icke_met_andra,2015,534
icke_met_andra,2016,622
icke_met_andra,2017,681
icke_met_andra,2018,707
icke_met_andra,2019,641
icke_met_andra,2020,589
icke_met_andra,2021,412
icke_met_andra,2022,442
icke_met_andra,2023,390
metaller,2008,1104
metaller,2009,788
metaller,2010,531
metaller,2011,978
metaller,2012,1386
metaller,2013,1617
metaller,2014,1120
metaller,2015,1017
metaller,2016,1299
metaller,2017,1381
metaller,2018,1376
metaller,2019,983
metaller,2020,998
metaller,2021,1006
metaller,2022,1007
metaller,2023,982
industri_for_met,2008,12
industri_for_met,2009,15
industri_for_met,2010,4
industri_for_met,2011,4
industri_for_met,2012,7
industri_for_met,2013,9
industri_for_met,2014,14
industri_for_met,2015,18
industri_for_met,2016,25
industri_for_met,2017,28
industri_for_met,2018,27
industri_for_met,2019,23
industri_for_met,2020,21
industri_for_met,2021,18
industri_for_met,2022,21
industri_for_met,2023,15
datorer_elek,2008,3
datorer_elek,2009,4
datorer_elek,2010,5
datorer_elek,2011,5
datorer_elek,2012,8
datorer_elek,2013,10
datorer_elek,2014,15
datorer_elek,2015,16
datorer_elek,2016,24
datorer_elek,2017,27
datorer_elek,2018,22
datorer_elek,2019,16
datorer_elek,2020,16
datorer_elek,2021,14
datorer_elek,2022,15
datorer_elek,2023,26
elapparatur,2008,13
elapparatur,2009,15
elapparatur,2010,40
elapparatur,2011,48
elapparatur,2012,81
elapparatur,2013,89
elapparatur,2014,126
elapparatur,2015,175
elapparatur,2016,249
elapparatur,2017,283
elapparatur,2018,295
elapparatur,2019,265
elapparatur,2020,235
elapparatur,2021,306
elapparatur,2022,330
elapparatur,2023,269
ovrig_mask,2008,100
ovrig_mask,2009,120
ovrig_mask,2010,142
ovrig_mask,2011,423
ovrig_mask,2012,157
ovrig_mask,2013,175
ovrig_mask,2014,117
ovrig_mask,2015,158
ovrig_mask,2016,180
ovrig_mask,2017,204
ovrig_mask,2018,217
ovrig_mask,2019,181
ovrig_mask,2020,162
ovrig_mask,2021,141
ovrig_mask,2022,145
ovrig_mask,2023,121
industri_for_mot,2008,9
industri_for_mot,2009,12
industri_for_mot,2010,10
industri_for_mot,2011,12
industri_for_mot,2012,17
industri_for_mot,2013,25
industri_for_mot,2014,35
industri_for_mot,2015,40
industri_for_mot,2016,56
industri_for_mot,2017,61
industri_for_mot,2018,66
industri_for_mot,2019,57
industri_for_mot,2020,56
industri_for_mot,2021,58
industri_for_mot,2022,65
industri_for_mot,2023,50
andra_tran,2008,4
andra_tran,2009,5
andra_tran,2010,9
andra_tran,2011,9
andra_tran,2012,11
andra_tran,2013,14
andra_tran,2014,21
andra_tran,2015,25
andra_tran,2016,33
andra_tran,2017,36
andra_tran,2018,38
andra_tran,2019,34
andra_tran,2020,36
andra_tran,2021,38
andra_tran,2022,45
andra_tran,2023,58
tillverkning_mob,2008,5
tillverkning_mob,2009,6
tillverkning_mob,2010,8
tillverkning_mob,2011,10
tillverkning_mob,2012,12
tillverkning_mob,2013,15
tillverkning_mob,2014,20
tillverkning_mob,2015,23
tillverkning_mob,2016,28
tillverkning_mob,2017,30
tillverkning_mob,2018,31
tillverkning_mob,2019,26
tillverkning_mob,2020,24
tillverkning_mob,2021,21
tillverkning_mob,2022,22
tillverkning_mob,2023,19
reparationsverkstader,2008,17
reparationsverkstader,2009,22
reparationsverkstader,2010,24
reparationsverkstader,2011,33
reparationsverkstader,2012,50
reparationsverkstader,2013,71
reparationsverkstader,2014,102
reparationsverkstader,2015,138
reparationsverkstader,2016,198
reparationsverkstader,2017,231
reparationsverkstader,2018,253
reparationsverkstader,2019,237
reparationsverkstader,2020,231
reparationsverkstader,2021,240
reparationsverkstader,2022,284
reparationsverkstader,2023,257
el_gas,2008,9
el_gas,2009,11
el_gas,2010,17
el_gas,2011,19
el_gas,2012,23
el_gas,2013,28
el_gas,2014,39
el_gas,2015,51
el_gas,2016,68
el_gas,2017,77
el_gas,2018,82
el_gas,2019,80
el_gas,2020,76
el_gas,2021,74
el_gas,2022,85
el_gas,2023,75
vattenforsorjning_e,2008,210
vattenforsorjning_e,2009,250
vattenforsorjning_e,2010,260
vattenforsorjning_e,2011,323
vattenforsorjning_e,2012,395
vattenforsorjning_e,2013,503
vattenforsorjning_e,2014,727
vattenforsorjning_e,2015,880
vattenforsorjning_e,2016,1031
vattenforsorjning_e,2017,1080
vattenforsorjning_e,2018,1194
vattenforsorjning_e,2019,1161
vattenforsorjning_e,2020,1192
vattenforsorjning_e,2021,1296
vattenforsorjning_e,2022,1500
vattenforsorjning_e,2023,1451
vatt_och_avl,2008,1
vatt_och_avl,2009,2
vatt_och_avl,2010,3
vatt_och_avl,2011,3
vatt_och_avl,2012,34
vatt_och_avl,2013,66
vatt_och_avl,2014,93
vatt_och_avl,2015,140
vatt_och_avl,2016,220
vatt_och_avl,2017,254
vatt_och_avl,2018,269
vatt_och_avl,2019,292
vatt_och_avl,2020,298
vatt_och_avl,2021,458
vatt_och_avl,2022,710
vatt_och_avl,2023,914
bygg,2008,1
bygg,2009,2
bygg,2010,2
bygg,2011,3
bygg,2012,35
bygg,2013,69
bygg,2014,99
bygg,2015,147
bygg,2016,228
bygg,2017,282
bygg,2018,340
bygg,2019,340
bygg,2020,388
bygg,2021,495
bygg,2022,561
bygg,2023,540
hand_g,2008,2635
hand_g,2009,3095
hand_g,2010,3607
hand_g,2011,5006
hand_g,2012,6534
hand_g,2013,8104
hand_g,2014,10500
hand_g,2015,12377
hand_g,2016,15108
hand_g,2017,16740
hand_g,2018,17334
hand_g,2019,16847
hand_g,2020,16299
hand_g,2021,17508
hand_g,2022,18597
hand_g,2023,17062
landtransportforetag_rort,2008,1136
landtransportforetag_rort,2009,1210
landtransportforetag_rort,2010,1254
landtransportforetag_rort,2011,1679
landtransportforetag_rort,2012,1931
landtransportforetag_rort,2013,2456
landtransportforetag_rort,2014,2729
landtransportforetag_rort,2015,3842
landtransportforetag_rort,2016,4150
landtransportforetag_rort,2017,5529
landtransportforetag_rort,2018,5250
landtransportforetag_rort,2019,5160
landtransportforetag_rort,2020,4903
landtransportforetag_rort,2021,5190
landtransportforetag_rort,2022,6096
landtransportforetag_rort,2023,5912
rederier,2008,697
rederier,2009,1096
rederier,2010,1268
rederier,2011,1500
rederier,2012,1873
rederier,2013,3228
rederier,2014,3997
rederier,2015,5392
rederier,2016,7669
rederier,2017,9045
rederier,2018,10033
rederier,2019,9757
rederier,2020,10267
rederier,2021,11754
rederier,2022,13790
rederier,2023,12449
flygbolag,2008,128
flygbolag,2009,77
flygbolag,2010,115
flygbolag,2011,99
flygbolag,2012,193
flygbolag,2013,287
flygbolag,2014,303
flygbolag,2015,508
flygbolag,2016,496
flygbolag,2017,515
flygbolag,2018,564
flygbolag,2019,549
flygbolag,2020,550
flygbolag,2021,674
flygbolag,2022,949
flygbolag,2023,1047
magasinering,2008,5
magasinering,2009,8
magasinering,2010,12
magasinering,2011,15
magasinering,2012,18
magasinering,2013,25
magasinering,2014,38
magasinering,2015,49
magasinering,2016,62
magasinering,2017,75
magasinering,2018,74
magasinering,2019,78
magasinering,2020,83
magasinering,2021,96
magasinering,2022,109
magasinering,2023,110
hotell_rest_i,2008,133101
hotell_rest_i,2009,146463
hotell_rest_i,2010,169034
