sni_id,year,syss_bel_tot
avfall_aterv_san,2019,16288
avfall_aterv_san,2020,16707
avfall_aterv_san,2021,17498
avfall_aterv_san,2022,18350
avfall_aterv_san,2023,19336
bygg,2007,
bygg,2008,293637
bygg,2009,288532
bygg,2010,300647
bygg,2011,314122
bygg,2012,317933
bygg,2013,318302
bygg,2014,322446
bygg,2015,333079
bygg,2016,343661
bygg,2017,354443
bygg,2018,363517
bygg,2019,362903
bygg,2020,364994
bygg,2021,373904
bygg,2022,387646
bygg,2023,382587
handel_med,2007,
handel_med,2008,69155
handel_med,2009,66431
handel_med,2010,68803
handel_med,2011,72302
handel_med,2012,72609
handel_med,2013,73423
handel_med,2014,74409
handel_med,2015,75405
handel_med,2016,77341
handel_med,2017,79240
handel_med,2018,80996
handel_med,2019,82626
handel_med,2020,82789
handel_med,2021,84690
handel_med,2022,85446
handel_med,2023,88885
parti_prov,2007,
parti_prov,2008,206919
parti_prov,2009,198379
parti_prov,2010,203059
parti_prov,2011,207511
parti_prov,2012,208694
parti_prov,2013,208246
parti_prov,2014,207065
parti_prov,2015,209093
parti_prov,2016,210955
parti_prov,2017,213937
parti_prov,2018,216158
parti_prov,2019,213609
parti_prov,2020,210554
parti_prov,2021,213141
parti_prov,2022,218125
parti_prov,2023,218033
detaljhandel_ut_mot,2007,
detaljhandel_ut_mot,2008,270365
detaljhandel_ut_mot,2009,264808
detaljhandel_ut_mot,2010,274571
detaljhandel_ut_mot,2011,274554
detaljhandel_ut_mot,2012,279873
detaljhandel_ut_mot,2013,282669
detaljhandel_ut_mot,2014,285480
detaljhandel_ut_mot,2015,288364
detaljhandel_ut_mot,2016,293388
detaljhandel_ut_mot,2017,294352
detaljhandel_ut_mot,2018,294485
detaljhandel_ut_mot,2019,298120
detaljhandel_ut_mot,2020,294742
detaljhandel_ut_mot,2021,301486
detaljhandel_ut_mot,2022,307393
detaljhandel_ut_mot,2023,303230
transp_mag,2007,
transp_mag,2008,187063
transp_mag,2009,180300
transp_mag,2010,184856
transp_mag,2011,189042
transp_mag,2012,189863
transp_mag,2013,191432
transp_mag,2014,190759
transp_mag,2015,192148
transp_mag,2016,194267
transp_mag,2017,197755
transp_mag,2018,202871
transp_mag,2019,204551
transp_mag,2020,195268
transp_mag,2021,199205
transp_mag,2022,200414
transp_mag,2023,203371
post,2007,
post,2008,40258
post,2009,38287
post,2010,37791
post,2011,37122
post,2012,36118
post,2013,35507
post,2014,34147
post,2015,32515
post,2016,32048
post,2017,31724
post,2018,31049
post,2019,31474
post,2020,29975
post,2021,31182
post,2022,28978
post,2023,27058
hotell_rest_i,2007,
hotell_rest_i,2008,128393
hotell_rest_i,2009,129816
hotell_rest_i,2010,139040
hotell_rest_i,2011,140698
hotell_rest_i,2012,150151
hotell_rest_i,2013,157342
hotell_rest_i,2014,159910
hotell_rest_i,2015,164006
hotell_rest_i,2016,167643
hotell_rest_i,2017,169199
hotell_rest_i,2018,168913
hotell_rest_i,2019,182575
hotell_rest_i,2020,160434
hotell_rest_i,2021,178063
hotell_rest_i,2022,194396
hotell_rest_i,2023,195910
forlagsverksamhet_film,2007,
forlagsverksamhet_film,2008,53788
forlagsverksamhet_film,2009,52973
forlagsverksamhet_film,2010,52384
forlagsverksamhet_film,2011,50787
forlagsverksamhet_film,2012,50877
forlagsverksamhet_film,2013,51288
forlagsverksamhet_film,2014,50741
forlagsverksamhet_film,2015,50236
forlagsverksamhet_film,2016,49992
forlagsverksamhet_film,2017,50661
forlagsverksamhet_film,2018,51506
forlagsverksamhet_film,2019,52636
