sni_id,year,kem_anv_tonne_msek
metaller,2000,
metaller,2001,
metaller,2002,
metaller,2003,
metaller,2004,
metaller,2005,
metaller,2006,
metaller,2007,
metaller,2008,
metaller,2009,
metaller,2010,
metaller,2011,
metaller,2012,
metaller,2013,
metaller,2014,
metaller,2015,7.69476512934506
metaller,2016,46.4027413415096
metaller,2017,9.23220507250835
metaller,2018,10.3495778287965
metaller,2019,13.9391983756465
metaller,2020,
metaller,2021,
metaller,2022,
metaller,2023,
industri_for_met,2000,
industri_for_met,2001,
industri_for_met,2002,
industri_for_met,2003,
industri_for_met,2004,
industri_for_met,2005,
industri_for_met,2006,
industri_for_met,2007,
industri_for_met,2008,
industri_for_met,2009,
industri_for_met,2010,
industri_for_met,2011,
industri_for_met,2012,
industri_for_met,2013,
industri_for_met,2014,
industri_for_met,2015,6.64205363188525
industri_for_met,2016,6.7860250576945
industri_for_met,2017,6.308858809673
industri_for_met,2018,6.18373255724307
industri_for_met,2019,6.26142496667508
industri_for_met,2020,
industri_for_met,2021,
industri_for_met,2022,
industri_for_met,2023,
datorer_elek,2000,
datorer_elek,2001,
datorer_elek,2002,
datorer_elek,2003,
datorer_elek,2004,
datorer_elek,2005,
datorer_elek,2006,
datorer_elek,2007,
datorer_elek,2008,
datorer_elek,2009,
datorer_elek,2010,
datorer_elek,2011,
datorer_elek,2012,
datorer_elek,2013,
datorer_elek,2014,
datorer_elek,2015,4.70988534542599
datorer_elek,2016,4.58058767609733
datorer_elek,2017,3.93339887759039
datorer_elek,2018,3.72461183554404
datorer_elek,2019,3.6803538635739
datorer_elek,2020,
datorer_elek,2021,
datorer_elek,2022,
datorer_elek,2023,
elapparatur,2000,
elapparatur,2001,
elapparatur,2002,
elapparatur,2003,
elapparatur,2004,
elapparatur,2005,
elapparatur,2006,
elapparatur,2007,
elapparatur,2008,
elapparatur,2009,
elapparatur,2010,
elapparatur,2011,
elapparatur,2012,
elapparatur,2013,
elapparatur,2014,
elapparatur,2015,6.35460621649839
elapparatur,2016,6.63879262451681
elapparatur,2017,5.35374748589859
elapparatur,2018,5.59694446100191
elapparatur,2019,5.32109877839194
elapparatur,2020,
elapparatur,2021,
elapparatur,2022,
elapparatur,2023,
ovrig_mask,2000,
ovrig_mask,2001,
ovrig_mask,2002,
ovrig_mask,2003,
ovrig_mask,2004,
ovrig_mask,2005,
ovrig_mask,2006,
ovrig_mask,2007,
ovrig_mask,2008,
ovrig_mask,2009,
ovrig_mask,2010,
ovrig_mask,2011,
ovrig_mask,2012,
ovrig_mask,2013,
ovrig_mask,2014,
ovrig_mask,2015,4.50335657665168
ovrig_mask,2016,4.55378478099719
ovrig_mask,2017,4.03288411934821
ovrig_mask,2018,3.96920998133103
ovrig_mask,2019,4.00245937894158
ovrig_mask,2020,
ovrig_mask,2021,
ovrig_mask,2022,
ovrig_mask,2023,
industri_for_mot,2000,
industri_for_mot,2001,
industri_for_mot,2002,
industri_for_mot,2003,
industri_for_mot,2004,
industri_for_mot,2005,
industri_for_mot,2006,
industri_for_mot,2007,
industri_for_mot,2008,
industri_for_mot,2009,
industri_for_mot,2010,
industri_for_mot,2011,
industri_for_mot,2012,
industri_for_mot,2013,
industri_for_mot,2014,
industri_for_mot,2015,5.63777098737089
industri_for_mot,2016,5.55939789949564
industri_for_mot,2017,4.84007862165667
industri_for_mot,2018,4.91305727145668
industri_for_mot,2019,4.67446342765827
industri_for_mot,2020,
industri_for_mot,2021,
industri_for_mot,2022,
industri_for_mot,2023,
andra_tran,2000,
andra_tran,2001,
andra_tran,2002,
andra_tran,2003,
andra_tran,2004,
andra_tran,2005,
andra_tran,2006,
