sni_id,year,forv_kvn
livsmedel_dryck_tob,2008,47
livsmedel_dryck_tob,2009,55
livsmedel_dryck_tob,2010,45
livsmedel_dryck_tob,2011,58
livsmedel_dryck_tob,2012,63
livsmedel_dryck_tob,2013,57
livsmedel_dryck_tob,2014,51
livsmedel_dryck_tob,2015,66
livsmedel_dryck_tob,2016,61
livsmedel_dryck_tob,2017,45
livsmedel_dryck_tob,2018,47
livsmedel_dryck_tob,2019,59
livsmedel_dryck_tob,2020,59
livsmedel_dryck_tob,2021,52
livsmedel_dryck_tob,2022,
livsmedel_dryck_tob,2023,
magasinering,2000,
magasinering,2001,
magasinering,2002,
magasinering,2003,17
magasinering,2004,18
magasinering,2005,19
magasinering,2006,19
magasinering,2007,18
magasinering,2008,14
magasinering,2009,8
magasinering,2010,10
magasinering,2011,13
magasinering,2012,12
magasinering,2013,12
magasinering,2014,14
magasinering,2015,21
magasinering,2016,22
magasinering,2017,17
magasinering,2018,15
magasinering,2019,23
magasinering,2020,24
magasinering,2021,23
magasinering,2022,
magasinering,2023,
massa_papp,2000,
massa_papp,2001,
massa_papp,2002,
massa_papp,2003,162
massa_papp,2004,156
massa_papp,2005,158
massa_papp,2006,156
massa_papp,2007,158
massa_papp,2008,155
massa_papp,2009,83
massa_papp,2010,76
massa_papp,2011,74
massa_papp,2012,81
massa_papp,2013,73
massa_papp,2014,63
massa_papp,2015,64
massa_papp,2016,66
massa_papp,2017,59
massa_papp,2018,62
massa_papp,2019,60
massa_papp,2020,54
massa_papp,2021,48
massa_papp,2022,
massa_papp,2023,
offentlig_sekt,2000,
offentlig_sekt,2001,
offentlig_sekt,2002,
offentlig_sekt,2003,3366
offentlig_sekt,2004,3369
offentlig_sekt,2005,3409
offentlig_sekt,2006,3680
offentlig_sekt,2007,3744
offentlig_sekt,2008,3555
offentlig_sekt,2009,3187
offentlig_sekt,2010,3460
offentlig_sekt,2011,3850
offentlig_sekt,2012,3766
offentlig_sekt,2013,3740
offentlig_sekt,2014,3785
offentlig_sekt,2015,4025
offentlig_sekt,2016,4269
offentlig_sekt,2017,4405
offentlig_sekt,2018,4701
offentlig_sekt,2019,4806
offentlig_sekt,2020,4894
offentlig_sekt,2021,4952
offentlig_sekt,2022,
offentlig_sekt,2023,
parti_prov,2000,
parti_prov,2001,
parti_prov,2002,
parti_prov,2003,344
parti_prov,2004,381
parti_prov,2005,354
parti_prov,2006,403
parti_prov,2007,468
parti_prov,2008,478
parti_prov,2009,464
parti_prov,2010,404
parti_prov,2011,395
parti_prov,2012,429
parti_prov,2013,420
parti_prov,2014,394
parti_prov,2015,402
parti_prov,2016,417
parti_prov,2017,433
parti_prov,2018,411
parti_prov,2019,443
parti_prov,2020,464
parti_prov,2021,513
parti_prov,2022,
parti_prov,2023,
rederier,2000,
rederier,2001,
rederier,2002,
rederier,2003,1
rederier,2004,0
rederier,2005,0
rederier,2006,0
rederier,2007,0
rederier,2008,
rederier,2009,
rederier,2010,
rederier,2011,
rederier,2012,
rederier,2013,
rederier,2014,0
rederier,2015,0
rederier,2016,0
rederier,2017,0
rederier,2018,0
rederier,2019,
rederier,2020,
rederier,2021,
rederier,2022,
rederier,2023,
reklam_und,2000,
reklam_und,2001,
reklam_und,2002,
reklam_und,2003,83
reklam_und,2004,99
reklam_und,2005,115
reklam_und,2006,110
reklam_und,2007,127
reklam_und,2008,147
reklam_und,2009,179
reklam_und,2010,191
reklam_und,2011,192
reklam_und,2012,204
reklam_und,2013,225
reklam_und,2014,210
reklam_und,2015,196
reklam_und,2016,204
reklam_und,2017,237
reklam_und,2018,240
reklam_und,2019,241
reklam_und,2020,251
reklam_und,2021,252
reklam_und,2022,
reklam_und,2023,
reparationsverkstader,2000,
reparationsverkstader,2001,
reparationsverkstader,2002,
reparationsverkstader,2003,121
reparationsverkstader,2004,125
reparationsverkstader,2005,133
reparationsverkstader,2006,151
reparationsverkstader,2007,175
reparationsverkstader,2008,187
reparationsverkstader,2009,181
reparationsverkstader,2010,162
reparationsverkstader,2011,166
reparationsverkstader,2012,170
reparationsverkstader,2013,141
reparationsverkstader,2014,129
reparationsverkstader,2015,125
reparationsverkstader,2016,107
reparationsverkstader,2017,81
reparationsverkstader,2018,67
reparationsverkstader,2019,65
reparationsverkstader,2020,59
reparationsverkstader,2021,50
reparationsverkstader,2022,
reparationsverkstader,2023,
skogsbruksforetag,2000,
skogsbruksforetag,2001,
skogsbruksforetag,2002,
skogsbruksforetag,2003,332
skogsbruksforetag,2004,357
skogsbruksforetag,2005,475
skogsbruksforetag,2006,514
skogsbruksforetag,2007,644
skogsbruksforetag,2008,774
skogsbruksforetag,2009,805
skogsbruksforetag,2010,887
skogsbruksforetag,2011,1101
skogsbruksforetag,2012,1119
skogsbruksforetag,2013,1122
skogsbruksforetag,2014,1221
skogsbruksforetag,2015,1331
skogsbruksforetag,2016,1386
skogsbruksforetag,2017,1302
skogsbruksforetag,2018,1351
skogsbruksforetag,2019,1398
skogsbruksforetag,2020,1420
skogsbruksforetag,2021,1427
skogsbruksforetag,2022,
skogsbruksforetag,2023,
metaller,2000,
metaller,2001,
metaller,2002,
metaller,2003,58
metaller,2004,59
metaller,2005,68
metaller,2006,74
metaller,2007,81
metaller,2008,92
metaller,2009,51
metaller,2010,71
metaller,2011,68
metaller,2012,78
metaller,2013,83
metaller,2014,83
metaller,2015,83
metaller,2016,74
metaller,2017,72
metaller,2018,86
metaller,2019,82
metaller,2020,82
metaller,2021,83
metaller,2022,
metaller,2023,
telekommunikation_j,2000,
telekommunikation_j,2001,
telekommunikation_j,2002,
telekommunikation_j,2003,0
telekommunikation_j,2004,0
telekommunikation_j,2005,
telekommunikation_j,2006,
telekommunikation_j,2007,
telekommunikation_j,2008,
telekommunikation_j,2009,
telekommunikation_j,2010,
telekommunikation_j,2011,
telekommunikation_j,2012,
telekommunikation_j,2013,
telekommunikation_j,2014,
telekommunikation_j,2015,
telekommunikation_j,2016,
telekommunikation_j,2017,
telekommunikation_j,2018,
telekommunikation_j,2019,
telekommunikation_j,2020,
telekommunikation_j,2021,
telekommunikation_j,2022,
telekommunikation_j,2023,
tillverkning_avd,2000,
tillverkning_avd,2001,
tillverkning_avd,2002,
tillverkning_avd,2003,759
tillverkning_avd,2004,774
tillverkning_avd,2005,773
tillverkning_avd,2006,820
tillverkning_avd,2007,910
tillverkning_avd,2008,1002
tillverkning_avd,2009,947
tillverkning_avd,2010,725
tillverkning_avd,2011,553
tillverkning_avd,2012,498
tillverkning_avd,2013,507
tillverkning_avd,2014,506
tillverkning_avd,2015,459
tillverkning_avd,2016,457
tillverkning_avd,2017,400
tillverkning_avd,2018,406
tillverkning_avd,2019,367
tillverkning_avd,2020,352
tillverkning_avd,2021,420
tillverkning_avd,2022,
tillverkning_avd,2023,
tillverkning_mob,2000,
tillverkning_mob,2001,
tillverkning_mob,2002,
tillverkning_mob,2003,
tillverkning_mob,2004,
tillverkning_mob,2005,2
tillverkning_mob,2006,2
tillverkning_mob,2007,1
tillverkning_mob,2008,1
tillverkning_mob,2009,1
tillverkning_mob,2010,0
tillverkning_mob,2011,2
tillverkning_mob,2012,4
tillverkning_mob,2013,5
tillverkning_mob,2014,6
tillverkning_mob,2015,6
tillverkning_mob,2016,7
tillverkning_mob,2017,7
tillverkning_mob,2018,10
tillverkning_mob,2019,9
tillverkning_mob,2020,10
tillverkning_mob,2021,10
tillverkning_mob,2022,
tillverkning_mob,2023,
kemisk_indu,2000,
kemisk_indu,2001,
kemisk_indu,2002,
kemisk_indu,2003,145
kemisk_indu,2004,149
kemisk_indu,2005,144
kemisk_indu,2006,152
kemisk_indu,2007,163
kemisk_indu,2008,187
kemisk_indu,2009,175
kemisk_indu,2010,187
kemisk_indu,2011,217
kemisk_indu,2012,222
kemisk_indu,2013,219
kemisk_indu,2014,214
kemisk_indu,2015,228
kemisk_indu,2016,244
kemisk_indu,2017,242
kemisk_indu,2018,238
kemisk_indu,2019,237
kemisk_indu,2020,238
kemisk_indu,2021,260
kemisk_indu,2022,
kemisk_indu,2023,
textil_bekl,2000,
textil_bekl,2001,
textil_bekl,2002,
textil_bekl,2003,59
textil_bekl,2004,57
textil_bekl,2005,59
textil_bekl,2006,54
textil_bekl,2007,64
textil_bekl,2008,69
textil_bekl,2009,58
textil_bekl,2010,62
textil_bekl,2011,61
textil_bekl,2012,57
textil_bekl,2013,51
textil_bekl,2014,52
textil_bekl,2015,53
textil_bekl,2016,52
textil_bekl,2017,28
textil_bekl,2018,29
textil_bekl,2019,31
textil_bekl,2020,30
textil_bekl,2021,30
textil_bekl,2022,
textil_bekl,2023,
totalt_tota,2000,
totalt_tota,2001,
totalt_tota,2002,
totalt_tota,2003,14364
totalt_tota,2004,15223
totalt_tota,2005,15684
totalt_tota,2006,17177
totalt_tota,2007,19223
totalt_tota,2008,19559
totalt_tota,2009,18765
totalt_tota,2010,19359
totalt_tota,2011,21428
totalt_tota,2012,22658
totalt_tota,2013,22470
totalt_tota,2014,23225
totalt_tota,2015,24437
totalt_tota,2016,25675
totalt_tota,2017,26882
totalt_tota,2018,28476
totalt_tota,2019,29608
totalt_tota,2020,30391
totalt_tota,2021,32247
totalt_tota,2022,
totalt_tota,2023,
utbildning,2000,
utbildning,2001,
utbildning,2002,
utbildning,2003,49
utbildning,2004,69
utbildning,2005,71
utbildning,2006,71
utbildning,2007,78
utbildning,2008,77
utbildning,2009,68
utbildning,2010,86
utbildning,2011,66
utbildning,2012,111
utbildning,2013,101
utbildning,2014,100
utbildning,2015,99
utbildning,2016,122
utbildning,2017,113
utbildning,2018,106
utbildning,2019,115
utbildning,2020,116
utbildning,2021,128
utbildning,2022,
utbildning,2023,
uthyrningsfirmor,2000,
uthyrningsfirmor,2001,
uthyrningsfirmor,2002,
uthyrningsfirmor,2003,1
uthyrningsfirmor,2004,2
uthyrningsfirmor,2005,2
uthyrningsfirmor,2006,2
uthyrningsfirmor,2007,2
uthyrningsfirmor,2008,12
uthyrningsfirmor,2009,16
uthyrningsfirmor,2010,21
uthyrningsfirmor,2011,23
uthyrningsfirmor,2012,25
uthyrningsfirmor,2013,28
uthyrningsfirmor,2014,34
uthyrningsfirmor,2015,33
uthyrningsfirmor,2016,42
uthyrningsfirmor,2017,50
uthyrningsfirmor,2018,55
uthyrningsfirmor,2019,58
uthyrningsfirmor,2020,62
uthyrningsfirmor,2021,80
uthyrningsfirmor,2022,
uthyrningsfirmor,2023,
utvinning_min,2000,
utvinning_min,2001,
utvinning_min,2002,
utvinning_min,2003,12
utvinning_min,2004,13
utvinning_min,2005,12
utvinning_min,2006,10
utvinning_min,2007,10
utvinning_min,2008,6
utvinning_min,2009,6
utvinning_min,2010,6
utvinning_min,2011,5
utvinning_min,2012,6
utvinning_min,2013,5
utvinning_min,2014,5
utvinning_min,2015,5
utvinning_min,2016,7
utvinning_min,2017,7
utvinning_min,2018,12
utvinning_min,2019,13
utvinning_min,2020,9
utvinning_min,2021,9
utvinning_min,2022,
utvinning_min,2023,
vattenforsorjning_e,2000,
vattenforsorjning_e,2001,
