sni_id,year,ant_for_tjugo
annan_indu,2019,15
annan_indu,2020,14
annan_indu,2021,17
annan_indu,2022,
annan_indu,2023,
andra_till,2000,
andra_till,2001,
andra_till,2002,
andra_till,2003,
andra_till,2004,
andra_till,2005,
andra_till,2006,49
andra_till,2007,48
andra_till,2008,53
andra_till,2009,53
andra_till,2010,48
andra_till,2011,51
andra_till,2012,44
andra_till,2013,41
andra_till,2014,47
andra_till,2015,42
andra_till,2016,43
andra_till,2017,41
andra_till,2018,46
andra_till,2019,49
andra_till,2020,48
andra_till,2021,42
andra_till,2022,
andra_till,2023,
andra_tran,2000,
andra_tran,2001,
andra_tran,2002,
andra_tran,2003,
andra_tran,2004,
andra_tran,2005,
andra_tran,2006,29
andra_tran,2007,26
andra_tran,2008,27
andra_tran,2009,28
andra_tran,2010,33
andra_tran,2011,32
andra_tran,2012,28
andra_tran,2013,27
andra_tran,2014,28
andra_tran,2015,28
andra_tran,2016,30
andra_tran,2017,30
andra_tran,2018,34
andra_tran,2019,36
andra_tran,2020,32
andra_tran,2021,33
andra_tran,2022,
andra_tran,2023,
arbetsformedlingar_rekr,2000,
arbetsformedlingar_rekr,2001,
arbetsformedlingar_rekr,2002,
arbetsformedlingar_rekr,2003,
arbetsformedlingar_rekr,2004,
arbetsformedlingar_rekr,2005,
arbetsformedlingar_rekr,2006,145
arbetsformedlingar_rekr,2007,159
arbetsformedlingar_rekr,2008,151
arbetsformedlingar_rekr,2009,196
arbetsformedlingar_rekr,2010,192
arbetsformedlingar_rekr,2011,192
arbetsformedlingar_rekr,2012,203
arbetsformedlingar_rekr,2013,239
arbetsformedlingar_rekr,2014,261
arbetsformedlingar_rekr,2015,272
arbetsformedlingar_rekr,2016,260
arbetsformedlingar_rekr,2017,279
arbetsformedlingar_rekr,2018,264
arbetsformedlingar_rekr,2019,317
arbetsformedlingar_rekr,2020,348
arbetsformedlingar_rekr,2021,364
arbetsformedlingar_rekr,2022,
arbetsformedlingar_rekr,2023,
arkitekt,2000,
arkitekt,2001,
arkitekt,2002,
arkitekt,2003,
arkitekt,2004,
arkitekt,2005,
arkitekt,2006,289
arkitekt,2007,306
arkitekt,2008,293
arkitekt,2009,313
arkitekt,2010,330
arkitekt,2011,341
arkitekt,2012,335
arkitekt,2013,331
arkitekt,2014,345
arkitekt,2015,375
arkitekt,2016,387
arkitekt,2017,414
arkitekt,2018,420
arkitekt,2019,453
arkitekt,2020,493
arkitekt,2021,483
arkitekt,2022,
arkitekt,2023,
avfallshantering_ater,2000,
avfallshantering_ater,2001,
avfallshantering_ater,2002,
avfallshantering_ater,2003,
avfallshantering_ater,2004,
avfallshantering_ater,2005,
avfallshantering_ater,2006,52
avfallshantering_ater,2007,48
avfallshantering_ater,2008,42
avfallshantering_ater,2009,52
avfallshantering_ater,2010,43
avfallshantering_ater,2011,49
avfallshantering_ater,2012,51
avfallshantering_ater,2013,56
avfallshantering_ater,2014,54
avfallshantering_ater,2015,45
avfallshantering_ater,2016,55
avfallshantering_ater,2017,51
avfallshantering_ater,2018,62
avfallshantering_ater,2019,56
avfallshantering_ater,2020,60
avfallshantering_ater,2021,67
avfallshantering_ater,2022,
avfallshantering_ater,2023,
banker,2000,
banker,2001,
banker,2002,
banker,2003,
banker,2004,
banker,2005,
banker,2006,62
banker,2007,69
banker,2008,65
banker,2009,63
banker,2010,63
banker,2011,73
banker,2012,78
banker,2013,78
banker,2014,72
banker,2015,78
banker,2016,79
banker,2017,82
banker,2018,83
banker,2019,89
banker,2020,93
banker,2021,85
banker,2022,
banker,2023,
bekladnadsindustri,2000,
bekladnadsindustri,2001,
bekladnadsindustri,2002,
bekladnadsindustri,2003,
bekladnadsindustri,2004,
bekladnadsindustri,2005,
bekladnadsindustri,2006,7
bekladnadsindustri,2007,7
bekladnadsindustri,2008,8
bekladnadsindustri,2009,4
bekladnadsindustri,2010,2
bekladnadsindustri,2011,4
bekladnadsindustri,2012,4
bekladnadsindustri,2013,3
bekladnadsindustri,2014,3
bekladnadsindustri,2015,4
bekladnadsindustri,2016,4
bekladnadsindustri,2017,3
bekladnadsindustri,2018,3
bekladnadsindustri,2019,3
bekladnadsindustri,2020,6
bekladnadsindustri,2021,3
bekladnadsindustri,2022,
bekladnadsindustri,2023,
bibliotek_arki,2000,
bibliotek_arki,2001,
bibliotek_arki,2002,
bibliotek_arki,2003,
bibliotek_arki,2004,
bibliotek_arki,2005,
bibliotek_arki,2006,24
bibliotek_arki,2007,24
bibliotek_arki,2008,24
bibliotek_arki,2009,26
bibliotek_arki,2010,30
bibliotek_arki,2011,32
bibliotek_arki,2012,31
bibliotek_arki,2013,34
bibliotek_arki,2014,35
bibliotek_arki,2015,36
bibliotek_arki,2016,37
bibliotek_arki,2017,37
bibliotek_arki,2018,44
bibliotek_arki,2019,46
bibliotek_arki,2020,46
bibliotek_arki,2021,44
bibliotek_arki,2022,
bibliotek_arki,2023,
byggentreprenorer,2000,
byggentreprenorer,2001,
byggentreprenorer,2002,
byggentreprenorer,2003,
byggentreprenorer,2004,
byggentreprenorer,2005,
byggentreprenorer,2006,333
byggentreprenorer,2007,335
byggentreprenorer,2008,338
byggentreprenorer,2009,353
byggentreprenorer,2010,373
byggentreprenorer,2011,373
byggentreprenorer,2012,344
byggentreprenorer,2013,372
byggentreprenorer,2014,415
byggentreprenorer,2015,439
byggentreprenorer,2016,470
byggentreprenorer,2017,442
byggentreprenorer,2018,440
byggentreprenorer,2019,516
byggentreprenorer,2020,535
byggentreprenorer,2021,490
byggentreprenorer,2022,
byggentreprenorer,2023,
offentlig_forv,2000,
offentlig_forv,2001,
offentlig_forv,2002,
offentlig_forv,2003,
offentlig_forv,2004,
offentlig_forv,2005,
offentlig_forv,2006,57
offentlig_forv,2007,54
offentlig_forv,2008,55
offentlig_forv,2009,53
offentlig_forv,2010,54
offentlig_forv,2011,47
offentlig_forv,2012,54
offentlig_forv,2013,51
offentlig_forv,2014,48
offentlig_forv,2015,47
offentlig_forv,2016,44
offentlig_forv,2017,44
offentlig_forv,2018,47
offentlig_forv,2019,50
offentlig_forv,2020,52
offentlig_forv,2021,50
offentlig_forv,2022,
offentlig_forv,2023,
detaljhandel_ut_mot,2000,
detaljhandel_ut_mot,2001,
detaljhandel_ut_mot,2002,
detaljhandel_ut_mot,2003,
detaljhandel_ut_mot,2004,
detaljhandel_ut_mot,2005,
detaljhandel_ut_mot,2006,842
detaljhandel_ut_mot,2007,835
detaljhandel_ut_mot,2008,813
detaljhandel_ut_mot,2009,855
detaljhandel_ut_mot,2010,847
