sni_id,year,foradl
grafisk,2009,
grafisk,2010,
grafisk,2011,
grafisk,2012,
grafisk,2013,
grafisk,2014,
grafisk,2015,
grafisk,2016,
grafisk,2017,
grafisk,2018,
grafisk,2019,5
grafisk,2020,3
grafisk,2021,
grafisk,2022,
grafisk,2023,
gummi,2000,
gummi,2001,
gummi,2002,
gummi,2003,437
gummi,2004,417
gummi,2005,427
gummi,2006,572
gummi,2007,553
gummi,2008,463
gummi,2009,392
gummi,2010,392
gummi,2011,447
gummi,2012,420
gummi,2013,319
gummi,2014,407
gummi,2015,436
gummi,2016,492
gummi,2017,489
gummi,2018,456
gummi,2019,485
gummi,2020,535
gummi,2021,431
gummi,2022,
gummi,2023,
handel_med,2000,
handel_med,2001,
handel_med,2002,
handel_med,2003,164
handel_med,2004,191
handel_med,2005,175
handel_med,2006,173
handel_med,2007,189
handel_med,2008,93
handel_med,2009,95
handel_med,2010,133
handel_med,2011,133
handel_med,2012,215
handel_med,2013,208
handel_med,2014,205
handel_med,2015,214
handel_med,2016,242
handel_med,2017,248
handel_med,2018,235
handel_med,2019,237
handel_med,2020,218
handel_med,2021,241
handel_med,2022,
handel_med,2023,
hotell_rest_i,2000,
hotell_rest_i,2001,
hotell_rest_i,2002,
hotell_rest_i,2003,126
hotell_rest_i,2004,129
hotell_rest_i,2005,162
hotell_rest_i,2006,170
hotell_rest_i,2007,168
hotell_rest_i,2008,210
hotell_rest_i,2009,200
hotell_rest_i,2010,230
hotell_rest_i,2011,227
hotell_rest_i,2012,226
hotell_rest_i,2013,223
hotell_rest_i,2014,234
hotell_rest_i,2015,254
hotell_rest_i,2016,291
hotell_rest_i,2017,314
hotell_rest_i,2018,314
hotell_rest_i,2019,318
hotell_rest_i,2020,288
hotell_rest_i,2021,350
hotell_rest_i,2022,
hotell_rest_i,2023,
hushall,2000,
hushall,2001,
hushall,2002,
hushall,2003,
hushall,2004,
hushall,2005,
hushall,2006,
hushall,2007,
hushall,2008,409
hushall,2009,417
hushall,2010,393
hushall,2011,416
hushall,2012,435
hushall,2013,474
hushall,2014,517
hushall,2015,529
hushall,2016,555
hushall,2017,593
hushall,2018,622
hushall,2019,630
hushall,2020,632
hushall,2021,702
hushall,2022,
hushall,2023,
halso,2000,
halso,2001,
halso,2002,
halso,2003,1
halso,2004,1
halso,2005,2
halso,2006,2
halso,2007,3
halso,2008,2
halso,2009,4
halso,2010,4
halso,2011,4
halso,2012,2
halso,2013,2
halso,2014,1
halso,2015,1
halso,2016,
halso,2017,
halso,2018,
halso,2019,
halso,2020,
halso,2021,
halso,2022,
halso,2023,
icke_met_andra,2000,
icke_met_andra,2001,
icke_met_andra,2002,
icke_met_andra,2003,342
icke_met_andra,2004,333
icke_met_andra,2005,391
icke_met_andra,2006,414
icke_met_andra,2007,554
icke_met_andra,2008,469
icke_met_andra,2009,451
icke_met_andra,2010,520
icke_met_andra,2011,536
icke_met_andra,2012,571
icke_met_andra,2013,474
icke_met_andra,2014,513
icke_met_andra,2015,534
icke_met_andra,2016,521
icke_met_andra,2017,573
icke_met_andra,2018,576
icke_met_andra,2019,644
icke_met_andra,2020,704
icke_met_andra,2021,625
icke_met_andra,2022,
icke_met_andra,2023,
industri_for_met,2000,
industri_for_met,2001,
industri_for_met,2002,
industri_for_met,2003,423
industri_for_met,2004,425
industri_for_met,2005,452
industri_for_met,2006,514
industri_for_met,2007,530
industri_for_met,2008,464
industri_for_met,2009,377
industri_for_met,2010,419
industri_for_met,2011,372
industri_for_met,2012,508
industri_for_met,2013,495
industri_for_met,2014,486
industri_for_met,2015,462
industri_for_met,2016,463
industri_for_met,2017,468
industri_for_met,2018,494
industri_for_met,2019,502
industri_for_met,2020,523
industri_for_met,2021,382
industri_for_met,2022,
industri_for_met,2023,
industri_for_mot,2000,
industri_for_mot,2001,
industri_for_mot,2002,
industri_for_mot,2003,209
industri_for_mot,2004,186
industri_for_mot,2005,191
industri_for_mot,2006,217
industri_for_mot,2007,230
industri_for_mot,2008,190
industri_for_mot,2009,277
industri_for_mot,2010,214
industri_for_mot,2011,319
industri_for_mot,2012,357
industri_for_mot,2013,360
industri_for_mot,2014,379
industri_for_mot,2015,563
industri_for_mot,2016,430
industri_for_mot,2017,402
industri_for_mot,2018,391
industri_for_mot,2019,401
industri_for_mot,2020,448
industri_for_mot,2021,419
industri_for_mot,2022,
industri_for_mot,2023,
industri_for_tra,2000,
industri_for_tra,2001,
industri_for_tra,2002,
industri_for_tra,2003,846
industri_for_tra,2004,754
industri_for_tra,2005,1014
industri_for_tra,2006,1253
industri_for_tra,2007,1678
industri_for_tra,2008,1172
industri_for_tra,2009,1176
industri_for_tra,2010,1396
industri_for_tra,2011,917
industri_for_tra,2012,879
industri_for_tra,2013,1190
industri_for_tra,2014,1219
industri_for_tra,2015,1342
industri_for_tra,2016,1283
industri_for_tra,2017,1516
industri_for_tra,2018,1755
industri_for_tra,2019,1650
industri_for_tra,2020,1440
industri_for_tra,2021,3213
industri_for_tra,2022,
industri_for_tra,2023,
jordbruksforetag_serv,2000,
jordbruksforetag_serv,2001,
jordbruksforetag_serv,2002,
jordbruksforetag_serv,2003,1201
jordbruksforetag_serv,2004,1215
jordbruksforetag_serv,2005,1043
jordbruksforetag_serv,2006,970
jordbruksforetag_serv,2007,1379
jordbruksforetag_serv,2008,1459
jordbruksforetag_serv,2009,1288
jordbruksforetag_serv,2010,1724
jordbruksforetag_serv,2011,1944
jordbruksforetag_serv,2012,1866
jordbruksforetag_serv,2013,1840
jordbruksforetag_serv,2014,1933
jordbruksforetag_serv,2015,2038
jordbruksforetag_serv,2016,2109
jordbruksforetag_serv,2017,2436
jordbruksforetag_serv,2018,2462
jordbruksforetag_serv,2019,2626
jordbruksforetag_serv,2020,2575
jordbruksforetag_serv,2021,3031
jordbruksforetag_serv,2022,
jordbruksforetag_serv,2023,
juridisk_ek,2000,
juridisk_ek,2001,
juridisk_ek,2002,
juridisk_ek,2003,289
juridisk_ek,2004,306
juridisk_ek,2005,458
juridisk_ek,2006,240
juridisk_ek,2007,419
juridisk_ek,2008,295
juridisk_ek,2009,257
juridisk_ek,2010,269
juridisk_ek,2011,355
juridisk_ek,2012,373
juridisk_ek,2013,327
juridisk_ek,2014,360
juridisk_ek,2015,427
juridisk_ek,2016,434
juridisk_ek,2017,450
juridisk_ek,2018,384
juridisk_ek,2019,376
juridisk_ek,2020,342
juridisk_ek,2021,392
juridisk_ek,2022,
juridisk_ek,2023,
kultur_noje,2000,
kultur_noje,2001,
kultur_noje,2002,
kultur_noje,2003,34
kultur_noje,2004,37
kultur_noje,2005,35
kultur_noje,2006,39
kultur_noje,2007,48
kultur_noje,2008,55
kultur_noje,2009,61
kultur_noje,2010,64
kultur_noje,2011,69
kultur_noje,2012,60
kultur_noje,2013,69
kultur_noje,2014,67
kultur_noje,2015,89
kultur_noje,2016,99
kultur_noje,2017,113
kultur_noje,2018,111
kultur_noje,2019,148
kultur_noje,2020,155
kultur_noje,2021,166
kultur_noje,2022,
kultur_noje,2023,
landtransportforetag_rort,2000,
landtransportforetag_rort,2001,
landtransportforetag_rort,2002,
landtransportforetag_rort,2003,889
landtransportforetag_rort,2004,925
landtransportforetag_rort,2005,951
landtransportforetag_rort,2006,1167
landtransportforetag_rort,2007,1235
landtransportforetag_rort,2008,1336
landtransportforetag_rort,2009,1064
landtransportforetag_rort,2010,1125
landtransportforetag_rort,2011,1186
landtransportforetag_rort,2012,1150
landtransportforetag_rort,2013,1175
landtransportforetag_rort,2014,977
landtransportforetag_rort,2015,977
landtransportforetag_rort,2016,1045
landtransportforetag_rort,2017,1032
landtransportforetag_rort,2018,1066
landtransportforetag_rort,2019,1097
landtransportforetag_rort,2020,1113
landtransportforetag_rort,2021,1233
landtransportforetag_rort,2022,
landtransportforetag_rort,2023,
livsmedel_dryck_tob,2000,
livsmedel_dryck_tob,2001,
livsmedel_dryck_tob,2002,
livsmedel_dryck_tob,2003,46
livsmedel_dryck_tob,2004,54
livsmedel_dryck_tob,2005,58
livsmedel_dryck_tob,2006,59
livsmedel_dryck_tob,2007,67
livsmedel_dryck_tob,2008,85
livsmedel_dryck_tob,2009,89
livsmedel_dryck_tob,2010,63
livsmedel_dryck_tob,2011,86
livsmedel_dryck_tob,2012,68
livsmedel_dryck_tob,2013,82
livsmedel_dryck_tob,2014,81
livsmedel_dryck_tob,2015,94
livsmedel_dryck_tob,2016,113
livsmedel_dryck_tob,2017,80
livsmedel_dryck_tob,2018,72
livsmedel_dryck_tob,2019,75
livsmedel_dryck_tob,2020,115
livsmedel_dryck_tob,2021,88
livsmedel_dryck_tob,2022,
livsmedel_dryck_tob,2023,
magasinering,2000,
magasinering,2001,
magasinering,2002,
magasinering,2003,47
magasinering,2004,62
magasinering,2005,71
magasinering,2006,57
magasinering,2007,66
magasinering,2008,48
magasinering,2009,32
magasinering,2010,43
magasinering,2011,66
magasinering,2012,62
magasinering,2013,58
magasinering,2014,63
magasinering,2015,86
magasinering,2016,97
magasinering,2017,104
magasinering,2018,114
magasinering,2019,114
magasinering,2020,115
magasinering,2021,115
magasinering,2022,
magasinering,2023,
massa_papp,2000,
massa_papp,2001,
massa_papp,2002,
massa_papp,2003,669
