sni_id,year,tot_egen_fou
arkitekt,2017,2975
arkitekt,2019,4661
arkitekt,2021,2362
arkitekt,2023,3181
forsknings,2007,11804
forsknings,2009,9902
forsknings,2011,11015
forsknings,2013,8748
forsknings,2015,9264
forsknings,2017,12271
forsknings,2019,11392
forsknings,2021,14110
forsknings,2023,16703
rek_vet_civ_int,2007,422
rek_vet_civ_int,2009,1455
rek_vet_civ_int,2011,1122
rek_vet_civ_int,2013,1575
rek_vet_civ_int,2015,1733
rek_vet_civ_int,2017,2283
rek_vet_civ_int,2019,1079
rek_vet_civ_int,2021,2431
rek_vet_civ_int,2023,1250
