sni_id,year,ant_for_hundra
drycker,2010,1
drycker,2011,1
drycker,2012,1
drycker,2013,0
drycker,2014,0
drycker,2015,0
drycker,2016,0
drycker,2017,0
drycker,2018,0
drycker,2019,0
drycker,2020,1
drycker,2021,2
drycker,2022,
drycker,2023,
el_gas,2000,
el_gas,2001,
el_gas,2002,
el_gas,2003,
el_gas,2004,
el_gas,2005,
el_gas,2006,17
el_gas,2007,18
el_gas,2008,21
el_gas,2009,22
el_gas,2010,24
el_gas,2011,20
el_gas,2012,22
el_gas,2013,24
el_gas,2014,19
el_gas,2015,20
el_gas,2016,19
el_gas,2017,19
el_gas,2018,21
el_gas,2019,24
el_gas,2020,27
el_gas,2021,26
el_gas,2022,
el_gas,2023,
halso,2000,
halso,2001,
halso,2002,
halso,2003,
halso,2004,
halso,2005,
halso,2006,19
halso,2007,19
halso,2008,28
halso,2009,33
halso,2010,31
halso,2011,26
halso,2012,18
halso,2013,22
halso,2014,22
halso,2015,23
halso,2016,25
halso,2017,29
halso,2018,34
halso,2019,38
halso,2020,41
halso,2021,39
halso,2022,
halso,2023,
enheter_for_konst,2000,
enheter_for_konst,2001,
enheter_for_konst,2002,
enheter_for_konst,2003,
enheter_for_konst,2004,
enheter_for_konst,2005,
enheter_for_konst,2006,11
enheter_for_konst,2007,10
enheter_for_konst,2008,7
enheter_for_konst,2009,5
enheter_for_konst,2010,9
enheter_for_konst,2011,10
enheter_for_konst,2012,10
enheter_for_konst,2013,11
enheter_for_konst,2014,9
enheter_for_konst,2015,8
enheter_for_konst,2016,7
enheter_for_konst,2017,5
enheter_for_konst,2018,10
enheter_for_konst,2019,11
enheter_for_konst,2020,13
enheter_for_konst,2021,11
enheter_for_konst,2022,
enheter_for_konst,2023,
fastighetsbolag_g,2000,
fastighetsbolag_g,2001,
fastighetsbolag_g,2002,
fastighetsbolag_g,2003,
fastighetsbolag_g,2004,
fastighetsbolag_g,2005,
fastighetsbolag_g,2006,46
fastighetsbolag_g,2007,48
fastighetsbolag_g,2008,44
fastighetsbolag_g,2009,42
fastighetsbolag_g,2010,45
fastighetsbolag_g,2011,49
fastighetsbolag_g,2012,50
fastighetsbolag_g,2013,51
fastighetsbolag_g,2014,49
fastighetsbolag_g,2015,53
fastighetsbolag_g,2016,53
fastighetsbolag_g,2017,59
fastighetsbolag_g,2018,64
fastighetsbolag_g,2019,67
fastighetsbolag_g,2020,70
fastighetsbolag_g,2021,67
fastighetsbolag_g,2022,
fastighetsbolag_g,2023,
film_vide,2000,
film_vide,2001,
film_vide,2002,
film_vide,2003,
film_vide,2004,
film_vide,2005,
film_vide,2006,3
film_vide,2007,4
film_vide,2008,2
film_vide,2009,4
film_vide,2010,4
film_vide,2011,8
film_vide,2012,5
film_vide,2013,7
film_vide,2014,6
film_vide,2015,6
film_vide,2016,7
film_vide,2017,9
film_vide,2018,11
film_vide,2019,10
film_vide,2020,14
film_vide,2021,12
film_vide,2022,
film_vide,2023,
fisk,2000,
fisk,2001,
fisk,2002,
fisk,2003,
fisk,2004,
fisk,2005,
fisk,2006,0
fisk,2007,0
fisk,2008,0
fisk,2009,0
fisk,2010,0
fisk,2011,0
fisk,2012,0
fisk,2013,0
fisk,2014,0
fisk,2015,0
fisk,2016,0
fisk,2017,0
fisk,2018,0
fisk,2019,0
fisk,2020,0
fisk,2021,0
fisk,2022,
fisk,2023,
flygbolag,2000,
flygbolag,2001,
flygbolag,2002,
flygbolag,2003,
flygbolag,2004,
flygbolag,2005,
flygbolag,2006,5
flygbolag,2007,3
flygbolag,2008,6
