sni_id,year,kem_tonne
hotell_rest_i,2012,138589
hotell_rest_i,2013,120005
hotell_rest_i,2014,135906
hotell_rest_i,2015,212954
hotell_rest_i,2016,235842
hotell_rest_i,2017,236125
hotell_rest_i,2018,249519
hotell_rest_i,2019,244692
hotell_rest_i,2020,249450
forlag,2008,23359
forlag,2009,20225
forlag,2010,27969
forlag,2011,27989
forlag,2012,23704
forlag,2013,16640
forlag,2014,16713
forlag,2015,15265
forlag,2016,13700
forlag,2017,13359
forlag,2018,15394
forlag,2019,13381
forlag,2020,16373
film_vide_j,2008,8024
film_vide_j,2009,7382
film_vide_j,2010,11146
film_vide_j,2011,11686
film_vide_j,2012,12056
film_vide_j,2013,8096
film_vide_j,2014,8563
film_vide_j,2015,7024
film_vide_j,2016,8208
film_vide_j,2017,7084
film_vide_j,2018,7444
film_vide_j,2019,6437
film_vide_j,2020,6411
telekommunikation_j,2008,37030
telekommunikation_j,2009,30732
telekommunikation_j,2010,46022
telekommunikation_j,2011,49206
telekommunikation_j,2012,52292
telekommunikation_j,2013,42852
telekommunikation_j,2014,44534
telekommunikation_j,2015,35869
telekommunikation_j,2016,38705
telekommunikation_j,2017,33786
telekommunikation_j,2018,35153
telekommunikation_j,2019,33323
telekommunikation_j,2020,35260
dataprogrammering_data,2008,72592
dataprogrammering_data,2009,62588
dataprogrammering_data,2010,93828
dataprogrammering_data,2011,99008
dataprogrammering_data,2012,91044
dataprogrammering_data,2013,65423
dataprogrammering_data,2014,67748
dataprogrammering_data,2015,127286
dataprogrammering_data,2016,132522
dataprogrammering_data,2017,148005
dataprogrammering_data,2018,152135
dataprogrammering_data,2019,144186
dataprogrammering_data,2020,188327
banker,2008,16907
banker,2009,12425
banker,2010,20058
banker,2011,20977
banker,2012,20553
banker,2013,15387
banker,2014,15714
banker,2015,18345
banker,2016,20326
banker,2017,19069
banker,2018,20076
banker,2019,22860
banker,2020,25128
forsakrings,2008,13995
forsakrings,2009,11136
forsakrings,2010,16618
forsakrings,2011,14700
forsakrings,2012,15510
forsakrings,2013,13322
forsakrings,2014,16788
forsakrings,2015,18381
forsakrings,2016,15704
forsakrings,2017,14059
forsakrings,2018,14134
forsakrings,2019,12948
forsakrings,2020,12499
serviceforetag_fin,2008,470
serviceforetag_fin,2009,406
serviceforetag_fin,2010,627
serviceforetag_fin,2011,612
serviceforetag_fin,2012,602
serviceforetag_fin,2013,474
serviceforetag_fin,2014,540
serviceforetag_fin,2015,2479
serviceforetag_fin,2016,2759
serviceforetag_fin,2017,2249
serviceforetag_fin,2018,2500
serviceforetag_fin,2019,3027
serviceforetag_fin,2020,3287
fastighetsbolag_g,2008,562971
fastighetsbolag_g,2009,523982
fastighetsbolag_g,2010,699734
fastighetsbolag_g,2011,759176
fastighetsbolag_g,2012,728315
fastighetsbolag_g,2013,666046
fastighetsbolag_g,2014,719791
fastighetsbolag_g,2015,949602
fastighetsbolag_g,2016,985210
fastighetsbolag_g,2017,955431
fastighetsbolag_g,2018,1021071
fastighetsbolag_g,2019,986629
fastighetsbolag_g,2020,1018769
juridisk_ek,2008,515
juridisk_ek,2009,791
juridisk_ek,2010,2393
juridisk_ek,2011,2663
juridisk_ek,2012,2050
juridisk_ek,2013,2491
juridisk_ek,2014,2311
juridisk_ek,2015,1090
juridisk_ek,2016,2131
juridisk_ek,2017,1014
juridisk_ek,2018,2418
juridisk_ek,2019,2357
juridisk_ek,2020,1587
arkitekt_tekn,2008,254827
arkitekt_tekn,2009,220265
arkitekt_tekn,2010,341594
arkitekt_tekn,2011,373448
arkitekt_tekn,2012,368069
arkitekt_tekn,2013,328061
arkitekt_tekn,2014,381143
arkitekt_tekn,2015,401173
arkitekt_tekn,2016,388100
arkitekt_tekn,2017,387125
arkitekt_tekn,2018,415960
arkitekt_tekn,2019,366461
arkitekt_tekn,2020,416848
reklam_und,2008,2970
reklam_und,2009,2591
reklam_und,2010,4552
reklam_und,2011,5915
reklam_und,2012,5669
reklam_und,2013,4143
reklam_und,2014,4783
reklam_und,2015,12531
reklam_und,2016,11424
reklam_und,2017,10732
reklam_und,2018,12717
reklam_und,2019,10175
reklam_und,2020,12317
uthyrningsfirmor,2008,31770
uthyrningsfirmor,2009,27287
uthyrningsfirmor,2010,38411
uthyrningsfirmor,2011,40984
uthyrningsfirmor,2012,39285
uthyrningsfirmor,2013,29066
uthyrningsfirmor,2014,32333
uthyrningsfirmor,2015,51437
uthyrningsfirmor,2016,59726
uthyrningsfirmor,2017,57784
uthyrningsfirmor,2018,61798
uthyrningsfirmor,2019,63777
uthyrningsfirmor,2020,66383
arbetsformedling_rese,2008,25345
arbetsformedling_rese,2009,17446
arbetsformedling_rese,2010,32863
arbetsformedling_rese,2011,31471
arbetsformedling_rese,2012,41567
arbetsformedling_rese,2013,23227
arbetsformedling_rese,2014,22256
arbetsformedling_rese,2015,36944
arbetsformedling_rese,2016,44080
arbetsformedling_rese,2017,36314
arbetsformedling_rese,2018,41983
arbetsformedling_rese,2019,30683
arbetsformedling_rese,2020,29078
offentlig_forv,2008,141817
offentlig_forv,2009,125602
offentlig_forv,2010,187497
offentlig_forv,2011,196337
offentlig_forv,2012,207362
offentlig_forv,2013,168644
