sni_id,year,ror_egen_fou
el_gas_avl,2017,760
el_gas_avl,2019,647
el_gas_avl,2021,745
el_gas_avl,2023,909
bygg,2007,
bygg,2009,165
bygg,2011,152
bygg,2013,232
bygg,2015,290
bygg,2017,212
bygg,2019,234
bygg,2021,205
bygg,2023,337
marknadsproduktion_tjan,2007,22566
marknadsproduktion_tjan,2009,19368
marknadsproduktion_tjan,2011,22517
marknadsproduktion_tjan,2013,22893
marknadsproduktion_tjan,2015,26536
marknadsproduktion_tjan,2017,46976
marknadsproduktion_tjan,2019,55854
marknadsproduktion_tjan,2021,61294
marknadsproduktion_tjan,2023,64808
service_motor_hotell,2007,2298
service_motor_hotell,2009,
service_motor_hotell,2011,4615
service_motor_hotell,2013,4912
service_motor_hotell,2015,5498
service_motor_hotell,2017,6358
service_motor_hotell,2019,7261
service_motor_hotell,2021,7068
service_motor_hotell,2023,6568
detaljhandel_ut_mot,2007,
detaljhandel_ut_mot,2009,
detaljhandel_ut_mot,2011,17
detaljhandel_ut_mot,2013,27
detaljhandel_ut_mot,2015,
detaljhandel_ut_mot,2017,40
detaljhandel_ut_mot,2019,50
detaljhandel_ut_mot,2021,
detaljhandel_ut_mot,2023,97
transport_mag,2007,145
transport_mag,2009,124
transport_mag,2011,148
transport_mag,2013,295
transport_mag,2015,298
transport_mag,2017,244
transport_mag,2019,50
transport_mag,2021,138
transport_mag,2023,229
forlagsverksamhet_film,2007,1013
forlagsverksamhet_film,2009,749
forlagsverksamhet_film,2011,702
forlagsverksamhet_film,2013,1092
forlagsverksamhet_film,2015,1843
forlagsverksamhet_film,2017,1748
forlagsverksamhet_film,2019,2126
forlagsverksamhet_film,2021,3543
forlagsverksamhet_film,2023,3004
information_komm,2007,5718
information_komm,2009,4488
information_komm,2011,3290
information_komm,2013,4320
information_komm,2015,5843
information_komm,2017,21574
information_komm,2019,29896
information_komm,2021,33154
information_komm,2023,35831
finans,2007,773
finans,2009,624
finans,2011,
finans,2013,859
finans,2015,1074
finans,2017,1079
finans,2019,1702
finans,2021,2628
finans,2023,2673
fast_uthyr_rese,2007,43
fast_uthyr_rese,2009,23
fast_uthyr_rese,2011,76
fast_uthyr_rese,2013,200
fast_uthyr_rese,2015,357
fast_uthyr_rese,2017,407
fast_uthyr_rese,2019,542
fast_uthyr_rese,2021,411
fast_uthyr_rese,2023,332
juridisk_ek,2007,351
juridisk_ek,2009,
juridisk_ek,2011,222
juridisk_ek,2013,661
juridisk_ek,2015,950
juridisk_ek,2017,689
juridisk_ek,2019,403
juridisk_ek,2021,678
juridisk_ek,2023,562
arkitekt,2007,1261
arkitekt,2009,984
arkitekt,2011,1537
arkitekt,2013,1864
arkitekt,2015,1993
arkitekt,2017,2585
arkitekt,2019,4317
arkitekt,2021,2130
arkitekt,2023,2274
forsknings,2007,11567
forsknings,2009,9313
forsknings,2011,10712
forsknings,2013,8220
forsknings,2015,8891
forsknings,2017,11778
forsknings,2019,10740
forsknings,2021,12966
forsknings,2023,15146
rek_vet_civ_int,2007,410
rek_vet_civ_int,2009,1447
rek_vet_civ_int,2011,
rek_vet_civ_int,2013,1562
rek_vet_civ_int,2015,1634
rek_vet_civ_int,2017,2260
rek_vet_civ_int,2019,943
rek_vet_civ_int,2021,2121
rek_vet_civ_int,2023,1193
