sni_id,year,utsl_ghg
hotell_rest_i,2020,67
hotell_rest_i,2021,68
hotell_rest_i,2022,61
hotell_rest_i,2023,
hushall,2000,
hushall,2001,
hushall,2002,
hushall,2003,
hushall,2004,
hushall,2005,
hushall,2006,
hushall,2007,
hushall,2008,22
hushall,2009,22
hushall,2010,23
hushall,2011,22
hushall,2012,22
hushall,2013,21
hushall,2014,21
hushall,2015,21
hushall,2016,19
hushall,2017,19
hushall,2018,18
hushall,2019,18
hushall,2020,16
hushall,2021,16
hushall,2022,14
hushall,2023,
halso,2000,
halso,2001,
halso,2002,
halso,2003,
halso,2004,
halso,2005,
halso,2006,
halso,2007,
halso,2008,163
halso,2009,152
halso,2010,163
halso,2011,141
halso,2012,137
halso,2013,121
halso,2014,125
halso,2015,127
halso,2016,115
halso,2017,150
halso,2018,122
halso,2019,116
halso,2020,110
halso,2021,105
halso,2022,97
halso,2023,
icke_met_andra,2000,
icke_met_andra,2001,
icke_met_andra,2002,
icke_met_andra,2003,
icke_met_andra,2004,
icke_met_andra,2005,
icke_met_andra,2006,
icke_met_andra,2007,
icke_met_andra,2008,3468
icke_met_andra,2009,2943
icke_met_andra,2010,3339
icke_met_andra,2011,3425
icke_met_andra,2012,3465
icke_met_andra,2013,3157
icke_met_andra,2014,3101
icke_met_andra,2015,3255
icke_met_andra,2016,3338
icke_met_andra,2017,3304
icke_met_andra,2018,3383
icke_met_andra,2019,2931
icke_met_andra,2020,2761
icke_met_andra,2021,2752
icke_met_andra,2022,2647
icke_met_andra,2023,
datorer_elek,2000,
datorer_elek,2001,
datorer_elek,2002,
datorer_elek,2003,
datorer_elek,2004,
datorer_elek,2005,
datorer_elek,2006,
datorer_elek,2007,
datorer_elek,2008,28
datorer_elek,2009,22
datorer_elek,2010,21
datorer_elek,2011,20
datorer_elek,2012,19
datorer_elek,2013,17
datorer_elek,2014,15
datorer_elek,2015,12
datorer_elek,2016,12
datorer_elek,2017,11
datorer_elek,2018,10
datorer_elek,2019,10
datorer_elek,2020,10
datorer_elek,2021,10
datorer_elek,2022,9
datorer_elek,2023,
elapparatur,2000,
elapparatur,2001,
elapparatur,2002,
elapparatur,2003,
elapparatur,2004,
elapparatur,2005,
elapparatur,2006,
elapparatur,2007,
elapparatur,2008,49
elapparatur,2009,60
elapparatur,2010,64
elapparatur,2011,41
elapparatur,2012,35
elapparatur,2013,34
elapparatur,2014,30
elapparatur,2015,33
elapparatur,2016,35
elapparatur,2017,28
elapparatur,2018,27
elapparatur,2019,25
elapparatur,2020,19
elapparatur,2021,21
elapparatur,2022,20
elapparatur,2023,
industri_for_met,2000,
industri_for_met,2001,
industri_for_met,2002,
industri_for_met,2003,
industri_for_met,2004,
industri_for_met,2005,
industri_for_met,2006,
industri_for_met,2007,
industri_for_met,2008,267
industri_for_met,2009,241
industri_for_met,2010,251
industri_for_met,2011,220
industri_for_met,2012,224
industri_for_met,2013,213
industri_for_met,2014,207
industri_for_met,2015,191
industri_for_met,2016,182
industri_for_met,2017,189
industri_for_met,2018,174
industri_for_met,2019,175
industri_for_met,2020,145
industri_for_met,2021,145
industri_for_met,2022,133
industri_for_met,2023,
industri_for_mot,2000,
industri_for_mot,2001,
industri_for_mot,2002,
industri_for_mot,2003,
industri_for_mot,2004,
industri_for_mot,2005,
industri_for_mot,2006,
industri_for_mot,2007,
industri_for_mot,2008,261
industri_for_mot,2009,207
industri_for_mot,2010,240
industri_for_mot,2011,219
industri_for_mot,2012,216
industri_for_mot,2013,223
industri_for_mot,2014,181
industri_for_mot,2015,185
industri_for_mot,2016,154
industri_for_mot,2017,183
industri_for_mot,2018,188
industri_for_mot,2019,174
industri_for_mot,2020,138
industri_for_mot,2021,148
industri_for_mot,2022,126
industri_for_mot,2023,
industri_for_sten,2000,
industri_for_sten,2001,
industri_for_sten,2002,
industri_for_sten,2003,
industri_for_sten,2004,
industri_for_sten,2005,
industri_for_sten,2006,
industri_for_sten,2007,
industri_for_sten,2008,3091
industri_for_sten,2009,3067
industri_for_sten,2010,3015
industri_for_sten,2011,2897
industri_for_sten,2012,3074
industri_for_sten,2013,2658
industri_for_sten,2014,2851
industri_for_sten,2015,2925
industri_for_sten,2016,2861
industri_for_sten,2017,2943
industri_for_sten,2018,3083
industri_for_sten,2019,2474
industri_for_sten,2020,2373
industri_for_sten,2021,2780
industri_for_sten,2022,2687
industri_for_sten,2023,
industri_for_tra,2000,
industri_for_tra,2001,
industri_for_tra,2002,
industri_for_tra,2003,
industri_for_tra,2004,
industri_for_tra,2005,
industri_for_tra,2006,
industri_for_tra,2007,
industri_for_tra,2008,255
industri_for_tra,2009,245
industri_for_tra,2010,255
industri_for_tra,2011,249
industri_for_tra,2012,231
industri_for_tra,2013,213
industri_for_tra,2014,204
industri_for_tra,2015,208
industri_for_tra,2016,280
industri_for_tra,2017,291
industri_for_tra,2018,302
industri_for_tra,2019,304
industri_for_tra,2020,296
industri_for_tra,2021,299
industri_for_tra,2022,286
industri_for_tra,2023,
internationella_org,2000,
internationella_org,2001,
internationella_org,2002,
internationella_org,2003,
internationella_org,2004,
internationella_org,2005,
internationella_org,2006,
internationella_org,2007,
internationella_org,2008,0
internationella_org,2009,0
internationella_org,2010,0
internationella_org,2011,0
internationella_org,2012,0
internationella_org,2013,0
internationella_org,2014,0
internationella_org,2015,0
internationella_org,2016,0
internationella_org,2017,0
internationella_org,2018,0
internationella_org,2019,0
internationella_org,2020,0
internationella_org,2021,0
internationella_org,2022,0
internationella_org,2023,
jordbruksforetag_serv,2000,
jordbruksforetag_serv,2001,
jordbruksforetag_serv,2002,
jordbruksforetag_serv,2003,
jordbruksforetag_serv,2004,
jordbruksforetag_serv,2005,
jordbruksforetag_serv,2006,
jordbruksforetag_serv,2007,
jordbruksforetag_serv,2008,7908
jordbruksforetag_serv,2009,7621
jordbruksforetag_serv,2010,7841
jordbruksforetag_serv,2011,7789
jordbruksforetag_serv,2012,7667
jordbruksforetag_serv,2013,7696
jordbruksforetag_serv,2014,7704
jordbruksforetag_serv,2015,7694
jordbruksforetag_serv,2016,7607
jordbruksforetag_serv,2017,7693
jordbruksforetag_serv,2018,7373
jordbruksforetag_serv,2019,7414
jordbruksforetag_serv,2020,7458
jordbruksforetag_serv,2021,7345
jordbruksforetag_serv,2022,7296
jordbruksforetag_serv,2023,
juridisk_ek,2000,
juridisk_ek,2001,
juridisk_ek,2002,
juridisk_ek,2003,
juridisk_ek,2004,
juridisk_ek,2005,
juridisk_ek,2006,
juridisk_ek,2007,
juridisk_ek,2008,306
juridisk_ek,2009,291
juridisk_ek,2010,285
juridisk_ek,2011,288
juridisk_ek,2012,261
juridisk_ek,2013,253
juridisk_ek,2014,245
juridisk_ek,2015,237
juridisk_ek,2016,222
juridisk_ek,2017,209
juridisk_ek,2018,200
juridisk_ek,2019,202
juridisk_ek,2020,184
juridisk_ek,2021,142
juridisk_ek,2022,125
juridisk_ek,2023,
kultur_noje,2000,
kultur_noje,2001,
kultur_noje,2002,
kultur_noje,2003,
kultur_noje,2004,
kultur_noje,2005,
kultur_noje,2006,
kultur_noje,2007,
kultur_noje,2008,148
kultur_noje,2009,148
kultur_noje,2010,151
kultur_noje,2011,157
kultur_noje,2012,150
kultur_noje,2013,147
kultur_noje,2014,144
kultur_noje,2015,144
kultur_noje,2016,136
kultur_noje,2017,135
kultur_noje,2018,128
kultur_noje,2019,129
kultur_noje,2020,121
kultur_noje,2021,120
kultur_noje,2022,107
kultur_noje,2023,
landtransportforetag_rort,2000,
landtransportforetag_rort,2001,
landtransportforetag_rort,2002,
landtransportforetag_rort,2003,
landtransportforetag_rort,2004,
landtransportforetag_rort,2005,
landtransportforetag_rort,2006,
landtransportforetag_rort,2007,
landtransportforetag_rort,2008,3585
landtransportforetag_rort,2009,3256
landtransportforetag_rort,2010,3359
landtransportforetag_rort,2011,3282
landtransportforetag_rort,2012,2933
landtransportforetag_rort,2013,2691
landtransportforetag_rort,2014,2585
landtransportforetag_rort,2015,2381
landtransportforetag_rort,2016,2124
landtransportforetag_rort,2017,1995
landtransportforetag_rort,2018,1861
landtransportforetag_rort,2019,1810
landtransportforetag_rort,2020,1669
landtransportforetag_rort,2021,1722
landtransportforetag_rort,2022,1813
landtransportforetag_rort,2023,
livsmedel_dryck_tob,2000,
livsmedel_dryck_tob,2001,
livsmedel_dryck_tob,2002,
livsmedel_dryck_tob,2003,
livsmedel_dryck_tob,2004,
livsmedel_dryck_tob,2005,
livsmedel_dryck_tob,2006,
livsmedel_dryck_tob,2007,
livsmedel_dryck_tob,2008,866
livsmedel_dryck_tob,2009,886
livsmedel_dryck_tob,2010,859
livsmedel_dryck_tob,2011,853
livsmedel_dryck_tob,2012,826
livsmedel_dryck_tob,2013,782
livsmedel_dryck_tob,2014,757
livsmedel_dryck_tob,2015,694
livsmedel_dryck_tob,2016,715
livsmedel_dryck_tob,2017,682
livsmedel_dryck_tob,2018,649
livsmedel_dryck_tob,2019,629
livsmedel_dryck_tob,2020,617
livsmedel_dryck_tob,2021,558
livsmedel_dryck_tob,2022,537
livsmedel_dryck_tob,2023,
magasinering,2000,
magasinering,2001,
magasinering,2002,
magasinering,2003,
magasinering,2004,
magasinering,2005,
magasinering,2006,
magasinering,2007,
magasinering,2008,703
magasinering,2009,743
magasinering,2010,700
