sni_id,year,fordonskatt
hotell_rest_i,2014,23
hotell_rest_i,2015,25
hotell_rest_i,2016,33
hotell_rest_i,2017,34
hotell_rest_i,2018,32
hotell_rest_i,2019,36
hotell_rest_i,2020,40
hotell_rest_i,2021,45
hotell_rest_i,2022,40
hotell_rest_i,2023,
forlag,2007,
forlag,2008,6
forlag,2009,6
forlag,2010,6
forlag,2011,5
forlag,2012,5
forlag,2013,4
forlag,2014,2
forlag,2015,3
forlag,2016,5
forlag,2017,4
forlag,2018,4
forlag,2019,4
forlag,2020,5
forlag,2021,5
forlag,2022,4
forlag,2023,
film_vide_j,2007,
film_vide_j,2008,5
film_vide_j,2009,5
film_vide_j,2010,5
film_vide_j,2011,5
film_vide_j,2012,5
film_vide_j,2013,4
film_vide_j,2014,2
film_vide_j,2015,4
film_vide_j,2016,5
film_vide_j,2017,4
film_vide_j,2018,4
film_vide_j,2019,5
film_vide_j,2020,5
film_vide_j,2021,6
film_vide_j,2022,6
film_vide_j,2023,
telekommunikation_j,2007,
telekommunikation_j,2008,11
telekommunikation_j,2009,11
telekommunikation_j,2010,8
telekommunikation_j,2011,8
telekommunikation_j,2012,9
telekommunikation_j,2013,11
telekommunikation_j,2014,7
telekommunikation_j,2015,8
telekommunikation_j,2016,12
telekommunikation_j,2017,12
telekommunikation_j,2018,11
telekommunikation_j,2019,11
telekommunikation_j,2020,12
telekommunikation_j,2021,13
telekommunikation_j,2022,12
telekommunikation_j,2023,
dataprogrammering_data,2007,
dataprogrammering_data,2008,28
dataprogrammering_data,2009,28
dataprogrammering_data,2010,25
dataprogrammering_data,2011,24
dataprogrammering_data,2012,24
dataprogrammering_data,2013,20
dataprogrammering_data,2014,9
dataprogrammering_data,2015,17
dataprogrammering_data,2016,31
dataprogrammering_data,2017,26
dataprogrammering_data,2018,27
dataprogrammering_data,2019,33
dataprogrammering_data,2020,37
dataprogrammering_data,2021,37
dataprogrammering_data,2022,33
dataprogrammering_data,2023,
banker,2007,
banker,2008,17
banker,2009,16
banker,2010,24
banker,2011,23
banker,2012,28
banker,2013,27
banker,2014,14
banker,2015,27
banker,2016,47
banker,2017,40
banker,2018,40
banker,2019,48
banker,2020,59
banker,2021,97
banker,2022,100
banker,2023,
forsakrings,2007,
forsakrings,2008,22
forsakrings,2009,21
forsakrings,2010,13
forsakrings,2011,11
forsakrings,2012,11
forsakrings,2013,10
forsakrings,2014,5
forsakrings,2015,4
forsakrings,2016,3
forsakrings,2017,2
forsakrings,2018,2
forsakrings,2019,2
forsakrings,2020,3
forsakrings,2021,3
forsakrings,2022,3
forsakrings,2023,
serviceforetag_fin,2007,
serviceforetag_fin,2008,8
serviceforetag_fin,2009,11
serviceforetag_fin,2010,3
serviceforetag_fin,2011,3
serviceforetag_fin,2012,3
serviceforetag_fin,2013,2
serviceforetag_fin,2014,1
serviceforetag_fin,2015,3
serviceforetag_fin,2016,6
serviceforetag_fin,2017,5
serviceforetag_fin,2018,5
serviceforetag_fin,2019,5
serviceforetag_fin,2020,7
serviceforetag_fin,2021,7
serviceforetag_fin,2022,7
serviceforetag_fin,2023,
fastighetsbolag_g,2007,
fastighetsbolag_g,2008,58
fastighetsbolag_g,2009,63
fastighetsbolag_g,2010,70
fastighetsbolag_g,2011,64
fastighetsbolag_g,2012,68
fastighetsbolag_g,2013,78
fastighetsbolag_g,2014,52
fastighetsbolag_g,2015,56
fastighetsbolag_g,2016,71
fastighetsbolag_g,2017,70
fastighetsbolag_g,2018,68
fastighetsbolag_g,2019,76
fastighetsbolag_g,2020,85
fastighetsbolag_g,2021,92
fastighetsbolag_g,2022,83
fastighetsbolag_g,2023,
juridisk_ek,2007,
juridisk_ek,2008,93
juridisk_ek,2009,90
juridisk_ek,2010,81
juridisk_ek,2011,77
juridisk_ek,2012,78
juridisk_ek,2013,71
juridisk_ek,2014,36
juridisk_ek,2015,62
juridisk_ek,2016,111
juridisk_ek,2017,92
juridisk_ek,2018,91
juridisk_ek,2019,112
juridisk_ek,2020,139
juridisk_ek,2021,114
juridisk_ek,2022,103
juridisk_ek,2023,
arkitekt_tekn,2007,
arkitekt_tekn,2008,50
arkitekt_tekn,2009,54
arkitekt_tekn,2010,53
arkitekt_tekn,2011,51
arkitekt_tekn,2012,51
arkitekt_tekn,2013,55
arkitekt_tekn,2014,31
arkitekt_tekn,2015,44
arkitekt_tekn,2016,70
arkitekt_tekn,2017,68
arkitekt_tekn,2018,67
arkitekt_tekn,2019,81
arkitekt_tekn,2020,96
arkitekt_tekn,2021,105
arkitekt_tekn,2022,95
arkitekt_tekn,2023,
reklam_und,2007,
reklam_und,2008,26
reklam_und,2009,25
reklam_und,2010,25
reklam_und,2011,24
reklam_und,2012,25
reklam_und,2013,21
reklam_und,2014,11
reklam_und,2015,16
reklam_und,2016,24
reklam_und,2017,23
reklam_und,2018,21
reklam_und,2019,25
reklam_und,2020,29
reklam_und,2021,32
reklam_und,2022,29
reklam_und,2023,
uthyrningsfirmor,2007,
uthyrningsfirmor,2008,95
uthyrningsfirmor,2009,105
uthyrningsfirmor,2010,113
uthyrningsfirmor,2011,112
uthyrningsfirmor,2012,104
uthyrningsfirmor,2013,104
uthyrningsfirmor,2014,62
uthyrningsfirmor,2015,98
uthyrningsfirmor,2016,158
uthyrningsfirmor,2017,151
uthyrningsfirmor,2018,150
uthyrningsfirmor,2019,221
uthyrningsfirmor,2020,274
uthyrningsfirmor,2021,309
uthyrningsfirmor,2022,280
uthyrningsfirmor,2023,
arbetsformedling_rese,2007,
arbetsformedling_rese,2008,68
arbetsformedling_rese,2009,72
arbetsformedling_rese,2010,81
arbetsformedling_rese,2011,80
arbetsformedling_rese,2012,94
arbetsformedling_rese,2013,112
arbetsformedling_rese,2014,72
arbetsformedling_rese,2015,84
arbetsformedling_rese,2016,116
arbetsformedling_rese,2017,115
arbetsformedling_rese,2018,111
arbetsformedling_rese,2019,127
arbetsformedling_rese,2020,144
arbetsformedling_rese,2021,164
arbetsformedling_rese,2022,151
arbetsformedling_rese,2023,
offentlig_forv,2007,
offentlig_forv,2008,11
offentlig_forv,2009,0
offentlig_forv,2010,0
offentlig_forv,2011,0
offentlig_forv,2012,0
offentlig_forv,2013,1
offentlig_forv,2014,0
offentlig_forv,2015,0
offentlig_forv,2016,0
offentlig_forv,2017,33
offentlig_forv,2018,31
offentlig_forv,2019,35
offentlig_forv,2020,42
offentlig_forv,2021,51
offentlig_forv,2022,60
offentlig_forv,2023,
utbildning,2007,
utbildning,2008,26
utbildning,2009,19
utbildning,2010,19
utbildning,2011,17
utbildning,2012,18
utbildning,2013,16
utbildning,2014,9
utbildning,2015,13
utbildning,2016,20
utbildning,2017,40
utbildning,2018,38
utbildning,2019,45
utbildning,2020,52
utbildning,2021,53
utbildning,2022,59
utbildning,2023,
halso,2007,
halso,2008,16
halso,2009,14
halso,2010,13
halso,2011,12
halso,2012,12
halso,2013,8
halso,2014,4
halso,2015,9
halso,2016,16
