sni_id,year,varuexp
kemikalier,2018,89506915
kemikalier,2019,94310047
kemikalier,2020,93704933
kemikalier,2021,117441063
kemikalier,2022,148086216
kemikalier,2023,148211582
bekladnadsindustri,2000,
bekladnadsindustri,2001,
bekladnadsindustri,2002,
bekladnadsindustri,2003,
bekladnadsindustri,2004,
bekladnadsindustri,2005,
bekladnadsindustri,2006,
bekladnadsindustri,2007,
bekladnadsindustri,2008,
bekladnadsindustri,2009,
bekladnadsindustri,2010,10759165
bekladnadsindustri,2011,12074454
bekladnadsindustri,2012,12481168
bekladnadsindustri,2013,12927674
bekladnadsindustri,2014,14080605
bekladnadsindustri,2015,16225558
bekladnadsindustri,2016,15721564
bekladnadsindustri,2017,16465077
bekladnadsindustri,2018,17879459
bekladnadsindustri,2019,22137679
bekladnadsindustri,2020,23874607
bekladnadsindustri,2021,26817869
bekladnadsindustri,2022,32305891
bekladnadsindustri,2023,31951169
enheter_for_konst,2000,
enheter_for_konst,2001,
enheter_for_konst,2002,
enheter_for_konst,2003,
enheter_for_konst,2004,
enheter_for_konst,2005,
enheter_for_konst,2006,
enheter_for_konst,2007,
enheter_for_konst,2008,
enheter_for_konst,2009,
enheter_for_konst,2010,176087
enheter_for_konst,2011,172487
enheter_for_konst,2012,250693
enheter_for_konst,2013,225162
enheter_for_konst,2014,236372
enheter_for_konst,2015,372064
enheter_for_konst,2016,172468
enheter_for_konst,2017,276657
enheter_for_konst,2018,276680
enheter_for_konst,2019,255418
enheter_for_konst,2020,266953
enheter_for_konst,2021,414299
enheter_for_konst,2022,204970
enheter_for_konst,2023,509256
livsmedel,2000,
livsmedel,2001,
livsmedel,2002,
livsmedel,2003,
livsmedel,2004,
livsmedel,2005,
livsmedel,2006,
livsmedel,2007,
livsmedel,2008,
livsmedel,2009,
livsmedel,2010,31375176
livsmedel,2011,32719930
livsmedel,2012,33873744
livsmedel,2013,35506648
livsmedel,2014,36729813
livsmedel,2015,38066149
livsmedel,2016,39407166
livsmedel,2017,42719754
livsmedel,2018,44797886
livsmedel,2019,48352287
livsmedel,2020,50754741
livsmedel,2021,55556221
livsmedel,2022,68604161
livsmedel,2023,75540646
industri_for_lad,2000,
industri_for_lad,2001,
industri_for_lad,2002,
industri_for_lad,2003,
industri_for_lad,2004,
industri_for_lad,2005,
industri_for_lad,2006,
industri_for_lad,2007,
industri_for_lad,2008,
industri_for_lad,2009,
industri_for_lad,2010,3009364
industri_for_lad,2011,3381370
industri_for_lad,2012,3642884
industri_for_lad,2013,3711775
industri_for_lad,2014,3782271
industri_for_lad,2015,4524319
industri_for_lad,2016,4825571
industri_for_lad,2017,5182192
industri_for_lad,2018,5901430
industri_for_lad,2019,7567956
industri_for_lad,2020,8142259
industri_for_lad,2021,8341752
industri_for_lad,2022,9587040
industri_for_lad,2023,9870132
metaller,2000,
metaller,2001,
metaller,2002,
metaller,2003,
metaller,2004,
metaller,2005,
metaller,2006,
metaller,2007,
metaller,2008,
metaller,2009,
metaller,2010,90194838
metaller,2011,100833206
metaller,2012,90710129
metaller,2013,74732839
metaller,2014,76937107
metaller,2015,79419302
metaller,2016,79134069
metaller,2017,92801009
metaller,2018,100887117
metaller,2019,102792653
metaller,2020,93027673
metaller,2021,116868566
metaller,2022,150531487
metaller,2023,149308255
metallmalmer,2000,
metallmalmer,2001,
metallmalmer,2002,
metallmalmer,2003,
metallmalmer,2004,
metallmalmer,2005,
metallmalmer,2006,
metallmalmer,2007,
metallmalmer,2008,
metallmalmer,2009,
metallmalmer,2010,21696239
metallmalmer,2011,26446393
metallmalmer,2012,25706447
metallmalmer,2013,21565183
metallmalmer,2014,22522616
metallmalmer,2015,16973799
metallmalmer,2016,18186908
metallmalmer,2017,25412218
metallmalmer,2018,26775571
metallmalmer,2019,30055844
metallmalmer,2020,32875662
metallmalmer,2021,46210057
metallmalmer,2022,45209696
metallmalmer,2023,39928685
industri_for_met,2000,
industri_for_met,2001,
industri_for_met,2002,
industri_for_met,2003,
industri_for_met,2004,
industri_for_met,2005,
industri_for_met,2006,
industri_for_met,2007,
industri_for_met,2008,
industri_for_met,2009,
industri_for_met,2010,37610262
industri_for_met,2011,37814906
industri_for_met,2012,37378133
industri_for_met,2013,36594570
industri_for_met,2014,37205376
industri_for_met,2015,38349568
industri_for_met,2016,38144546
industri_for_met,2017,40895409
industri_for_met,2018,43428881
industri_for_met,2019,45322356
industri_for_met,2020,42267050
industri_for_met,2021,49493802
industri_for_met,2022,55245777
industri_for_met,2023,58124916
transportmedelsindustri,2000,
transportmedelsindustri,2001,
transportmedelsindustri,2002,
transportmedelsindustri,2003,
transportmedelsindustri,2004,
transportmedelsindustri,2005,
transportmedelsindustri,2006,
transportmedelsindustri,2007,
transportmedelsindustri,2008,
transportmedelsindustri,2009,
transportmedelsindustri,2010,111910790
transportmedelsindustri,2011,141537311
transportmedelsindustri,2012,121946945
transportmedelsindustri,2013,123570025
transportmedelsindustri,2014,120587494
transportmedelsindustri,2015,142956324
transportmedelsindustri,2016,163669127
transportmedelsindustri,2017,194236758
transportmedelsindustri,2018,224728100
transportmedelsindustri,2019,235154024
transportmedelsindustri,2020,200894898
transportmedelsindustri,2021,218668596
transportmedelsindustri,2022,252231836
transportmedelsindustri,2023,324507297
mobelindustri,2000,
mobelindustri,2001,
mobelindustri,2002,
mobelindustri,2003,
mobelindustri,2004,
mobelindustri,2005,
mobelindustri,2006,
mobelindustri,2007,
mobelindustri,2008,
mobelindustri,2009,
mobelindustri,2010,15512621
mobelindustri,2011,16133439
mobelindustri,2012,15812781
mobelindustri,2013,14954303
mobelindustri,2014,15045540
mobelindustri,2015,16273815
mobelindustri,2016,16350037
mobelindustri,2017,17019969
mobelindustri,2018,17737256
mobelindustri,2019,19517412
mobelindustri,2020,18887524
mobelindustri,2021,20249085
mobelindustri,2022,22538995
mobelindustri,2023,22627127
massa_papp,2000,
massa_papp,2001,
massa_papp,2002,
massa_papp,2003,
massa_papp,2004,
massa_papp,2005,
massa_papp,2006,
massa_papp,2007,
massa_papp,2008,
massa_papp,2009,
massa_papp,2010,97290350
massa_papp,2011,97323948
massa_papp,2012,93562698
massa_papp,2013,90597678
massa_papp,2014,92048392
massa_papp,2015,93885206
massa_papp,2016,92462347
massa_papp,2017,96554879
massa_papp,2018,106986898
massa_papp,2019,111176300
massa_papp,2020,103523119
massa_papp,2021,109173531
massa_papp,2022,135589997
massa_papp,2023,133969521
rapetroleum,2000,
rapetroleum,2001,
rapetroleum,2002,
rapetroleum,2003,
rapetroleum,2004,
rapetroleum,2005,
rapetroleum,2006,
rapetroleum,2007,
rapetroleum,2008,
rapetroleum,2009,
rapetroleum,2010,3805
rapetroleum,2011,52877
rapetroleum,2012,155797
rapetroleum,2013,121297
rapetroleum,2014,132326
rapetroleum,2015,147176
rapetroleum,2016,117058
rapetroleum,2017,2959754
rapetroleum,2018,199541
rapetroleum,2019,744442
rapetroleum,2020,434100
rapetroleum,2021,2758278
rapetroleum,2022,445515
rapetroleum,2023,524344
skogsbruksprodukter,2000,
skogsbruksprodukter,2001,
skogsbruksprodukter,2002,
skogsbruksprodukter,2003,
skogsbruksprodukter,2004,
skogsbruksprodukter,2005,
skogsbruksprodukter,2006,
skogsbruksprodukter,2007,
skogsbruksprodukter,2008,
skogsbruksprodukter,2009,
skogsbruksprodukter,2010,916781
skogsbruksprodukter,2011,687907
skogsbruksprodukter,2012,586716
skogsbruksprodukter,2013,571959
skogsbruksprodukter,2014,520031
skogsbruksprodukter,2015,452355
skogsbruksprodukter,2016,451872
skogsbruksprodukter,2017,991271
skogsbruksprodukter,2018,968077
skogsbruksprodukter,2019,982657
skogsbruksprodukter,2020,1023113
skogsbruksprodukter,2021,1381647
skogsbruksprodukter,2022,2178407
skogsbruksprodukter,2023,1586943
kolgruvor,2000,
kolgruvor,2001,
kolgruvor,2002,
kolgruvor,2003,
kolgruvor,2004,
kolgruvor,2005,
kolgruvor,2006,
kolgruvor,2007,
kolgruvor,2008,
kolgruvor,2009,
kolgruvor,2010,2535
kolgruvor,2011,2967
kolgruvor,2012,2448
kolgruvor,2013,2927
kolgruvor,2014,2003
kolgruvor,2015,924
kolgruvor,2016,3
kolgruvor,2017,1234
kolgruvor,2018,2196
kolgruvor,2019,17079
kolgruvor,2020,80
kolgruvor,2021,198
kolgruvor,2022,561
kolgruvor,2023,13271
industri_for_sten,2000,
industri_for_sten,2001,
industri_for_sten,2002,
industri_for_sten,2003,
industri_for_sten,2004,
industri_for_sten,2005,
industri_for_sten,2006,
industri_for_sten,2007,
industri_for_sten,2008,
industri_for_sten,2009,
industri_for_sten,2010,77551340
industri_for_sten,2011,85864084
industri_for_sten,2012,105779501
industri_for_sten,2013,81278696
industri_for_sten,2014,87739976
industri_for_sten,2015,69421647
industri_for_sten,2016,63628283
industri_for_sten,2017,76795348
industri_for_sten,2018,99685048
industri_for_sten,2019,86949653
industri_for_sten,2020,58949560
industri_for_sten,2021,91904645
industri_for_sten,2022,140885907
industri_for_sten,2023,120020070
textilindustri,2000,
textilindustri,2001,
textilindustri,2002,
textilindustri,2003,
textilindustri,2004,
textilindustri,2005,
textilindustri,2006,
textilindustri,2007,
textilindustri,2008,
textilindustri,2009,
textilindustri,2010,6728148
textilindustri,2011,6601169
textilindustri,2012,6567457
textilindustri,2013,6415464
textilindustri,2014,6868367
textilindustri,2015,7605580
