sni_id,year,ghg_utslapp_prod
andra_tran,2012,99842
andra_tran,2013,69015
andra_tran,2014,72061
andra_tran,2015,63857
andra_tran,2016,64117
andra_tran,2017,63568
andra_tran,2018,84312
andra_tran,2019,65593
andra_tran,2020,58106
andra_tran,2021,64156
andra_tran,2022,74882
andra_tran,2023,
tillverkning_mob,2007,
tillverkning_mob,2008,395671
tillverkning_mob,2009,317062
tillverkning_mob,2010,381140
tillverkning_mob,2011,384000
tillverkning_mob,2012,367363
tillverkning_mob,2013,358408
tillverkning_mob,2014,317057
tillverkning_mob,2015,309892
tillverkning_mob,2016,346982
tillverkning_mob,2017,358083
tillverkning_mob,2018,323050
tillverkning_mob,2019,330983
tillverkning_mob,2020,319646
tillverkning_mob,2021,374383
tillverkning_mob,2022,394381
tillverkning_mob,2023,
reparationsverkstader,2007,
reparationsverkstader,2008,177126
reparationsverkstader,2009,155712
reparationsverkstader,2010,164418
reparationsverkstader,2011,177013
reparationsverkstader,2012,172922
reparationsverkstader,2013,165600
reparationsverkstader,2014,157543
reparationsverkstader,2015,167261
reparationsverkstader,2016,185088
reparationsverkstader,2017,175190
reparationsverkstader,2018,175287
reparationsverkstader,2019,168937
reparationsverkstader,2020,160173
reparationsverkstader,2021,178266
reparationsverkstader,2022,176701
reparationsverkstader,2023,
el_gas,2007,
el_gas,2008,20834734
el_gas,2009,17491496
el_gas,2010,21954338
el_gas,2011,20955071
el_gas,2012,18792565
el_gas,2013,20017976
el_gas,2014,17707990
el_gas,2015,15888060
el_gas,2016,16169915
el_gas,2017,14789457
el_gas,2018,15884517
el_gas,2019,13601129
el_gas,2020,13422429
el_gas,2021,15454338
el_gas,2022,16050465
el_gas,2023,
vattenforsorjning_avlo,2007,
vattenforsorjning_avlo,2008,4628809
vattenforsorjning_avlo,2009,4347890
vattenforsorjning_avlo,2010,4910845
vattenforsorjning_avlo,2011,5224237
vattenforsorjning_avlo,2012,4755735
vattenforsorjning_avlo,2013,4568371
vattenforsorjning_avlo,2014,4238486
vattenforsorjning_avlo,2015,4389124
vattenforsorjning_avlo,2016,4185465
vattenforsorjning_avlo,2017,3957374
vattenforsorjning_avlo,2018,3765962
vattenforsorjning_avlo,2019,3573264
vattenforsorjning_avlo,2020,3318156
vattenforsorjning_avlo,2021,3531432
vattenforsorjning_avlo,2022,3714792
vattenforsorjning_avlo,2023,
bygg,2007,
bygg,2008,2282355
bygg,2009,2171726
bygg,2010,2345541
bygg,2011,2411628
bygg,2012,2491552
bygg,2013,2491787
bygg,2014,2288215
bygg,2015,3022482
bygg,2016,3304482
bygg,2017,2961035
bygg,2018,3061818
bygg,2019,2806533
bygg,2020,2646659
bygg,2021,3058051
bygg,2022,2861715
bygg,2023,
hand_g,2007,
hand_g,2008,1691595
hand_g,2009,1611782
hand_g,2010,1742833
hand_g,2011,1719711
hand_g,2012,1620736
hand_g,2013,1644353
hand_g,2014,1516193
hand_g,2015,2129823
hand_g,2016,2170987
hand_g,2017,2117279
hand_g,2018,2070002
hand_g,2019,1989408
hand_g,2020,1883838
hand_g,2021,2105163
hand_g,2022,1917010
hand_g,2023,
landtransportforetag_rort,2007,
landtransportforetag_rort,2008,2898540
landtransportforetag_rort,2009,2459667
landtransportforetag_rort,2010,2738378
landtransportforetag_rort,2011,2851579
landtransportforetag_rort,2012,2547441
landtransportforetag_rort,2013,2552877
landtransportforetag_rort,2014,2379919
landtransportforetag_rort,2015,2265059
landtransportforetag_rort,2016,2146487
landtransportforetag_rort,2017,2053360
landtransportforetag_rort,2018,2043229
landtransportforetag_rort,2019,1923306
landtransportforetag_rort,2020,1674926
landtransportforetag_rort,2021,1742873
landtransportforetag_rort,2022,1656561
landtransportforetag_rort,2023,
rederier,2007,
rederier,2008,3963335
rederier,2009,2760446
rederier,2010,3353468
rederier,2011,3802323
rederier,2012,3598153
rederier,2013,3928625
rederier,2014,3373555
rederier,2015,3747545
rederier,2016,3660199
rederier,2017,3950345
rederier,2018,3709086
rederier,2019,3465264
rederier,2020,3409371
rederier,2021,3471987
rederier,2022,4411687
rederier,2023,
flygbolag,2007,
flygbolag,2008,3420853
flygbolag,2009,2721944
flygbolag,2010,3085370
flygbolag,2011,3456550
flygbolag,2012,3422774
flygbolag,2013,3251936
flygbolag,2014,3008226
flygbolag,2015,3061490
flygbolag,2016,3359713
flygbolag,2017,3406099
flygbolag,2018,3109302
flygbolag,2019,3041782
flygbolag,2020,1588131
flygbolag,2021,1698238
flygbolag,2022,2222734
flygbolag,2023,
magasinering,2007,
magasinering,2008,915932
magasinering,2009,765854
magasinering,2010,697160
magasinering,2011,738625
magasinering,2012,742941
magasinering,2013,714629
magasinering,2014,681764
magasinering,2015,656092
magasinering,2016,648654
magasinering,2017,644421
magasinering,2018,632468
magasinering,2019,618501
magasinering,2020,623009
magasinering,2021,595849
magasinering,2022,581699
magasinering,2023,
hotell_rest_i,2007,
hotell_rest_i,2008,234194
hotell_rest_i,2009,243129
hotell_rest_i,2010,266995
hotell_rest_i,2011,244682
hotell_rest_i,2012,217541
hotell_rest_i,2013,223170
hotell_rest_i,2014,218549
hotell_rest_i,2015,377397
hotell_rest_i,2016,368160
hotell_rest_i,2017,346244
hotell_rest_i,2018,341420
hotell_rest_i,2019,309171
hotell_rest_i,2020,245317
hotell_rest_i,2021,293852
hotell_rest_i,2022,314330
hotell_rest_i,2023,
forlag,2007,
forlag,2008,63834
forlag,2009,60062
forlag,2010,62757
forlag,2011,65453
forlag,2012,62082
forlag,2013,55983
forlag,2014,53293
forlag,2015,50583
forlag,2016,52422
forlag,2017,49019
forlag,2018,46485
forlag,2019,45039
forlag,2020,44969
forlag,2021,57354
forlag,2022,62333
forlag,2023,
film_vide_j,2007,
film_vide_j,2008,20267
film_vide_j,2009,18684
film_vide_j,2010,19951
film_vide_j,2011,19852
film_vide_j,2012,18738
film_vide_j,2013,18765
film_vide_j,2014,19415
film_vide_j,2015,17822
film_vide_j,2016,18295
film_vide_j,2017,16751
film_vide_j,2018,17159
film_vide_j,2019,16528
film_vide_j,2020,17201
film_vide_j,2021,18188
film_vide_j,2022,21701
film_vide_j,2023,
telekommunikation_j,2007,
telekommunikation_j,2008,110403
telekommunikation_j,2009,91336
telekommunikation_j,2010,98360
telekommunikation_j,2011,111233
telekommunikation_j,2012,89285
telekommunikation_j,2013,121233
telekommunikation_j,2014,117317
telekommunikation_j,2015,109754
telekommunikation_j,2016,129890
telekommunikation_j,2017,156467
telekommunikation_j,2018,173866
telekommunikation_j,2019,156441
telekommunikation_j,2020,133442
telekommunikation_j,2021,127974
telekommunikation_j,2022,130482
telekommunikation_j,2023,
dataprogrammering_data,2007,
dataprogrammering_data,2008,230170
dataprogrammering_data,2009,193649
dataprogrammering_data,2010,194543
dataprogrammering_data,2011,228776
dataprogrammering_data,2012,215529
dataprogrammering_data,2013,177241
dataprogrammering_data,2014,174850
dataprogrammering_data,2015,206076
dataprogrammering_data,2016,212082
dataprogrammering_data,2017,231867
dataprogrammering_data,2018,211860
dataprogrammering_data,2019,204183
dataprogrammering_data,2020,212482
dataprogrammering_data,2021,250275
dataprogrammering_data,2022,237150
dataprogrammering_data,2023,
banker,2007,
banker,2008,106189
banker,2009,88969
banker,2010,116829
banker,2011,118875
banker,2012,122126
banker,2013,126594
banker,2014,121286
banker,2015,128705
banker,2016,136109
banker,2017,139781
banker,2018,131994
banker,2019,131903
banker,2020,126245
banker,2021,156984
banker,2022,164402
banker,2023,
forsakrings,2007,
forsakrings,2008,29634
forsakrings,2009,25600
forsakrings,2010,34391
forsakrings,2011,30215
forsakrings,2012,26965
forsakrings,2013,25511
forsakrings,2014,24794
forsakrings,2015,24191
forsakrings,2016,24851
forsakrings,2017,26028
forsakrings,2018,22946
forsakrings,2019,22756
forsakrings,2020,23347
forsakrings,2021,24968
forsakrings,2022,25296
forsakrings,2023,
serviceforetag_fin,2007,
serviceforetag_fin,2008,34116
serviceforetag_fin,2009,31014
serviceforetag_fin,2010,29235
serviceforetag_fin,2011,30619
serviceforetag_fin,2012,27328
serviceforetag_fin,2013,27273
serviceforetag_fin,2014,25976
serviceforetag_fin,2015,26804
serviceforetag_fin,2016,30791
serviceforetag_fin,2017,28781
serviceforetag_fin,2018,27185
serviceforetag_fin,2019,28405
serviceforetag_fin,2020,25492
serviceforetag_fin,2021,27663
serviceforetag_fin,2022,30676
serviceforetag_fin,2023,
fastighetsbolag_g,2007,
fastighetsbolag_g,2008,422758
fastighetsbolag_g,2009,406707
fastighetsbolag_g,2010,458886
fastighetsbolag_g,2011,377406
fastighetsbolag_g,2012,346604
fastighetsbolag_g,2013,324283
fastighetsbolag_g,2014,337934
fastighetsbolag_g,2015,374845
fastighetsbolag_g,2016,365828
fastighetsbolag_g,2017,371742
fastighetsbolag_g,2018,364666
fastighetsbolag_g,2019,341665
fastighetsbolag_g,2020,336529
fastighetsbolag_g,2021,412065
fastighetsbolag_g,2022,363125
fastighetsbolag_g,2023,
juridisk_ek,2007,
juridisk_ek,2008,331577
juridisk_ek,2009,335845
juridisk_ek,2010,346293
juridisk_ek,2011,323669
juridisk_ek,2012,313796
juridisk_ek,2013,348468
juridisk_ek,2014,325157
juridisk_ek,2015,365677
juridisk_ek,2016,378378
juridisk_ek,2017,363682
juridisk_ek,2018,398818
juridisk_ek,2019,354383
juridisk_ek,2020,349474
juridisk_ek,2021,371047
juridisk_ek,2022,349121
juridisk_ek,2023,
arkitekt_tekn,2007,
arkitekt_tekn,2008,493557
arkitekt_tekn,2009,541095
arkitekt_tekn,2010,618085
arkitekt_tekn,2011,537623
arkitekt_tekn,2012,509037
arkitekt_tekn,2013,554910
arkitekt_tekn,2014,528150
arkitekt_tekn,2015,454469
arkitekt_tekn,2016,459700
arkitekt_tekn,2017,424814
arkitekt_tekn,2018,374572
arkitekt_tekn,2019,366760
arkitekt_tekn,2020,335264
arkitekt_tekn,2021,345488
arkitekt_tekn,2022,365196
arkitekt_tekn,2023,
reklam_und,2007,
reklam_und,2008,114093
reklam_und,2009,108248
reklam_und,2010,109628
reklam_und,2011,109913
reklam_und,2012,98696
reklam_und,2013,95957
reklam_und,2014,90889
reklam_und,2015,102351
reklam_und,2016,100036
reklam_und,2017,101394
reklam_und,2018,94702
reklam_und,2019,87084
reklam_und,2020,87038
reklam_und,2021,97739
reklam_und,2022,105404
reklam_und,2023,
uthyrningsfirmor,2007,
uthyrningsfirmor,2008,321505
uthyrningsfirmor,2009,285797
uthyrningsfirmor,2010,308285
uthyrningsfirmor,2011,287213
uthyrningsfirmor,2012,270640
uthyrningsfirmor,2013,315849
uthyrningsfirmor,2014,260480
uthyrningsfirmor,2015,237258
uthyrningsfirmor,2016,256563
uthyrningsfirmor,2017,249764
uthyrningsfirmor,2018,245143
uthyrningsfirmor,2019,231902
uthyrningsfirmor,2020,251759
uthyrningsfirmor,2021,338168
uthyrningsfirmor,2022,301239
uthyrningsfirmor,2023,
arbetsformedling_rese,2007,
arbetsformedling_rese,2008,667743
arbetsformedling_rese,2009,601035
arbetsformedling_rese,2010,660683
arbetsformedling_rese,2011,617320
arbetsformedling_rese,2012,560171
arbetsformedling_rese,2013,551421
arbetsformedling_rese,2014,541269
arbetsformedling_rese,2015,733614
arbetsformedling_rese,2016,756289
arbetsformedling_rese,2017,739049
arbetsformedling_rese,2018,776152
arbetsformedling_rese,2019,672477
arbetsformedling_rese,2020,649808
arbetsformedling_rese,2021,652539
arbetsformedling_rese,2022,625079
arbetsformedling_rese,2023,
offentlig_forv,2007,
offentlig_forv,2008,198909
offentlig_forv,2009,182685
offentlig_forv,2010,196736
offentlig_forv,2011,171132
offentlig_forv,2012,171133
offentlig_forv,2013,139986
offentlig_forv,2014,135962
offentlig_forv,2015,136172
offentlig_forv,2016,133375
offentlig_forv,2017,131057
offentlig_forv,2018,126264
offentlig_forv,2019,138156
offentlig_forv,2020,140227
offentlig_forv,2021,151605
offentlig_forv,2022,147045
offentlig_forv,2023,
utbildning,2007,
utbildning,2008,146672
utbildning,2009,151149
utbildning,2010,156005
utbildning,2011,140748
utbildning,2012,136636
utbildning,2013,133193
utbildning,2014,124089
utbildning,2015,120279
utbildning,2016,112472
utbildning,2017,106260
utbildning,2018,105586
utbildning,2019,109487
utbildning,2020,96822
utbildning,2021,99251
utbildning,2022,86278
utbildning,2023,
halso,2007,
halso,2008,217405
halso,2009,204359
halso,2010,217146
halso,2011,192965
halso,2012,189713
halso,2013,169880
halso,2014,166609
halso,2015,180282
halso,2016,165513
halso,2017,196882
halso,2018,168018
halso,2019,159691
halso,2020,151144
halso,2021,156976
halso,2022,145379
halso,2023,
vard,2007,
vard,2008,231535
vard,2009,224395
vard,2010,230509
vard,2011,232565
vard,2012,229409
vard,2013,218948
vard,2014,215220
vard,2015,215987
vard,2016,213961
vard,2017,207616
vard,2018,199602
vard,2019,197170
vard,2020,194533
vard,2021,194912
vard,2022,182124
vard,2023,
kultur_noje,2007,
kultur_noje,2008,153366
kultur_noje,2009,149506
kultur_noje,2010,154822
kultur_noje,2011,161406
kultur_noje,2012,161633
kultur_noje,2013,155305
kultur_noje,2014,143307
kultur_noje,2015,141737
kultur_noje,2016,140373
kultur_noje,2017,135844
kultur_noje,2018,131014
kultur_noje,2019,134153
kultur_noje,2020,132136
kultur_noje,2021,129508
kultur_noje,2022,129211
kultur_noje,2023,
annan_serv,2007,
annan_serv,2008,169728
annan_serv,2009,163711
annan_serv,2010,176325
annan_serv,2011,182207
annan_serv,2012,164466
annan_serv,2013,158714
annan_serv,2014,160456
annan_serv,2015,138500
annan_serv,2016,138091
annan_serv,2017,133713
annan_serv,2018,132182
annan_serv,2019,128218
annan_serv,2020,128864
annan_serv,2021,131354
annan_serv,2022,123527
annan_serv,2023,
totalt_tota,2007,
totalt_tota,2008,98731364
totalt_tota,2009,81589860
totalt_tota,2010,94682595
totalt_tota,2011,100791101
totalt_tota,2012,92736312
totalt_tota,2013,92890149
totalt_tota,2014,86808248
totalt_tota,2015,85490421
totalt_tota,2016,86550763
totalt_tota,2017,84463584
totalt_tota,2018,86232438
totalt_tota,2019,80760267
totalt_tota,2020,72078623
totalt_tota,2021,77331319
totalt_tota,2022,80927696
totalt_tota,2023,
