sni_id,year,trangselskatt
dataprogrammering_data,2012,12
dataprogrammering_data,2013,22
dataprogrammering_data,2014,19
dataprogrammering_data,2015,21
dataprogrammering_data,2016,28
dataprogrammering_data,2017,31
dataprogrammering_data,2018,31
dataprogrammering_data,2019,24
dataprogrammering_data,2020,26
dataprogrammering_data,2021,22
dataprogrammering_data,2022,20
dataprogrammering_data,2023,
banker,2007,
banker,2008,16
banker,2009,18
banker,2010,18
banker,2011,18
banker,2012,19
banker,2013,34
banker,2014,30
banker,2015,33
banker,2016,43
banker,2017,48
banker,2018,45
banker,2019,35
banker,2020,43
banker,2021,56
banker,2022,62
banker,2023,
forsakrings,2007,
forsakrings,2008,2
forsakrings,2009,2
forsakrings,2010,2
forsakrings,2011,2
forsakrings,2012,2
forsakrings,2013,3
forsakrings,2014,3
forsakrings,2015,3
forsakrings,2016,4
forsakrings,2017,5
forsakrings,2018,4
forsakrings,2019,3
forsakrings,2020,3
forsakrings,2021,2
forsakrings,2022,3
forsakrings,2023,
serviceforetag_fin,2007,
serviceforetag_fin,2008,2
serviceforetag_fin,2009,2
serviceforetag_fin,2010,2
serviceforetag_fin,2011,2
serviceforetag_fin,2012,2
serviceforetag_fin,2013,3
serviceforetag_fin,2014,3
serviceforetag_fin,2015,3
serviceforetag_fin,2016,4
serviceforetag_fin,2017,5
serviceforetag_fin,2018,5
serviceforetag_fin,2019,4
serviceforetag_fin,2020,5
serviceforetag_fin,2021,4
serviceforetag_fin,2022,4
serviceforetag_fin,2023,
fastighetsbolag_g,2007,
fastighetsbolag_g,2008,9
fastighetsbolag_g,2009,10
fastighetsbolag_g,2010,10
fastighetsbolag_g,2011,10
fastighetsbolag_g,2012,10
fastighetsbolag_g,2013,19
fastighetsbolag_g,2014,17
fastighetsbolag_g,2015,19
fastighetsbolag_g,2016,24
fastighetsbolag_g,2017,27
fastighetsbolag_g,2018,28
fastighetsbolag_g,2019,22
fastighetsbolag_g,2020,29
fastighetsbolag_g,2021,28
fastighetsbolag_g,2022,26
fastighetsbolag_g,2023,
juridisk_ek,2007,
juridisk_ek,2008,33
juridisk_ek,2009,37
juridisk_ek,2010,37
juridisk_ek,2011,38
juridisk_ek,2012,38
juridisk_ek,2013,70
juridisk_ek,2014,62
juridisk_ek,2015,67
juridisk_ek,2016,88
juridisk_ek,2017,98
juridisk_ek,2018,95
juridisk_ek,2019,74
juridisk_ek,2020,89
juridisk_ek,2021,62
juridisk_ek,2022,56
juridisk_ek,2023,
arkitekt_tekn,2007,
arkitekt_tekn,2008,15
arkitekt_tekn,2009,17
arkitekt_tekn,2010,17
arkitekt_tekn,2011,17
arkitekt_tekn,2012,17
arkitekt_tekn,2013,32
arkitekt_tekn,2014,28
arkitekt_tekn,2015,31
arkitekt_tekn,2016,40
arkitekt_tekn,2017,44
arkitekt_tekn,2018,46
arkitekt_tekn,2019,37
arkitekt_tekn,2020,48
arkitekt_tekn,2021,44
arkitekt_tekn,2022,40
arkitekt_tekn,2023,
reklam_und,2007,
reklam_und,2008,6
reklam_und,2009,6
reklam_und,2010,7
reklam_und,2011,7
reklam_und,2012,7
reklam_und,2013,12
reklam_und,2014,11
reklam_und,2015,12
reklam_und,2016,15
reklam_und,2017,17
reklam_und,2018,17
reklam_und,2019,13
reklam_und,2020,17
reklam_und,2021,15
reklam_und,2022,14
reklam_und,2023,
uthyrningsfirmor,2007,
uthyrningsfirmor,2008,36
uthyrningsfirmor,2009,40
uthyrningsfirmor,2010,41
uthyrningsfirmor,2011,41
uthyrningsfirmor,2012,42
uthyrningsfirmor,2013,77
uthyrningsfirmor,2014,67
uthyrningsfirmor,2015,74
uthyrningsfirmor,2016,96
uthyrningsfirmor,2017,107
uthyrningsfirmor,2018,109
uthyrningsfirmor,2019,90
uthyrningsfirmor,2020,116
uthyrningsfirmor,2021,112
uthyrningsfirmor,2022,101
uthyrningsfirmor,2023,
arbetsformedling_rese,2007,
arbetsformedling_rese,2008,20
arbetsformedling_rese,2009,23
arbetsformedling_rese,2010,23
arbetsformedling_rese,2011,23
arbetsformedling_rese,2012,24
arbetsformedling_rese,2013,44
arbetsformedling_rese,2014,38
arbetsformedling_rese,2015,42
arbetsformedling_rese,2016,55
arbetsformedling_rese,2017,61
arbetsformedling_rese,2018,62
arbetsformedling_rese,2019,52
arbetsformedling_rese,2020,69
arbetsformedling_rese,2021,69
arbetsformedling_rese,2022,64
arbetsformedling_rese,2023,
offentlig_forv,2007,
offentlig_forv,2008,2
offentlig_forv,2009,2
offentlig_forv,2010,2
offentlig_forv,2011,2
offentlig_forv,2012,2
offentlig_forv,2013,3
offentlig_forv,2014,3
offentlig_forv,2015,3
offentlig_forv,2016,4
offentlig_forv,2017,5
offentlig_forv,2018,4
offentlig_forv,2019,22
offentlig_forv,2020,0
offentlig_forv,2021,4
offentlig_forv,2022,4
offentlig_forv,2023,
utbildning,2007,
utbildning,2008,3
utbildning,2009,3
utbildning,2010,3
utbildning,2011,3
utbildning,2012,3
utbildning,2013,6
utbildning,2014,5
utbildning,2015,6
utbildning,2016,7
utbildning,2017,8
utbildning,2018,8
utbildning,2019,12
utbildning,2020,9
utbildning,2021,9
utbildning,2022,9
utbildning,2023,
halso,2007,
halso,2008,3
halso,2009,4
halso,2010,4
halso,2011,4
halso,2012,4
halso,2013,7
halso,2014,6
halso,2015,7
halso,2016,9
halso,2017,10
halso,2018,10
