sni_id,year,koldi_skatt
magasinering,2014,658
magasinering,2015,679
magasinering,2016,622
magasinering,2017,620
magasinering,2018,558
magasinering,2019,544
magasinering,2020,541
magasinering,2021,605.321474706539
magasinering,2022,546.010689313153
magasinering,2023,
massa_papp_graf,2000,
massa_papp_graf,2001,
massa_papp_graf,2002,
massa_papp_graf,2003,
massa_papp_graf,2004,
massa_papp_graf,2005,
massa_papp_graf,2006,
massa_papp_graf,2007,
massa_papp_graf,2008,244
massa_papp_graf,2009,228
massa_papp_graf,2010,241
massa_papp_graf,2011,202
massa_papp_graf,2012,205
massa_papp_graf,2013,184
massa_papp_graf,2014,175
massa_papp_graf,2015,208
massa_papp_graf,2016,260
massa_papp_graf,2017,273
massa_papp_graf,2018,320
massa_papp_graf,2019,316
massa_papp_graf,2020,301
massa_papp_graf,2021,335.200192089318
massa_papp_graf,2022,316.076539876193
massa_papp_graf,2023,
offentlig_forv,2000,
offentlig_forv,2001,
offentlig_forv,2002,
offentlig_forv,2003,
offentlig_forv,2004,
offentlig_forv,2005,
offentlig_forv,2006,
offentlig_forv,2007,
offentlig_forv,2008,580
offentlig_forv,2009,569
offentlig_forv,2010,602
offentlig_forv,2011,508
offentlig_forv,2012,544
offentlig_forv,2013,465
offentlig_forv,2014,431
offentlig_forv,2015,437
offentlig_forv,2016,424
offentlig_forv,2017,414
offentlig_forv,2018,410
offentlig_forv,2019,449
offentlig_forv,2020,438
offentlig_forv,2021,454.717973753247
offentlig_forv,2022,410.192931931844
offentlig_forv,2023,
rederier,2000,
rederier,2001,
rederier,2002,
rederier,2003,
rederier,2004,
rederier,2005,
rederier,2006,
rederier,2007,
rederier,2008,72
rederier,2009,71
rederier,2010,78
rederier,2011,114
rederier,2012,126
rederier,2013,112
rederier,2014,106
rederier,2015,108
rederier,2016,109
rederier,2017,107
rederier,2018,109
rederier,2019,93
rederier,2020,95
rederier,2021,106.980771149455
rederier,2022,96.4985500091256
rederier,2023,
reklam_und,2000,
reklam_und,2001,
reklam_und,2002,
reklam_und,2003,
reklam_und,2004,
reklam_und,2005,
reklam_und,2006,
reklam_und,2007,
reklam_und,2008,90
reklam_und,2009,94
reklam_und,2010,94
reklam_und,2011,92
reklam_und,2012,89
reklam_und,2013,83
reklam_und,2014,80
reklam_und,2015,82
reklam_und,2016,77
reklam_und,2017,75
reklam_und,2018,71
reklam_und,2019,67
reklam_und,2020,62
reklam_und,2021,61.4135287017615
reklam_und,2022,55.3960904094117
reklam_und,2023,
reparationsverkstader,2000,
reparationsverkstader,2001,
reparationsverkstader,2002,
reparationsverkstader,2003,
reparationsverkstader,2004,
reparationsverkstader,2005,
reparationsverkstader,2006,
reparationsverkstader,2007,
reparationsverkstader,2008,71
reparationsverkstader,2009,71
reparationsverkstader,2010,77
reparationsverkstader,2011,76
reparationsverkstader,2012,80
reparationsverkstader,2013,78
reparationsverkstader,2014,73
reparationsverkstader,2015,75
reparationsverkstader,2016,77
reparationsverkstader,2017,75
reparationsverkstader,2018,68
reparationsverkstader,2019,64
reparationsverkstader,2020,66
reparationsverkstader,2021,69.4983451259697
reparationsverkstader,2022,68.9116835500246
reparationsverkstader,2023,
serviceforetag_fin,2000,
serviceforetag_fin,2001,
serviceforetag_fin,2002,
serviceforetag_fin,2003,
serviceforetag_fin,2004,
serviceforetag_fin,2005,
serviceforetag_fin,2006,
serviceforetag_fin,2007,
serviceforetag_fin,2008,19
serviceforetag_fin,2009,30
serviceforetag_fin,2010,13
serviceforetag_fin,2011,10
serviceforetag_fin,2012,10
serviceforetag_fin,2013,10
serviceforetag_fin,2014,9
serviceforetag_fin,2015,9
serviceforetag_fin,2016,9
serviceforetag_fin,2017,9
serviceforetag_fin,2018,8
serviceforetag_fin,2019,7
serviceforetag_fin,2020,7
serviceforetag_fin,2021,6.39901398420758
serviceforetag_fin,2022,6.15701248934758
serviceforetag_fin,2023,
skogsbruksforetag,2000,
skogsbruksforetag,2001,
skogsbruksforetag,2002,
skogsbruksforetag,2003,
skogsbruksforetag,2004,
skogsbruksforetag,2005,
skogsbruksforetag,2006,
skogsbruksforetag,2007,
skogsbruksforetag,2008,594
skogsbruksforetag,2009,630
skogsbruksforetag,2010,628
skogsbruksforetag,2011,709
skogsbruksforetag,2012,728
skogsbruksforetag,2013,751
skogsbruksforetag,2014,736
skogsbruksforetag,2015,895
skogsbruksforetag,2016,714
skogsbruksforetag,2017,696
skogsbruksforetag,2018,639
skogsbruksforetag,2019,573
skogsbruksforetag,2020,460
skogsbruksforetag,2021,477.498575062434
skogsbruksforetag,2022,451.632872130446
skogsbruksforetag,2023,
metaller,2000,
metaller,2001,
metaller,2002,
metaller,2003,
metaller,2004,
metaller,2005,
metaller,2006,
metaller,2007,
metaller,2008,218
metaller,2009,194
metaller,2010,230
metaller,2011,239
metaller,2012,240
metaller,2013,189
metaller,2014,193
metaller,2015,271
metaller,2016,341
metaller,2017,381
metaller,2018,515
metaller,2019,550
metaller,2020,519
metaller,2021,609.891571805578
metaller,2022,650.231324374171
metaller,2023,
telekommunikation_j,2000,
telekommunikation_j,2001,
telekommunikation_j,2002,
telekommunikation_j,2003,
telekommunikation_j,2004,
telekommunikation_j,2005,
telekommunikation_j,2006,
telekommunikation_j,2007,
telekommunikation_j,2008,40
telekommunikation_j,2009,35
telekommunikation_j,2010,34
telekommunikation_j,2011,33
telekommunikation_j,2012,28
telekommunikation_j,2013,26
telekommunikation_j,2014,25
telekommunikation_j,2015,23
telekommunikation_j,2016,22
telekommunikation_j,2017,20
telekommunikation_j,2018,20
telekommunikation_j,2019,19
telekommunikation_j,2020,19
telekommunikation_j,2021,19.5409522614065
telekommunikation_j,2022,17.6262849740439
telekommunikation_j,2023,
industri_for_bas,2000,
industri_for_bas,2001,
industri_for_bas,2002,
industri_for_bas,2003,
industri_for_bas,2004,
industri_for_bas,2005,
industri_for_bas,2006,
industri_for_bas,2007,
industri_for_bas,2008,123
industri_for_bas,2009,113
industri_for_bas,2010,126
industri_for_bas,2011,151
industri_for_bas,2012,149
industri_for_bas,2013,44
industri_for_bas,2014,42
industri_for_bas,2015,42
industri_for_bas,2016,52
industri_for_bas,2017,49
industri_for_bas,2018,58
industri_for_bas,2019,61
industri_for_bas,2020,66
industri_for_bas,2021,74.3714312145591
industri_for_bas,2022,73.9824102756939
industri_for_bas,2023,
tillverkning_mob,2000,
tillverkning_mob,2001,
tillverkning_mob,2002,
tillverkning_mob,2003,
tillverkning_mob,2004,
tillverkning_mob,2005,
tillverkning_mob,2006,
tillverkning_mob,2007,
tillverkning_mob,2008,54
tillverkning_mob,2009,50
tillverkning_mob,2010,54
tillverkning_mob,2011,51
tillverkning_mob,2012,51
tillverkning_mob,2013,48
tillverkning_mob,2014,47
tillverkning_mob,2015,48
tillverkning_mob,2016,46
tillverkning_mob,2017,44
tillverkning_mob,2018,41
tillverkning_mob,2019,40
tillverkning_mob,2020,36
tillverkning_mob,2021,40.4212573312148
tillverkning_mob,2022,36.4204418203526
tillverkning_mob,2023,
tillverkning_avt,2000,
tillverkning_avt,2001,
tillverkning_avt,2002,
tillverkning_avt,2003,
tillverkning_avt,2004,
tillverkning_avt,2005,
tillverkning_avt,2006,
tillverkning_avt,2007,
tillverkning_avt,2008,24
tillverkning_avt,2009,23
tillverkning_avt,2010,24
tillverkning_avt,2011,24
tillverkning_avt,2012,24
tillverkning_avt,2013,22
tillverkning_avt,2014,23
tillverkning_avt,2015,24
tillverkning_avt,2016,27
tillverkning_avt,2017,25
tillverkning_avt,2018,23
tillverkning_avt,2019,23
tillverkning_avt,2020,21
tillverkning_avt,2021,21.7369678799285
tillverkning_avt,2022,26.0255515379676
tillverkning_avt,2023,
totalt_tota,2000,
totalt_tota,2001,
totalt_tota,2002,
totalt_tota,2003,
totalt_tota,2004,
totalt_tota,2005,
totalt_tota,2006,
totalt_tota,2007,
totalt_tota,2008,14353
totalt_tota,2009,14368
totalt_tota,2010,15503
