sni_id,year,utsl_koldi
fisk,2012,123.182181168031
fisk,2013,120.805194659975
fisk,2014,117.185485342455
fisk,2015,113.44680592268
fisk,2016,108.004829199063
fisk,2017,100.755004174718
fisk,2018,94.9766569572932
fisk,2019,90.0632949680113
fisk,2020,86.2693533176629
fisk,2021,87.5261184566497
fisk,2022,86.7504389372953
fisk,2023,
flygbolag,2000,
flygbolag,2001,
flygbolag,2002,
flygbolag,2003,
flygbolag,2004,
flygbolag,2005,
flygbolag,2006,
flygbolag,2007,
flygbolag,2008,2280.84155192327
flygbolag,2009,1931.4529971242
flygbolag,2010,1933.22737085038
flygbolag,2011,2092.96767344373
flygbolag,2012,2007.38651180158
flygbolag,2013,2059.96894701554
flygbolag,2014,2091.95372780689
flygbolag,2015,2071.26428119666
flygbolag,2016,2511.14804197866
flygbolag,2017,2573.80915124594
flygbolag,2018,2444.52323663264
flygbolag,2019,2328.6110112359
flygbolag,2020,896.855106045611
flygbolag,2021,1070.06403267592
flygbolag,2022,1822.81447184644
flygbolag,2023,
forlag,2000,
forlag,2001,
forlag,2002,
forlag,2003,
forlag,2004,
forlag,2005,
forlag,2006,
forlag,2007,
forlag,2008,18.8635680481835
forlag,2009,18.6630363666937
forlag,2010,18.5256038826118
forlag,2011,16.9911207174294
forlag,2012,15.5963157652016
forlag,2013,14.6610526812737
forlag,2014,12.813797866395
forlag,2015,11.5800786041409
forlag,2016,10.2385511268144
forlag,2017,9.7549397081573
forlag,2018,9.30546657164102
forlag,2019,8.62031190809043
forlag,2020,7.59734751374705
forlag,2021,7.16997945312293
forlag,2022,6.22777283580603
forlag,2023,
forsakrings,2000,
forsakrings,2001,
forsakrings,2002,
forsakrings,2003,
forsakrings,2004,
forsakrings,2005,
forsakrings,2006,
forsakrings,2007,
forsakrings,2008,12.2500911366102
forsakrings,2009,12.4991227694176
forsakrings,2010,17.6618556347792
forsakrings,2011,11.1383946943793
forsakrings,2012,10.185197587238
forsakrings,2013,9.61320945740104
forsakrings,2014,9.7055434651892
forsakrings,2015,8.77675322202614
forsakrings,2016,8.86268513671668
forsakrings,2017,8.62871875114754
forsakrings,2018,6.57969169471512
forsakrings,2019,5.19130348723139
forsakrings,2020,5.01603234224126
forsakrings,2021,4.73170009119464
forsakrings,2022,4.19897925928558
forsakrings,2023,
gummi,2000,
gummi,2001,
gummi,2002,
gummi,2003,
gummi,2004,
gummi,2005,
gummi,2006,
gummi,2007,
gummi,2008,107.514524936454
gummi,2009,105.278100332648
gummi,2010,125.597998797744
gummi,2011,99.3882532735614
gummi,2012,88.2656888553978
gummi,2013,82.4187109649229
gummi,2014,79.0090135996659
gummi,2015,78.9171461542208
gummi,2016,76.6899365216435
gummi,2017,69.0392486179567
gummi,2018,66.3058304763197
gummi,2019,69.1513870761362
gummi,2020,72.1129432980374
