country,year,arbk_med
gmi_pls,2004,
gmi_pls,2005,
gmi_pls,2006,
gmi_pls,2007,
gmi_pls,2008,22.3
gmi_pls,2009,19.9
gmi_pls,2010,20.9
gmi_pls,2011,21
gmi_pls,2012,20.3
gmi_pls,2013,19.7
gmi_pls,2014,19.6
gmi_pls,2015,19.3
gmi_pls,2016,19
gmi_pls,2017,19.3
gmi_pls,2018,20.9
gmi_pls,2019,20.1
gmi_pls,2020,19.5
gmi_pls,2021,19.8
gmi_pls,2022,19.9
gmi_pls,2023,
gmi_plst,2003,
gmi_plst,2004,
gmi_plst,2005,
gmi_plst,2006,
gmi_plst,2007,
gmi_plst,2008,40.9
gmi_plst,2009,37.1
gmi_plst,2010,38.2
gmi_plst,2011,39.5
gmi_plst,2012,39.1
gmi_plst,2013,38.2
gmi_plst,2014,37
gmi_plst,2015,36.9
gmi_plst,2016,36.9
gmi_plst,2017,38.1
gmi_plst,2018,40
gmi_plst,2019,38.8
gmi_plst,2020,38.1
gmi_plst,2021,38.4
gmi_plst,2022,38.9
gmi_plst,2023,
ind_min,2003,
ind_min,2004,
ind_min,2005,
ind_min,2006,
ind_min,2007,
ind_min,2008,18.6
ind_min,2009,17.2
ind_min,2010,17.3
ind_min,2011,18.5
ind_min,2012,18.8
ind_min,2013,18.5
ind_min,2014,17.4
ind_min,2015,17.6
ind_min,2016,17.9
ind_min,2017,18.8
ind_min,2018,19.1
ind_min,2019,18.7
ind_min,2020,18.6
ind_min,2021,18.6
ind_min,2022,19
ind_min,2023,
stl_met,2003,
stl_met,2004,
stl_met,2005,
stl_met,2006,
stl_met,2007,
stl_met,2008,35.8
stl_met,2009,31.2
stl_met,2010,32.1
stl_met,2011,33.4
stl_met,2012,31.6
stl_met,2013,30.2
stl_met,2014,29.9
stl_met,2015,29.4
stl_met,2016,28
stl_met,2017,28.5
stl_met,2018,28.4
stl_met,2019,28
stl_met,2020,26.9
stl_met,2021,26.7
stl_met,2022,27.3
stl_met,2023,
stl_mtl,2003,
stl_mtl,2004,
stl_mtl,2005,
stl_mtl,2006,
stl_mtl,2007,
stl_mtl,2008,118
stl_mtl,2009,104.5
stl_mtl,2010,103.1
stl_mtl,2011,106
stl_mtl,2012,105.5
stl_mtl,2013,102.4
stl_mtl,2014,101.8
stl_mtl,2015,99.8
stl_mtl,2016,97
stl_mtl,2017,98.5
stl_mtl,2018,99.7
stl_mtl,2019,99.7
stl_mtl,2020,95.8
stl_mtl,2021,95.9
stl_mtl,2022,98.1
stl_mtl,2023,
ind_met_,2003,
ind_met_,2004,
ind_met_,2005,
ind_met_,2006,
ind_met_,2007,
ind_met_,2008,82.2
ind_met_,2009,73.3
ind_met_,2010,71
ind_met_,2011,72.6
ind_met_,2012,73.9
ind_met_,2013,72.2
ind_met_,2014,71.9
ind_met_,2015,70.4
ind_met_,2016,69
ind_met_,2017,70
ind_met_,2018,71.3
ind_met_,2019,71.7
ind_met_,2020,68.9
ind_met_,2021,69.2
ind_met_,2022,70.8
ind_met_,2023,
ind_dat_ejel,2003,
ind_dat_ejel,2004,
ind_dat_ejel,2005,
ind_dat_ejel,2006,
ind_dat_ejel,2007,
ind_dat_ejel,2008,25.1
ind_dat_ejel,2009,26.2
ind_dat_ejel,2010,25
ind_dat_ejel,2011,24.3
ind_dat_ejel,2012,25
ind_dat_ejel,2013,26
ind_dat_ejel,2014,25
ind_dat_ejel,2015,18.7
ind_dat_ejel,2016,17.2
ind_dat_ejel,2017,16.4
ind_dat_ejel,2018,18.3
ind_dat_ejel,2019,19.9
ind_dat_ejel,2020,19.5
ind_dat_ejel,2021,19.8
ind_dat_ejel,2022,20.3
ind_dat_ejel,2023,
ind_elap,2003,
ind_elap,2004,
ind_elap,2005,
ind_elap,2006,
ind_elap,2007,
ind_elap,2008,27.6
ind_elap,2009,25.5
ind_elap,2010,24.9
ind_elap,2011,24.9
ind_elap,2012,24.6
ind_elap,2013,23.7
ind_elap,2014,24
ind_elap,2015,22.9
ind_elap,2016,21.4
ind_elap,2017,21.4
ind_elap,2018,21.6
ind_elap,2019,21.8
ind_elap,2020,22
ind_elap,2021,22.9
ind_elap,2022,24.9
ind_elap,2023,
elap,2003,
elap,2004,
elap,2005,
elap,2006,
elap,2007,
elap,2008,87.7
elap,2009,75.8
elap,2010,74.4
elap,2011,76.4
elap,2012,74.8
elap,2013,72.9
elap,2014,69.6
elap,2015,68.5
elap,2016,67.1
elap,2017,68.7
elap,2018,70.9
elap,2019,72.7
elap,2020,72.5
elap,2021,72.8
elap,2022,76.8
elap,2023,
ind_mot_vag,2003,
ind_mot_vag,2004,
ind_mot_vag,2005,
ind_mot_vag,2006,
ind_mot_vag,2007,
ind_mot_vag,2008,79.7
ind_mot_vag,2009,63.9
ind_mot_vag,2010,63.3
ind_mot_vag,2011,68.1
ind_mot_vag,2012,64.2
ind_mot_vag,2013,64.6
ind_mot_vag,2014,66.2
ind_mot_vag,2015,66.4
ind_mot_vag,2016,68.5
ind_mot_vag,2017,74.5
ind_mot_vag,2018,80.2
ind_mot_vag,2019,77.5
ind_mot_vag,2020,74.2
ind_mot_vag,2021,75.4
ind_mot_vag,2022,77.4
ind_mot_vag,2023,
ann_transp,2003,
ann_transp,2004,
ann_transp,2005,
ann_transp,2006,
ann_transp,2007,
ann_transp,2008,15.2
ann_transp,2009,15.6
ann_transp,2010,14.8
ann_transp,2011,14.6
ann_transp,2012,14.7
ann_transp,2013,14.9
ann_transp,2014,15
ann_transp,2015,15.5
ann_transp,2016,14.8
ann_transp,2017,15.4
ann_transp,2018,14.4
ann_transp,2019,14.7
ann_transp,2020,15.3
ann_transp,2021,15.4
ann_transp,2022,16
ann_transp,2023,
tilv_mob,2003,
tilv_mob,2004,
tilv_mob,2005,
tilv_mob,2006,
tilv_mob,2007,
tilv_mob,2008,30.9
tilv_mob,2009,29.2
tilv_mob,2010,28.8
tilv_mob,2011,29.1
tilv_mob,2012,28.4
tilv_mob,2013,26.4
tilv_mob,2014,26.5
tilv_mob,2015,25.9
tilv_mob,2016,25.1
tilv_mob,2017,24.5
tilv_mob,2018,24.2
tilv_mob,2019,24.1
tilv_mob,2020,23.6
tilv_mob,2021,23.6
tilv_mob,2022,24.4
tilv_mob,2023,
tilv_mbler,2003,
tilv_mbler,2004,
tilv_mbler,2005,
tilv_mbler,2006,
tilv_mbler,2007,
tilv_mbler,2008,51.9
tilv_mbler,2009,48.6
tilv_mbler,2010,46.9
tilv_mbler,2011,48.1
tilv_mbler,2012,48
tilv_mbler,2013,45.1
tilv_mbler,2014,44.8
tilv_mbler,2015,44
tilv_mbler,2016,43.3
tilv_mbler,2017,42.9
tilv_mbler,2018,43.2
tilv_mbler,2019,42.9
tilv_mbler,2020,42.5
tilv_mbler,2021,42.6
tilv_mbler,2022,43.9
tilv_mbler,2023,
rep_inst,2003,
rep_inst,2004,
rep_inst,2005,
rep_inst,2006,
rep_inst,2007,
rep_inst,2008,21
rep_inst,2009,19.4
rep_inst,2010,18.1
rep_inst,2011,19
rep_inst,2012,19.6
rep_inst,2013,18.7
rep_inst,2014,18.3
rep_inst,2015,18.1
rep_inst,2016,18.2
rep_inst,2017,18.4
rep_inst,2018,19
rep_inst,2019,18.8
rep_inst,2020,18.9
rep_inst,2021,19
rep_inst,2022,19.5
rep_inst,2023,
frsg_el_gas,2003,
frsg_el_gas,2004,
frsg_el_gas,2005,
frsg_el_gas,2006,
frsg_el_gas,2007,
