country,year,arbk_tim
msa_ppr,2011,56
msa_ppr,2012,54
msa_ppr,2013,51
msa_ppr,2014,50
msa_ppr,2015,49
msa_ppr,2016,49
msa_ppr,2017,49
msa_ppr,2018,49
msa_ppr,2019,47
msa_ppr,2020,46
msa_ppr,2021,47
msa_ppr,2022,48
msa_ppr,2023,
grf_rep,2003,
grf_rep,2004,
grf_rep,2005,
grf_rep,2006,
grf_rep,2007,
grf_rep,2008,36
grf_rep,2009,32
grf_rep,2010,31
grf_rep,2011,29
grf_rep,2012,28
grf_rep,2013,26
grf_rep,2014,25
grf_rep,2015,24
grf_rep,2016,22
grf_rep,2017,21
grf_rep,2018,20
grf_rep,2019,17
grf_rep,2020,13
grf_rep,2021,14
grf_rep,2022,14
grf_rep,2023,
ind_stn,2003,
ind_stn,2004,
ind_stn,2005,
ind_stn,2006,
ind_stn,2007,
ind_stn,2008,4
ind_stn,2009,4
ind_stn,2010,4
ind_stn,2011,4
ind_stn,2012,4
ind_stn,2013,4
ind_stn,2014,4
ind_stn,2015,4
ind_stn,2016,5
ind_stn,2017,5
ind_stn,2018,5
ind_stn,2019,5
ind_stn,2020,5
ind_stn,2021,5
ind_stn,2022,5
ind_stn,2023,
tilv_kem,2003,
tilv_kem,2004,
tilv_kem,2005,
tilv_kem,2006,
tilv_kem,2007,
tilv_kem,2008,67
tilv_kem,2009,62
tilv_kem,2010,61
tilv_kem,2011,59
tilv_kem,2012,59
tilv_kem,2013,57
tilv_kem,2014,56
tilv_kem,2015,56
tilv_kem,2016,54
tilv_kem,2017,56
tilv_kem,2018,57
tilv_kem,2019,56
tilv_kem,2020,60
tilv_kem,2021,59
tilv_kem,2022,63
tilv_kem,2023,
gmi_pls,2003,
gmi_pls,2004,
gmi_pls,2005,
gmi_pls,2006,
gmi_pls,2007,
gmi_pls,2008,43
gmi_pls,2009,38
gmi_pls,2010,42
gmi_pls,2011,42
gmi_pls,2012,39
gmi_pls,2013,37
gmi_pls,2014,37
gmi_pls,2015,36
gmi_pls,2016,36
gmi_pls,2017,36
gmi_pls,2018,38
gmi_pls,2019,36
gmi_pls,2020,36
gmi_pls,2021,39
gmi_pls,2022,38
gmi_pls,2023,
gmi_plst,2003,
gmi_plst,2004,
gmi_plst,2005,
gmi_plst,2006,
gmi_plst,2007,
gmi_plst,2008,80
gmi_plst,2009,71
gmi_plst,2010,77
gmi_plst,2011,82
gmi_plst,2012,78
gmi_plst,2013,74
gmi_plst,2014,71
gmi_plst,2015,72
gmi_plst,2016,71
gmi_plst,2017,73
gmi_plst,2018,76
gmi_plst,2019,71
gmi_plst,2020,69
gmi_plst,2021,72
gmi_plst,2022,71
gmi_plst,2023,
ind_min,2003,
ind_min,2004,
ind_min,2005,
ind_min,2006,
ind_min,2007,
ind_min,2008,37
ind_min,2009,32
ind_min,2010,35
ind_min,2011,40
ind_min,2012,39
ind_min,2013,37
ind_min,2014,34
ind_min,2015,35
ind_min,2016,36
ind_min,2017,37
ind_min,2018,38
ind_min,2019,35
ind_min,2020,33
ind_min,2021,34
ind_min,2022,33
ind_min,2023,
stl_met,2003,
stl_met,2004,
stl_met,2005,
stl_met,2006,
stl_met,2007,
stl_met,2008,61
stl_met,2009,51
stl_met,2010,55
stl_met,2011,57
stl_met,2012,52
stl_met,2013,51
stl_met,2014,51
stl_met,2015,50
stl_met,2016,48
stl_met,2017,48
stl_met,2018,48
stl_met,2019,47
stl_met,2020,42
stl_met,2021,46
stl_met,2022,47
stl_met,2023,
stl_mtl,2003,
stl_mtl,2004,
stl_mtl,2005,
stl_mtl,2006,
stl_mtl,2007,
stl_mtl,2008,220
stl_mtl,2009,182
stl_mtl,2010,184
stl_mtl,2011,194
stl_mtl,2012,188
stl_mtl,2013,184
stl_mtl,2014,183
stl_mtl,2015,178
stl_mtl,2016,177
stl_mtl,2017,178
stl_mtl,2018,179
stl_mtl,2019,179
stl_mtl,2020,159
stl_mtl,2021,178
stl_mtl,2022,168
stl_mtl,2023,
ind_met_,2003,
ind_met_,2004,
ind_met_,2005,
ind_met_,2006,
ind_met_,2007,
ind_met_,2008,158
ind_met_,2009,131
ind_met_,2010,130
ind_met_,2011,137
ind_met_,2012,136
ind_met_,2013,133
ind_met_,2014,132
ind_met_,2015,128
ind_met_,2016,129
ind_met_,2017,130
ind_met_,2018,131
ind_met_,2019,131
ind_met_,2020,117
ind_met_,2021,132
ind_met_,2022,120
ind_met_,2023,
ind_dat_ejel,2003,
ind_dat_ejel,2004,
ind_dat_ejel,2005,
ind_dat_ejel,2006,
ind_dat_ejel,2007,
ind_dat_ejel,2008,47
ind_dat_ejel,2009,48
ind_dat_ejel,2010,47
ind_dat_ejel,2011,45
ind_dat_ejel,2012,46
ind_dat_ejel,2013,45
ind_dat_ejel,2014,43
ind_dat_ejel,2015,30
ind_dat_ejel,2016,29
ind_dat_ejel,2017,28
ind_dat_ejel,2018,31
ind_dat_ejel,2019,32
ind_dat_ejel,2020,32
ind_dat_ejel,2021,35
ind_dat_ejel,2022,34
ind_dat_ejel,2023,
ind_elap,2003,
ind_elap,2004,
ind_elap,2005,
ind_elap,2006,
ind_elap,2007,
ind_elap,2008,45
ind_elap,2009,42
ind_elap,2010,42
ind_elap,2011,43
ind_elap,2012,42
ind_elap,2013,41
ind_elap,2014,41
ind_elap,2015,37
ind_elap,2016,37
ind_elap,2017,47
ind_elap,2018,37
ind_elap,2019,43
ind_elap,2020,36
ind_elap,2021,36
ind_elap,2022,39
ind_elap,2023,
elap,2003,
elap,2004,
elap,2005,
elap,2006,
elap,2007,
elap,2008,159
elap,2009,137
elap,2010,138
elap,2011,143
elap,2012,136
elap,2013,133
elap,2014,128
elap,2015,126
elap,2016,126
elap,2017,127
elap,2018,130
elap,2019,134
elap,2020,129
elap,2021,138
elap,2022,124
elap,2023,
ind_mot_vag,2003,
ind_mot_vag,2004,
ind_mot_vag,2005,
ind_mot_vag,2006,
ind_mot_vag,2007,
ind_mot_vag,2008,147
ind_mot_vag,2009,112
ind_mot_vag,2010,117
ind_mot_vag,2011,121
ind_mot_vag,2012,109
ind_mot_vag,2013,112
ind_mot_vag,2014,114
ind_mot_vag,2015,117
ind_mot_vag,2016,124
ind_mot_vag,2017,132
ind_mot_vag,2018,134
ind_mot_vag,2019,134
ind_mot_vag,2020,123
ind_mot_vag,2021,135
ind_mot_vag,2022,137
ind_mot_vag,2023,
ann_transp,2003,
ann_transp,2004,
ann_transp,2005,
ann_transp,2006,
ann_transp,2007,
ann_transp,2008,30
ann_transp,2009,31
ann_transp,2010,30
ann_transp,2011,30
ann_transp,2012,29
ann_transp,2013,29
ann_transp,2014,29
ann_transp,2015,30
ann_transp,2016,29
ann_transp,2017,30
ann_transp,2018,28
ann_transp,2019,29
ann_transp,2020,28
ann_transp,2021,30
ann_transp,2022,29
ann_transp,2023,
tilv_mob,2003,
tilv_mob,2004,
tilv_mob,2005,
tilv_mob,2006,
tilv_mob,2007,
tilv_mob,2008,58
tilv_mob,2009,55
tilv_mob,2010,54
tilv_mob,2011,56
tilv_mob,2012,52
tilv_mob,2013,50
tilv_mob,2014,48
tilv_mob,2015,47
tilv_mob,2016,48
tilv_mob,2017,44
tilv_mob,2018,43
tilv_mob,2019,42
tilv_mob,2020,38
tilv_mob,2021,39
tilv_mob,2022,41
tilv_mob,2023,
tilv_mbler,2003,
tilv_mbler,2004,
tilv_mbler,2005,
tilv_mbler,2006,
tilv_mbler,2007,
tilv_mbler,2008,95
tilv_mbler,2009,87
tilv_mbler,2010,87
tilv_mbler,2011,89
tilv_mbler,2012,86
tilv_mbler,2013,83
tilv_mbler,2014,79
tilv_mbler,2015,79
tilv_mbler,2016,81
tilv_mbler,2017,76
tilv_mbler,2018,75
tilv_mbler,2019,73
tilv_mbler,2020,70
tilv_mbler,2021,73
tilv_mbler,2022,77
tilv_mbler,2023,
rep_inst,2003,
rep_inst,2004,
rep_inst,2005,
rep_inst,2006,
rep_inst,2007,
rep_inst,2008,36
rep_inst,2009,33
rep_inst,2010,32
rep_inst,2011,33
rep_inst,2012,34
rep_inst,2013,33
rep_inst,2014,31
rep_inst,2015,32
rep_inst,2016,33
rep_inst,2017,32
rep_inst,2018,33
rep_inst,2019,31
rep_inst,2020,31
rep_inst,2021,34
rep_inst,2022,35
rep_inst,2023,
frsg_el_gas,2003,
frsg_el_gas,2004,
frsg_el_gas,2005,
frsg_el_gas,2006,
frsg_el_gas,2007,
frsg_el_gas,2008,84
frsg_el_gas,2009,86
frsg_el_gas,2010,87
frsg_el_gas,2011,90
frsg_el_gas,2012,90
frsg_el_gas,2013,92
frsg_el_gas,2014,92
frsg_el_gas,2015,92
frsg_el_gas,2016,94
frsg_el_gas,2017,94
frsg_el_gas,2018,96
frsg_el_gas,2019,98
frsg_el_gas,2020,99
frsg_el_gas,2021,101
frsg_el_gas,2022,100
frsg_el_gas,2023,
el_gs_vrm,2003,
el_gs_vrm,2004,
el_gs_vrm,2005,
el_gs_vrm,2006,
el_gs_vrm,2007,
el_gs_vrm,2008,49
el_gs_vrm,2009,50
el_gs_vrm,2010,51
el_gs_vrm,2011,50
el_gs_vrm,2012,49
el_gs_vrm,2013,50
el_gs_vrm,2014,49
el_gs_vrm,2015,48
el_gs_vrm,2016,49
el_gs_vrm,2017,50
el_gs_vrm,2018,48
el_gs_vrm,2019,50
el_gs_vrm,2020,50
el_gs_vrm,2021,51
el_gs_vrm,2022,51
el_gs_vrm,2023,
vtnf,2003,
vtnf,2004,
vtnf,2005,
vtnf,2006,
vtnf,2007,
vtnf,2008,4
vtnf,2009,4
vtnf,2010,4
vtnf,2011,4
vtnf,2012,5
vtnf,2013,5
vtnf,2014,5
vtnf,2015,5
vtnf,2016,6
vtnf,2017,6
vtnf,2018,6
vtnf,2019,6
vtnf,2020,7
vtnf,2021,7
vtnf,2022,7
vtnf,2023,
avl_ren,2003,
avl_ren,2004,
avl_ren,2005,
avl_ren,2006,
avl_ren,2007,
avl_ren,2008,32
avl_ren,2009,32
avl_ren,2010,31
avl_ren,2011,35
avl_ren,2012,36
avl_ren,2013,37
avl_ren,2014,38
avl_ren,2015,38
avl_ren,2016,38
avl_ren,2017,39
avl_ren,2018,42
avl_ren,2019,42
avl_ren,2020,43
avl_ren,2021,43
avl_ren,2022,43
avl_ren,2023,
bygg,2003,
bygg,2004,
bygg,2005,
bygg,2006,
bygg,2007,
bygg,2008,559
bygg,2009,548
bygg,2010,553
bygg,2011,569
bygg,2012,580
bygg,2013,585
bygg,2014,598
bygg,2015,613
bygg,2016,647
bygg,2017,657
bygg,2018,678
bygg,2019,690
bygg,2020,675
bygg,2021,688
bygg,2022,725
bygg,2023,
tjnste_prod,2003,
tjnste_prod,2004,
tjnste_prod,2005,
tjnste_prod,2006,
tjnste_prod,2007,
tjnste_prod,2008,3297
tjnste_prod,2009,3241
tjnste_prod,2010,3384
tjnste_prod,2011,3492
tjnste_prod,2012,3494
tjnste_prod,2013,3525
tjnste_prod,2014,3603
tjnste_prod,2015,3700
tjnste_prod,2016,3819
tjnste_prod,2017,3879
tjnste_prod,2018,3958
tjnste_prod,2019,3957
tjnste_prod,2020,3760
tjnste_prod,2021,3864
tjnste_prod,2022,4071
tjnste_prod,2023,
hand,2003,
hand,2004,
hand,2005,
hand,2006,
hand,2007,
hand,2008,906
hand,2009,900
hand,2010,925
hand,2011,948
hand,2012,935
hand,2013,928
hand,2014,951
hand,2015,961
hand,2016,977
hand,2017,993
hand,2018,1012
hand,2019,1001
hand,2020,943
hand,2021,969
hand,2022,1028
hand,2023,
hnd_motc,2003,
hnd_motc,2004,
hnd_motc,2005,
hnd_motc,2006,
hnd_motc,2007,
hnd_motc,2008,129
hnd_motc,2009,125
hnd_motc,2010,128
hnd_motc,2011,134
hnd_motc,2012,140
hnd_motc,2013,135
hnd_motc,2014,138
hnd_motc,2015,141
hnd_motc,2016,146
hnd_motc,2017,149
hnd_motc,2018,156
hnd_motc,2019,150
hnd_motc,2020,150
hnd_motc,2021,150
hnd_motc,2022,154
